indicator_key,series_key,webapi_category_id,unit,producer,publication_page,publication_column,observed_period,publication_printed_period,period_note
sdg04_completion_rate,sd,1672,percent,Badan Pusat Statistik,254,8,2020,2020,
sdg04_completion_rate,sd,1672,percent,Badan Pusat Statistik,254,9,2021,2021,
sdg04_completion_rate,sd,1672,percent,Badan Pusat Statistik,254,10,2022,2022,
sdg04_completion_rate,sd,1672,percent,Badan Pusat Statistik,254,11,2023,2023,
sdg04_completion_rate,smp,1673,percent,Badan Pusat Statistik,254,12,2020,2020,
sdg04_completion_rate,smp,1673,percent,Badan Pusat Statistik,254,13,2021,2021,
sdg04_completion_rate,smp,1673,percent,Badan Pusat Statistik,254,14,2022,2022,
sdg04_completion_rate,smp,1673,percent,Badan Pusat Statistik,254,15,2023,2023,
sdg04_completion_rate,sma,1674,percent,Badan Pusat Statistik,255,16,2020,2020,
sdg04_completion_rate,sma,1674,percent,Badan Pusat Statistik,255,17,2021,2021,
sdg04_completion_rate,sma,1674,percent,Badan Pusat Statistik,255,18,2022,2022,
sdg04_completion_rate,sma,1674,percent,Badan Pusat Statistik,255,19,2023,2023,
sdg06_sanitation,total,0,percent,Badan Pusat Statistik,269,2,2021,2021,
sdg06_sanitation,total,0,percent,Badan Pusat Statistik,269,3,2022,2022,
sdg06_sanitation,total,0,percent,Badan Pusat Statistik,269,4,2023,2023,
sdg06_handwashing,total,0,percent,Badan Pusat Statistik,269,5,2021,2021,
sdg06_handwashing,total,0,percent,Badan Pusat Statistik,269,6,2022,2022,
sdg06_handwashing,total,0,percent,Badan Pusat Statistik,269,7,2023,2023,
sdg07_electricity_access,total,0,percent,Kementerian ESDM,272,2,2020,2020,
sdg07_electricity_access,total,0,percent,Kementerian ESDM,272,3,2021,2021,
sdg07_electricity_access,total,0,percent,Kementerian ESDM,272,4,2022,2022,
sdg07_electricity_access,total,0,percent,Kementerian ESDM,272,5,2023,2023,
sdg07_clean_cooking,gas,301,percent,Badan Pusat Statistik,272,6,2021,2021,
sdg07_clean_cooking,gas,301,percent,Badan Pusat Statistik,272,7,2022,2022,
sdg07_clean_cooking,gas,301,percent,Badan Pusat Statistik,272,8,2023,2023,
sdg08_productivity_growth,total,0,percent,Badan Pusat Statistik,274,10,2020,2020,
sdg08_productivity_growth,total,0,percent,Badan Pusat Statistik,274,11,2021,2021,
sdg08_productivity_growth,total,0,percent,Badan Pusat Statistik,274,12,2022,2022,
sdg08_productivity_growth,total,0,percent,Badan Pusat Statistik,274,13,2023,2023,
sdg08_informal_employment,total,0,percent,Badan Pusat Statistik,274,14,2020,2020,
sdg08_informal_employment,total,0,percent,Badan Pusat Statistik,274,15,2021,2021,
sdg08_informal_employment,total,0,percent,Badan Pusat Statistik,274,16,2022,2022,
sdg08_informal_employment,total,0,percent,Badan Pusat Statistik,274,17,2023,2023,
sdg08_hourly_wage,total,0,rupiah_per_hour,Badan Pusat Statistik,275,18,2020,2020,
sdg08_hourly_wage,total,0,rupiah_per_hour,Badan Pusat Statistik,275,19,2021,2021,
sdg08_hourly_wage,total,0,rupiah_per_hour,Badan Pusat Statistik,275,20,2022,2022,
sdg08_hourly_wage,total,0,rupiah_per_hour,Badan Pusat Statistik,275,21,2023,2023,
sdg08_unemployment,total,0,percent,Badan Pusat Statistik,275,22,2020,2020,
sdg08_unemployment,total,0,percent,Badan Pusat Statistik,275,23,2021,2021,
sdg08_unemployment,total,0,percent,Badan Pusat Statistik,275,24,2022,2022,
sdg08_unemployment,total,0,percent,Badan Pusat Statistik,275,25,2023,2023,
sdg08_neet,total,0,percent,Badan Pusat Statistik,276,30,2020,2019,"Publication prints this year over the 8.6.1* column group, but all four Indonesia values reproduce the WebAPI 2020-2023 series exactly, so the printed label is shifted by one year"
sdg08_neet,total,0,percent,Badan Pusat Statistik,276,31,2021,2020,"Publication prints this year over the 8.6.1* column group, but all four Indonesia values reproduce the WebAPI 2020-2023 series exactly, so the printed label is shifted by one year"
sdg08_neet,total,0,percent,Badan Pusat Statistik,276,32,2022,2021,"Publication prints this year over the 8.6.1* column group, but all four Indonesia values reproduce the WebAPI 2020-2023 series exactly, so the printed label is shifted by one year"
sdg08_neet,total,0,percent,Badan Pusat Statistik,276,33,2023,2022,"Publication prints this year over the 8.6.1* column group, but all four Indonesia values reproduce the WebAPI 2020-2023 series exactly, so the printed label is shifted by one year"
