event_id,evidence_kind,promoted_classification,promoted_cause_family,corroborating_source_id,corroborating_release_date,corroborating_value,published_status,evidence_locator,evidence_note
4ff72dd0b87beb923c29,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,-1.14,provisional,pdf_page=226;printed_page=208;column=11;printed_note=x;year=2022,"TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
bb56fe6858639ffbd69e,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,-0.72,provisional,pdf_page=226;printed_page=208;column=11;printed_note=x;year=2022,"TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
386a7b39b8c8b35e7fb4,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,-4.03,provisional,pdf_page=226;printed_page=208;column=11;printed_note=x;year=2022,"TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
6235aeaa713f4da3fd05,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,1.16,provisional,pdf_page=226;printed_page=208;column=11;printed_note=x;year=2022,"TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
9db7d2e4e7cdf28df00b,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,1.13,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
a303794abee88f110859,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,19.30,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
63a08507948b8a8091f9,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,4.18,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
c8d560f4b638d4f3688e,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,-0.21,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
031d6a7f773e2a3b3b09,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,3.68,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
94e3f4550750e13b8e59,provisional_publication_to_later_snapshot,vintage_observed,vintage,bps_tpb_2025,2025-12-30,11.05,very_provisional,pdf_page=226;printed_page=208;column=12;printed_note=xx;year=2023,"TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell"
b570bd5d7df03e9328a1,published_definition_change,methodology_observed,methodology,bps_tpb_2025,2025-12-30,51.16,not_applicable,tpb_2024_pdf_page=190;printed_page=162;tpb_2025_pdf_pages=131-132;printed_pages=113-114,"The published numerator changes from forest estate (kawasan hutan) to forest cover (tutupan hutan); TPB 2025 explicitly includes forested land both inside and outside the forest estate"
