indicator_key,sdg_code,domain,indicator_name,unit,proposed_geographies,frequency,proposed_sources,producer,webapi_domain_id,webapi_variable_id,sirusa_indicator_id,tpb_publication_year,tpb_table_or_page,verified_geographies,period_start,period_end,verification_status,risk_flags,assignee,notes
sdg04_minimum_competency,4.1.1,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),percent,national;province,annual,bps_tpb_2024;bps_webapi,Badan Pusat Statistik,0000,1417,,2024,Indikator 4.1.1(a) (p. 46),national,2017,2023,partial,short_series;code_variant;geography_shortfall,,Proposal calls the series relatively new
sdg04_completion_rate,4.1.2,education,Angka penyelesaian SD/SMP/SMA,percent,national;province;regency,annual,bps_webapi;bps_tpb_2024,Badan Pusat Statistik,0000,1980,,2024,Indikator 4.1.2 (p. 46-47),national;province,2015,2023,partial,code_variant;geography_shortfall,,Verify national indicator suffix and level availability
sdg04_aps,,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,percent,national;province;regency,annual,bps_webapi,Badan Pusat Statistik,0000,2211,,,,national;province,2015,2025,partial,category_alignment;geography_shortfall,,Each age group may be a derived variable
sdg04_apm,,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,percent,national;province;regency,annual,bps_webapi,Badan Pusat Statistik,0000,304,,,,national;province,2015,2025,partial,category_alignment;geography_shortfall,,Each education level may be a derived variable
sdg04_apk,,education,Angka Partisipasi Kasar (APK) SD/SMP/SMA/PT,percent,national;province;regency,annual,bps_webapi,Badan Pusat Statistik,0000,303,,,,national;province,2015,2025,partial,category_alignment;geography_shortfall,,Each education level may be a derived variable
sdg04_hls,,education,Harapan Lama Sekolah (HLS),year,national;province;regency,annual,bps_webapi,Badan Pusat Statistik,0000,417,,,,national;province;regency,2015,2025,verified,methodology_break,,IPM component
sdg04_rls,,education,Rata-rata Lama Sekolah (RLS),year,national;province;regency,annual,bps_webapi,Badan Pusat Statistik,0000,415,,,,national;province;regency,2015,2025,verified,methodology_break,,Verify consistent age definition
sdg04_parity_index,4.5.1,education,Indeks paritas untuk APM APK dan AMH,ratio,national;province,annual,bps_webapi;bps_tpb_2024,Badan Pusat Statistik,0000,1455,,2024,Indikator 4.5.1 (p. 50),national;province,2015,2025,verified,multiple_disaggregations,,Gender urban-rural and wealth require separate cells
sdg04_literacy,4.6.1,education,Angka Melek Huruf penduduk dewasa,percent,national;province;regency,annual,bps_webapi;bps_tpb_2024,Badan Pusat Statistik,0000,4,,2024,Indikator 4.6.1(a) (p. 52),national,2023,2023,partial,age_definition;geography_shortfall;short_series,,Verify adult age boundary
sdg04_paud,4.2.2,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,percent,national;province,annual,bps_tpb_2024;bps_webapi,Badan Pusat Statistik,0000,1990,,2024,Indikator 4.2.2 (p. 48),national;province,2015,2023,verified,code_variant,,Verify official national indicator suffix
sdg04_dropout,,education,Angka Putus Sekolah per jenjang,percent,national;province;regency,annual,bps_webapi,,,,,,,,,,unavailable,category_alignment,,Verify denominator and school level definitions
sdg04_basic_services,4.a.1,education,Sekolah dengan layanan dasar air listrik sanitasi,percent,national;province,annual,bps_tpb_2024,Kemendikbud/Dapodik,0000,1794;1797;1798,,2024,Indikator 4.a.1 (p. 52-53),national,2015,2023,partial,multi_component;geography_shortfall;multi_variable;webapi_found_unproposed,,One SDG code contains several service components
