indicator_key,domain,sdg_code,proposed_geographies,proposed_sources,webapi_domain_id,webapi_variable_ids,verified_geographies,period_start,period_end,period_gaps,observed_cells,last_update,tpb_publication_year,tpb_table_or_page,derived_status,status_reason,derived_risk_flags,producer
sdg04_minimum_competency,education,4.1.1,national;province,bps_tpb_2024;bps_webapi,0000,1417,national,2017,2023,,12,2018-06-29 00:00:00,2024,Indikator 4.1.1(a) (p. 46),partial,geography_shortfall,geography_shortfall;short_series,Badan Pusat Statistik
sdg04_completion_rate,education,4.1.2,national;province;regency,bps_webapi;bps_tpb_2024,0000,1980,national;province,2015,2023,,945,2026-08-26 08:29:01,2024,Indikator 4.1.2 (p. 46-47),partial,geography_shortfall,geography_shortfall,Badan Pusat Statistik
sdg04_aps,education,,national;province;regency,bps_webapi,0000,2211,national;province,2015,2025,,1572,2026-08-28 03:20:36,,,partial,geography_shortfall,geography_shortfall,Badan Pusat Statistik
sdg04_apm,education,,national;province;regency,bps_webapi,0000,304,national;province,2015,2025,,1179,2025-12-12 13:58:59,,,partial,geography_shortfall,geography_shortfall,Badan Pusat Statistik
sdg04_apk,education,,national;province;regency,bps_webapi,0000,303,national;province,2015,2025,,1179,2025-12-01 14:07:15,,,partial,geography_shortfall,geography_shortfall,Badan Pusat Statistik
sdg04_hls,education,,national;province;regency,bps_webapi,0000,417,national;province;regency,2015,2025,,6047,2025-11-05 11:56:10,,,verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg04_rls,education,,national;province;regency,bps_webapi,0000,415,national;province;regency,2015,2025,,6047,2025-11-05 12:00:46,,,verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg04_parity_index,education,4.5.1,national;province,bps_webapi;bps_tpb_2024,0000,1455,national;province,2015,2025,,1362,2025-12-12 14:27:55,2024,Indikator 4.5.1 (p. 50),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg04_literacy,education,4.6.1,national;province;regency,bps_webapi;bps_tpb_2024,0000,4,national,2023,2023,,0,,2024,Indikator 4.6.1(a) (p. 52),partial,geography_shortfall,geography_shortfall;short_series,Badan Pusat Statistik
sdg04_paud,education,4.2.2,national;province,bps_tpb_2024;bps_webapi,0000,1990,national;province,2015,2023,,315,2024-05-26 10:17:06,2024,Indikator 4.2.2 (p. 48),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg04_dropout,education,,national;province;regency,bps_webapi,,,,,,,0,,,,unavailable,no_exact_free_series_confirmed,,
