indicator_key,series_key,observed_period,geo_level,geo_code,geo_name,unit,webapi_value,publication_value,absolute_spread,classification,classification_reason
sdg07_clean_cooking,gas,2021,province,1200,Sumatera Utara,percent,88.11,88.12,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg07_clean_cooking,gas,2021,province,1500,Jambi,percent,87.12,87.11,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg07_clean_cooking,gas,2021,province,3500,Jawa Timur,percent,83.98,83.97,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg07_clean_cooking,gas,2021,province,5200,Nusa Tenggara Barat,percent,79.53,79.52,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg07_clean_cooking,gas,2021,province,7200,Sulawesi Tengah,percent,68.97,68.96,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg07_clean_cooking,gas,2021,province,7300,Sulawesi Selatan,percent,91.52,91.53,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2021,province,1100,Aceh,percent,2.73,2.75,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2021,province,1500,Jambi,percent,3.22,3.24,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2021,province,3300,Jawa Tengah,percent,1.6,1.59,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2021,province,6500,Kalimantan Utara,percent,1.61,1.62,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2021,province,7200,Sulawesi Tengah,percent,11.09,11.06,0.03,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2021,province,7500,Gorontalo,percent,0.56,0.55,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2021,province,8100,Maluku,percent,-0.18,0.38,0.56,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2022,province,1600,Sumatera Selatan,percent,2.54,2.53,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2022,province,2100,Kep. Riau,percent,-1.17,-1.14,0.03,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2022,province,3600,Banten,percent,0.74,0.75,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2022,province,5300,Nusa Tenggara Timur,percent,-0.69,-0.72,0.03,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2022,province,7300,Sulawesi Selatan,percent,0.44,0.43,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2022,province,7600,Sulawesi Barat,percent,-4.07,-4.03,0.04,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2022,province,9100,Papua Barat,percent,1.18,1.16,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,1600,Sumatera Selatan,percent,2.46,2.45,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,1700,Bengkulu,percent,1.15,1.13,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,2100,Kep. Riau,percent,19.25,19.30,0.05,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,3100,Dki Jakarta,percent,0.88,0.87,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,3300,Jawa Tengah,percent,-3.43,-3.42,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,5100,Bali,percent,5.29,5.28,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,5300,Nusa Tenggara Timur,percent,4.14,4.18,0.04,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,6500,Kalimantan Utara,percent,-0.19,-0.21,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,7300,Sulawesi Selatan,percent,1.32,1.31,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,7600,Sulawesi Barat,percent,3.66,3.68,0.02,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,8200,Maluku Utara,percent,12.04,11.05,0.99,candidate_revision,"WebAPI table was updated on 2026-07-06, after the 2024-12-31 publication"
sdg08_productivity_growth,total,2023,province,9100,Papua Barat,percent,-9.66,-9.65,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
sdg08_productivity_growth,total,2023,province,9400,Papua,percent,-16.88,-16.87,0.01,last_digit_difference,"The two channels differ by at most one unit in the last published decimal place (0.01), which rounding alone can produce"
