source_id,indicator_key,series_key,observed_period,unit,national_value,province_count,province_min,province_max,province_unweighted_mean,gap_vs_unweighted_mean,national_within_province_range
bps_tpb_2024,sdg04_completion_rate,sd,2020,percent,96.00,34,78.40,98.33,94.8376,1.1624,yes
bps_tpb_2024,sdg04_completion_rate,sd,2021,percent,97.37,34,78.43,99.44,96.3671,1.0029,yes
bps_tpb_2024,sdg04_completion_rate,sd,2022,percent,97.82,34,81.99,99.45,96.9929,0.8271,yes
bps_tpb_2024,sdg04_completion_rate,sd,2023,percent,97.83,34,80.09,99.09,96.7465,1.0835,yes
bps_tpb_2024,sdg04_completion_rate,sma,2020,percent,63.95,34,30.92,87.99,64.5832,-0.6332,yes
bps_tpb_2024,sdg04_completion_rate,sma,2021,percent,65.94,34,32.95,90.12,65.5106,0.4294,yes
bps_tpb_2024,sdg04_completion_rate,sma,2022,percent,66.13,34,38.47,87.92,64.6832,1.4468,yes
bps_tpb_2024,sdg04_completion_rate,sma,2023,percent,66.79,34,39.50,89.69,65.8124,0.9776,yes
bps_tpb_2024,sdg04_completion_rate,smp,2020,percent,87.89,34,65.75,94.80,86.4976,1.3924,yes
bps_tpb_2024,sdg04_completion_rate,smp,2021,percent,88.88,34,66.06,95.34,88.3226,0.5574,yes
bps_tpb_2024,sdg04_completion_rate,smp,2022,percent,90.13,34,66.16,97.63,89.5659,0.5641,yes
bps_tpb_2024,sdg04_completion_rate,smp,2023,percent,90.44,34,67.12,97.02,89.5521,0.8879,yes
bps_tpb_2024,sdg06_handwashing,total,2021,percent,79.59,34,36.97,91.30,78.7391,0.8509,yes
bps_tpb_2024,sdg06_handwashing,total,2022,percent,79.33,34,40.91,90.82,78.8291,0.5009,yes
bps_tpb_2024,sdg06_handwashing,total,2023,percent,80.15,34,31.78,90.54,77.5847,2.5653,yes
bps_tpb_2024,sdg06_sanitation,total,2021,percent,80.29,34,40.81,97.12,80.9674,-0.6774,yes
bps_tpb_2024,sdg06_sanitation,total,2022,percent,80.92,34,40.34,96.21,80.9971,-0.0771,yes
bps_tpb_2024,sdg06_sanitation,total,2023,percent,82.36,34,43.00,96.42,82.5709,-0.2109,yes
bps_tpb_2024,sdg07_clean_cooking,gas,2021,percent,83.36,34,1.41,96.28,73.6447,9.7153,yes
bps_tpb_2024,sdg07_clean_cooking,gas,2022,percent,87.12,34,1.26,98.23,76.9697,10.1503,yes
bps_tpb_2024,sdg07_clean_cooking,gas,2023,percent,86.91,34,1.13,97.74,77.2121,9.6979,yes
bps_tpb_2024,sdg08_hourly_wage,total,2020,rupiah_per_hour,17696,34,12707,32138,19537.7647,-1841.7647,yes
bps_tpb_2024,sdg08_hourly_wage,total,2021,rupiah_per_hour,18089,34,12992,30662,19422.9706,-1333.9706,yes
bps_tpb_2024,sdg08_hourly_wage,total,2022,rupiah_per_hour,17542,34,11734,32685,17901.4706,-359.4706,yes
bps_tpb_2024,sdg08_hourly_wage,total,2023,rupiah_per_hour,19027,34,12933,42354,19662.0294,-635.0294,yes
bps_tpb_2024,sdg08_informal_employment,total,2020,percent,60.47,34,35.41,79.92,61.0088,-0.5388,yes
bps_tpb_2024,sdg08_informal_employment,total,2021,percent,59.45,34,35.20,80.47,60.2076,-0.7576,yes
bps_tpb_2024,sdg08_informal_employment,total,2022,percent,59.31,34,36.32,84.11,59.9491,-0.6391,yes
bps_tpb_2024,sdg08_informal_employment,total,2023,percent,59.11,34,33.67,84.43,59.3521,-0.2421,yes
bps_tpb_2024,sdg08_neet,total,2020,percent,24.28,34,12.71,29.94,23.3006,0.9794,yes
bps_tpb_2024,sdg08_neet,total,2021,percent,22.40,34,9.89,29.43,21.9800,0.4200,yes
bps_tpb_2024,sdg08_neet,total,2022,percent,23.22,34,10.70,33.54,23.0021,0.2179,yes
bps_tpb_2024,sdg08_neet,total,2023,percent,22.25,34,10.03,35.38,22.3176,-0.0676,yes
bps_tpb_2024,sdg08_productivity_growth,total,2020,percent,-1.84,34,-7.63,8.47,-1.9576,0.1176,yes
bps_tpb_2024,sdg08_productivity_growth,total,2021,percent,1.65,34,-5.52,13.47,1.8815,-0.2315,yes
bps_tpb_2024,sdg08_productivity_growth,total,2022,percent,2.00,34,-4.03,19.52,2.7612,-0.7612,yes
bps_tpb_2024,sdg08_productivity_growth,total,2023,percent,1.63,34,-16.87,19.30,2.3844,-0.7544,yes
bps_tpb_2024,sdg08_unemployment,total,2020,percent,7.07,34,3.32,10.95,6.0335,1.0365,yes
bps_tpb_2024,sdg08_unemployment,total,2021,percent,6.49,34,3.01,9.91,5.4921,0.9979,yes
bps_tpb_2024,sdg08_unemployment,total,2022,percent,5.86,34,2.34,8.31,4.9662,0.8938,yes
bps_tpb_2024,sdg08_unemployment,total,2023,percent,5.32,34,2.27,7.52,4.6138,0.7062,yes
bps_webapi,sdg04_completion_rate,sd,2020,percent,96,34,78.4,98.33,94.8376,1.1624,yes
bps_webapi,sdg04_completion_rate,sd,2021,percent,97.37,34,78.43,99.44,96.3671,1.0029,yes
bps_webapi,sdg04_completion_rate,sd,2022,percent,97.82,34,81.99,99.45,96.9929,0.8271,yes
bps_webapi,sdg04_completion_rate,sd,2023,percent,97.83,34,80.09,99.09,96.7465,1.0835,yes
bps_webapi,sdg04_completion_rate,sma,2020,percent,63.95,34,30.92,87.99,64.5832,-0.6332,yes
bps_webapi,sdg04_completion_rate,sma,2021,percent,65.94,34,32.95,90.12,65.5106,0.4294,yes
bps_webapi,sdg04_completion_rate,sma,2022,percent,66.13,34,38.47,87.92,64.6832,1.4468,yes
bps_webapi,sdg04_completion_rate,sma,2023,percent,66.79,34,39.5,89.69,65.8124,0.9776,yes
bps_webapi,sdg04_completion_rate,smp,2020,percent,87.89,34,65.75,94.8,86.4976,1.3924,yes
bps_webapi,sdg04_completion_rate,smp,2021,percent,88.88,34,66.06,95.34,88.3226,0.5574,yes
bps_webapi,sdg04_completion_rate,smp,2022,percent,90.13,34,66.16,97.63,89.5659,0.5641,yes
bps_webapi,sdg04_completion_rate,smp,2023,percent,90.44,34,67.12,97.02,89.5521,0.8879,yes
bps_webapi,sdg06_handwashing,total,2021,percent,79.59,34,36.97,91.3,78.7391,0.8509,yes
bps_webapi,sdg06_handwashing,total,2022,percent,79.33,34,40.91,90.82,78.8291,0.5009,yes
bps_webapi,sdg06_handwashing,total,2023,percent,80.15,34,31.78,90.54,77.5847,2.5653,yes
bps_webapi,sdg06_sanitation,total,2021,percent,80.29,34,40.81,97.12,80.9674,-0.6774,yes
bps_webapi,sdg06_sanitation,total,2022,percent,80.92,34,40.34,96.21,80.9971,-0.0771,yes
bps_webapi,sdg06_sanitation,total,2023,percent,82.36,34,43,96.42,82.5709,-0.2109,yes
bps_webapi,sdg07_clean_cooking,gas,2021,percent,83.36,34,1.41,96.28,73.6453,9.7147,yes
bps_webapi,sdg07_clean_cooking,gas,2022,percent,87.12,34,1.26,98.23,76.9697,10.1503,yes
bps_webapi,sdg07_clean_cooking,gas,2023,percent,86.91,34,1.13,97.74,77.2121,9.6979,yes
bps_webapi,sdg08_hourly_wage,total,2020,rupiah_per_hour,17696,34,12707,32138,19537.7647,-1841.7647,yes
bps_webapi,sdg08_hourly_wage,total,2021,rupiah_per_hour,18089,34,12992,30662,19422.9706,-1333.9706,yes
bps_webapi,sdg08_hourly_wage,total,2022,rupiah_per_hour,17542,34,11734,32685,17901.4706,-359.4706,yes
bps_webapi,sdg08_hourly_wage,total,2023,rupiah_per_hour,19027,34,12933,42354,19662.0294,-635.0294,yes
bps_webapi,sdg08_informal_employment,total,2020,percent,60.47,34,35.41,79.92,61.0088,-0.5388,yes
bps_webapi,sdg08_informal_employment,total,2021,percent,59.45,34,35.2,80.47,60.2076,-0.7576,yes
bps_webapi,sdg08_informal_employment,total,2022,percent,59.31,34,36.32,84.11,59.9491,-0.6391,yes
bps_webapi,sdg08_informal_employment,total,2023,percent,59.11,34,33.67,84.43,59.3521,-0.2421,yes
bps_webapi,sdg08_neet,total,2020,percent,24.28,34,12.71,29.94,23.3006,0.9794,yes
bps_webapi,sdg08_neet,total,2021,percent,22.4,34,9.89,29.43,21.9800,0.4200,yes
bps_webapi,sdg08_neet,total,2022,percent,23.22,34,10.7,33.54,23.0021,0.2179,yes
bps_webapi,sdg08_neet,total,2023,percent,22.25,34,10.03,35.38,22.3176,-0.0676,yes
bps_webapi,sdg08_productivity_growth,total,2020,percent,-1.84,34,-7.63,8.47,-1.9576,0.1176,yes
bps_webapi,sdg08_productivity_growth,total,2021,percent,1.65,34,-5.52,13.47,1.8650,-0.2150,yes
bps_webapi,sdg08_productivity_growth,total,2022,percent,2,34,-4.07,19.52,2.7609,-0.7609,yes
bps_webapi,sdg08_productivity_growth,total,2023,percent,1.63,34,-16.88,19.25,2.4118,-0.7818,yes
bps_webapi,sdg08_unemployment,total,2020,percent,7.07,34,3.32,10.95,6.0335,1.0365,yes
