repetition,scenario_id,treatment_id,statement_index,statement_label,phase,seconds
1,sweep_001,B0,0,staging_views,harness,10.606
1,sweep_001,B0,1,merge_revision,write,11.324
1,sweep_001,B0,2,expire_snapshots,maintenance,13.103
1,sweep_001,B0,3,verify_state,verification,5.46
1,sweep_001,B1,0,staging_views,harness,10.002
1,sweep_001,B1,1,insert_overwrite_all_states,write,10.116
1,sweep_001,B1,2,verify_state,verification,7.83
1,sweep_001,B2,0,staging_views,harness,10.538
1,sweep_001,B2,1,insert_overwrite_selection,write,12.869
1,sweep_001,B2,2,expire_snapshots,maintenance,19.586
1,sweep_001,B2,3,verify_state,verification,6.791
1,sweep_001,B3,0,staging_views,harness,10.609
1,sweep_001,B3,1,insert_store_rows,write,5.267
1,sweep_001,B3,2,merge_serving_dirty_cells,write,10.178
1,sweep_001,B3,3,expire_snapshots_store,maintenance,12.84
1,sweep_001,B3,4,expire_snapshots_serving,maintenance,9.722
1,sweep_001,B3,5,verify_state,verification,5.415
1,sweep_002,B0,0,staging_views,harness,11.229
1,sweep_002,B0,1,merge_revision,write,11.939
1,sweep_002,B0,2,expire_snapshots,maintenance,14.142
1,sweep_002,B0,3,verify_state,verification,5.652
1,sweep_002,B1,0,staging_views,harness,10.491
1,sweep_002,B1,1,insert_overwrite_all_states,write,10.286
1,sweep_002,B1,2,verify_state,verification,6.851
1,sweep_002,B2,0,staging_views,harness,10.582
1,sweep_002,B2,1,insert_overwrite_selection,write,9.548
1,sweep_002,B2,2,expire_snapshots,maintenance,13.282
1,sweep_002,B2,3,verify_state,verification,6.433
1,sweep_002,B3,0,staging_views,harness,10.582
1,sweep_002,B3,1,insert_store_rows,write,5.374
1,sweep_002,B3,2,merge_serving_dirty_cells,write,10.285
1,sweep_002,B3,3,expire_snapshots_store,maintenance,13.494
1,sweep_002,B3,4,expire_snapshots_serving,maintenance,9.296
1,sweep_002,B3,5,verify_state,verification,4.744
1,sweep_004,B0,0,staging_views,harness,10.405
1,sweep_004,B0,1,merge_revision,write,10.309
1,sweep_004,B0,2,expire_snapshots,maintenance,13.698
1,sweep_004,B0,3,verify_state,verification,5.849
1,sweep_004,B1,0,staging_views,harness,10.536
1,sweep_004,B1,1,insert_overwrite_all_states,write,10.572
1,sweep_004,B1,2,verify_state,verification,7.158
1,sweep_004,B2,0,staging_views,harness,10.478
1,sweep_004,B2,1,insert_overwrite_selection,write,9.479
1,sweep_004,B2,2,expire_snapshots,maintenance,13.979
1,sweep_004,B2,3,verify_state,verification,6.324
1,sweep_004,B3,0,staging_views,harness,10.642
1,sweep_004,B3,1,insert_store_rows,write,5.348
1,sweep_004,B3,2,merge_serving_dirty_cells,write,9.605
1,sweep_004,B3,3,expire_snapshots_store,maintenance,12.757
1,sweep_004,B3,4,expire_snapshots_serving,maintenance,8.711
1,sweep_004,B3,5,verify_state,verification,4.999
1,sweep_008,B0,0,staging_views,harness,10.664
1,sweep_008,B0,1,merge_revision,write,12.017
1,sweep_008,B0,2,expire_snapshots,maintenance,20.292
1,sweep_008,B0,3,verify_state,verification,5.834
1,sweep_008,B1,0,staging_views,harness,10.834
1,sweep_008,B1,1,insert_overwrite_all_states,write,11.51
1,sweep_008,B1,2,verify_state,verification,7.647
1,sweep_008,B2,0,staging_views,harness,10.877
1,sweep_008,B2,1,insert_overwrite_selection,write,11.178
1,sweep_008,B2,2,expire_snapshots,maintenance,14.194
1,sweep_008,B2,3,verify_state,verification,6.237
1,sweep_008,B3,0,staging_views,harness,10.569
1,sweep_008,B3,1,insert_store_rows,write,5.28
1,sweep_008,B3,2,merge_serving_dirty_cells,write,10.523
1,sweep_008,B3,3,expire_snapshots_store,maintenance,13.232
1,sweep_008,B3,4,expire_snapshots_serving,maintenance,9.214
1,sweep_008,B3,5,verify_state,verification,4.882
1,sweep_016,B0,0,staging_views,harness,11.410
1,sweep_016,B0,1,merge_revision,write,11.642
1,sweep_016,B0,2,expire_snapshots,maintenance,14.211
1,sweep_016,B0,3,verify_state,verification,6.26
1,sweep_016,B1,0,staging_views,harness,11.274
1,sweep_016,B1,1,insert_overwrite_all_states,write,10.349
1,sweep_016,B1,2,verify_state,verification,7.678
1,sweep_016,B2,0,staging_views,harness,11.320
1,sweep_016,B2,1,insert_overwrite_selection,write,9.891
1,sweep_016,B2,2,expire_snapshots,maintenance,15.645
1,sweep_016,B2,3,verify_state,verification,6.15
1,sweep_016,B3,0,staging_views,harness,10.957
1,sweep_016,B3,1,insert_store_rows,write,5.277
1,sweep_016,B3,2,merge_serving_dirty_cells,write,10.083
1,sweep_016,B3,3,expire_snapshots_store,maintenance,12.627
1,sweep_016,B3,4,expire_snapshots_serving,maintenance,17.023
1,sweep_016,B3,5,verify_state,verification,5.017
1,sweep_038,B0,0,staging_views,harness,10.655
1,sweep_038,B0,1,merge_revision,write,10.378
1,sweep_038,B0,2,expire_snapshots,maintenance,14.483
1,sweep_038,B0,3,verify_state,verification,5.473
1,sweep_038,B1,0,staging_views,harness,10.630
1,sweep_038,B1,1,insert_overwrite_all_states,write,10.068
1,sweep_038,B1,2,verify_state,verification,6.475
1,sweep_038,B2,0,staging_views,harness,10.524
1,sweep_038,B2,1,insert_overwrite_selection,write,9.466
1,sweep_038,B2,2,expire_snapshots,maintenance,13.586
1,sweep_038,B2,3,verify_state,verification,5.563
1,sweep_038,B3,0,staging_views,harness,10.632
1,sweep_038,B3,1,insert_store_rows,write,5.558
1,sweep_038,B3,2,merge_serving_dirty_cells,write,9.822
1,sweep_038,B3,3,expire_snapshots_store,maintenance,12.147
1,sweep_038,B3,4,expire_snapshots_serving,maintenance,8.099
1,sweep_038,B3,5,verify_state,verification,4.793
2,sweep_001,B0,0,staging_views,harness,10.210
2,sweep_001,B0,1,merge_revision,write,11.381
2,sweep_001,B0,2,expire_snapshots,maintenance,13.836
2,sweep_001,B0,3,verify_state,verification,5.252
