arrival_order,source_id,vintage_date,arriving_rows,overwritten_rows,value_changed_rows,same_value_overwrites,treatment_id,write_statements,write_seconds_median,write_seconds_min,write_seconds_max,maintenance_seconds_median,total_seconds_median,rows_after,cells_after,snapshots_after,referenced_bytes_after,referenced_bytes_added
1,bps_tpb_2024,2024-12-31,1560,0,0,0,B0,1,8.021,7.653,8.222,6.627,14.849,1560,1560,1,121407,121407
1,bps_tpb_2024,2024-12-31,1560,0,0,0,B1,1,8.267,8.057,8.288,0.000,8.267,1560,1560,1,124697,124697
1,bps_tpb_2024,2024-12-31,1560,0,0,0,B2,1,8.797,8.047,17.465,6.615,15.117,1560,1560,1,133286,133286
1,bps_tpb_2024,2024-12-31,1560,0,0,0,B3,2,14.961,14.643,15.147,9.410,24.454,3120,1560,1,256218,256218
2,bps_tpb_2025,2025-12-30,62,38,4,34,B0,1,3.929,3.895,3.995,10.937,14.832,1584,1584,1,134128,12721
2,bps_tpb_2025,2025-12-30,62,38,4,34,B1,1,2.315,2.281,2.651,0.000,2.315,3144,1584,2,275268,150571
2,bps_tpb_2025,2025-12-30,62,38,4,34,B2,1,2.064,1.997,2.448,10.501,12.949,1584,1584,1,146070,12784
2,bps_tpb_2025,2025-12-30,62,38,4,34,B3,2,6.467,5.924,6.585,17.712,24.297,3206,1584,1,328109,71891
3,bps_webapi,2026-09-08,770,770,6,764,B0,1,3.497,3.064,3.806,8.120,11.926,1584,1584,1,156186,22058
3,bps_webapi,2026-09-08,770,770,6,764,B1,1,2.199,1.863,2.222,0.000,2.199,4728,1584,3,448003,172735
3,bps_webapi,2026-09-08,770,770,6,764,B2,1,2.062,1.961,2.401,7.850,10.251,1584,1584,1,146660,590
3,bps_webapi,2026-09-08,770,770,6,764,B3,2,5.513,5.204,5.827,14.781,20.608,3976,1584,1,429175,101066
4,bps_webapi,2026-09-08,4591,797,33,764,B0,1,3.197,2.685,3.209,7.368,10.577,5378,5378,1,329276,173090
4,bps_webapi,2026-09-08,4591,797,33,764,B1,1,2.269,2.035,2.348,0.000,2.269,10106,5378,4,837744,389741
4,bps_webapi,2026-09-08,4591,797,33,764,B2,1,1.830,1.641,1.945,7.541,9.371,5378,5378,1,312945,166285
4,bps_webapi,2026-09-08,4591,797,33,764,B3,2,5.861,5.789,6.141,13.709,19.570,12361,5378,1,839008,409833
