stage,point_kind,point,treatment_id,was_doubtful,repetitions_reported,write_median_reported,write_spread_reported,repetitions_added,repetitions_pooled,write_median_pooled,write_min_pooled,write_max_pooled,write_spread_pooled,shift_ratio,verdict
H11,sweep_scenario,sweep_001,B0,no,3,11.324,0.0632,3,6,10.904,10.665,11.381,0.0657,-0.0371,stable
H11,sweep_scenario,sweep_001,B1,no,3,10.056,0.0488,3,6,10.082,9.625,10.572,0.0939,0.0026,stable
H11,sweep_scenario,sweep_001,B2,yes,3,9.998,0.3465,3,6,9.956,9.405,12.869,0.3479,-0.0042,stable
H11,sweep_scenario,sweep_001,B3,yes,3,15.971,0.3487,3,6,15.964,15.445,21.014,0.3488,-0.0004,stable
H11,sweep_scenario,sweep_002,B0,no,3,10.682,0.1518,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_002,B1,no,3,10.286,0.0364,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_002,B2,no,3,9.548,0.0290,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_002,B3,no,3,15.659,0.0743,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_004,B0,no,3,10.309,0.0691,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_004,B1,no,3,10.181,0.1127,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_004,B2,no,3,9.530,0.0917,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_004,B3,no,3,15.674,0.1141,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_008,B0,no,3,11.090,0.1803,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_008,B1,no,3,9.911,0.1740,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_008,B2,no,3,9.861,0.1556,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_008,B3,no,3,15.606,0.0675,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_016,B0,no,3,11.262,0.0873,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_016,B1,no,3,10.349,0.0350,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_016,B2,no,3,9.891,0.0772,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_016,B3,no,3,15.421,0.0130,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_038,B0,no,3,10.469,0.0672,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_038,B1,no,3,10.068,0.0615,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_038,B2,no,3,9.466,0.0091,0,3,,,,,,not_rerun
H11,sweep_scenario,sweep_038,B3,no,3,15.380,0.0620,0,3,,,,,,not_rerun
H12,release_arrival,1,B0,no,3,8.021,0.0709,3,6,7.915,7.653,8.650,0.1260,-0.0132,stable
H12,release_arrival,1,B1,no,3,8.267,0.0279,3,6,8.282,8.057,8.471,0.0500,0.0018,stable
H12,release_arrival,1,B2,yes,3,8.797,1.0706,3,6,8.872,8.047,17.465,1.0616,0.0085,stable
H12,release_arrival,1,B3,no,3,14.961,0.0337,3,6,14.918,14.401,15.147,0.0500,-0.0029,stable
H12,release_arrival,2,B0,no,3,3.929,0.0255,3,6,4.085,3.895,4.396,0.1226,0.0397,stable
H12,release_arrival,2,B1,no,3,2.315,0.1598,3,6,2.375,2.281,2.883,0.2535,0.0259,stable
H12,release_arrival,2,B2,yes,3,2.064,0.2185,3,6,2.250,1.997,2.448,0.2004,0.0901,shifted
H12,release_arrival,2,B3,no,3,6.467,0.1022,3,6,6.185,5.497,6.585,0.1759,-0.0436,stable
H12,release_arrival,3,B0,yes,3,3.497,0.2122,3,6,3.319,3.064,3.806,0.2235,-0.0509,shifted
H12,release_arrival,3,B1,no,3,2.199,0.1633,3,6,2.210,1.863,2.368,0.2285,0.0050,stable
H12,release_arrival,3,B2,yes,3,2.062,0.2134,3,6,2.014,1.895,2.401,0.2512,-0.0233,stable
H12,release_arrival,3,B3,no,3,5.513,0.1130,3,6,5.443,5.204,5.827,0.1145,-0.0127,stable
H12,release_arrival,4,B0,no,3,3.197,0.1639,3,6,3.203,2.685,3.257,0.1786,0.0019,stable
H12,release_arrival,4,B1,no,3,2.269,0.1379,3,6,2.176,2.035,2.348,0.1438,-0.0410,stable
H12,release_arrival,4,B2,no,3,1.830,0.1661,3,6,1.885,1.641,2.111,0.2493,0.0301,stable
H12,release_arrival,4,B3,no,3,5.861,0.0601,3,6,6.001,5.593,17.551,1.9927,0.0239,stable
