scenario_order,scenario_id,treatment_id,workload_sha256,payload_verified,input_rows,revised_source_mix,single_revised_source,synthetic_vintage_id,synthetic_vintage_date,cells_evaluated,rows_written_logical,serving_changed_cells,serving_value_changed_cells,synthetic_observations_served,latest_vintage_cells,requests,addressable_requests,unavailable_requests,revised_base_recalled,incremental_equals_full,execution_status,timing,storage
1,validation_001,B0,96c500fd10e478aa577acac96da72701e27398077502a64f46d4497d9c7ec430,yes,1,bps_webapi=1,yes,11e6733d4f82a796f7d5,2026-09-09,1,1,1,1,1,14,39,14,25,0,not_applicable,executed_logical,not_measured,not_measured
1,validation_001,B1,96c500fd10e478aa577acac96da72701e27398077502a64f46d4497d9c7ec430,yes,1,bps_webapi=1,yes,11e6733d4f82a796f7d5,2026-09-09,14,14,1,1,1,14,39,39,0,1,not_applicable,executed_logical,not_measured,not_measured
1,validation_001,B2,96c500fd10e478aa577acac96da72701e27398077502a64f46d4497d9c7ec430,yes,1,bps_webapi=1,yes,11e6733d4f82a796f7d5,2026-09-09,1,0,0,0,0,4,39,14,25,0,not_applicable,executed_logical,not_measured,not_measured
1,validation_001,B3,96c500fd10e478aa577acac96da72701e27398077502a64f46d4497d9c7ec430,yes,1,bps_webapi=1,yes,11e6733d4f82a796f7d5,2026-09-09,1,2,1,1,1,14,39,39,0,1,yes,executed_logical,not_measured,not_measured
2,validation_002,B0,448927f334f7cc340fe601bfaffbda265e52414337d6d1668161eac1657bdd5d,yes,2,bps_tpb_2025=1;bps_webapi=1,no,1b21698a044696991f6c,2026-09-09,2,2,2,2,2,14,40,14,26,0,not_applicable,executed_logical,not_measured,not_measured
2,validation_002,B1,448927f334f7cc340fe601bfaffbda265e52414337d6d1668161eac1657bdd5d,yes,2,bps_tpb_2025=1;bps_webapi=1,no,1b21698a044696991f6c,2026-09-09,14,14,2,2,2,14,40,40,0,2,not_applicable,executed_logical,not_measured,not_measured
2,validation_002,B2,448927f334f7cc340fe601bfaffbda265e52414337d6d1668161eac1657bdd5d,yes,2,bps_tpb_2025=1;bps_webapi=1,no,1b21698a044696991f6c,2026-09-09,2,1,1,1,1,4,40,14,26,0,not_applicable,executed_logical,not_measured,not_measured
2,validation_002,B3,448927f334f7cc340fe601bfaffbda265e52414337d6d1668161eac1657bdd5d,yes,2,bps_tpb_2025=1;bps_webapi=1,no,1b21698a044696991f6c,2026-09-09,2,4,2,2,2,14,40,40,0,2,yes,executed_logical,not_measured,not_measured
3,validation_004,B0,194143fc16728c4fc7e08a3a649621e8e483bdde66b2ece56c5f3458cc699530,yes,4,bps_tpb_2025=1;bps_webapi=3,no,d5bf7b76cb8aa7dfb8c7,2026-09-09,4,4,4,4,4,14,42,14,28,0,not_applicable,executed_logical,not_measured,not_measured
3,validation_004,B1,194143fc16728c4fc7e08a3a649621e8e483bdde66b2ece56c5f3458cc699530,yes,4,bps_tpb_2025=1;bps_webapi=3,no,d5bf7b76cb8aa7dfb8c7,2026-09-09,14,14,4,4,4,14,42,42,0,4,not_applicable,executed_logical,not_measured,not_measured
3,validation_004,B2,194143fc16728c4fc7e08a3a649621e8e483bdde66b2ece56c5f3458cc699530,yes,4,bps_tpb_2025=1;bps_webapi=3,no,d5bf7b76cb8aa7dfb8c7,2026-09-09,4,1,1,1,1,4,42,14,28,0,not_applicable,executed_logical,not_measured,not_measured
3,validation_004,B3,194143fc16728c4fc7e08a3a649621e8e483bdde66b2ece56c5f3458cc699530,yes,4,bps_tpb_2025=1;bps_webapi=3,no,d5bf7b76cb8aa7dfb8c7,2026-09-09,4,8,4,4,4,14,42,42,0,4,yes,executed_logical,not_measured,not_measured
4,validation_007,B0,114658d85115a41e21d367ce42cf64fd4d5561bc4821be00490595f96aabe1da,yes,7,bps_tpb_2025=2;bps_webapi=5,no,0a3027d17dfd67f5159b,2026-09-09,7,7,7,7,7,14,45,14,31,0,not_applicable,executed_logical,not_measured,not_measured
4,validation_007,B1,114658d85115a41e21d367ce42cf64fd4d5561bc4821be00490595f96aabe1da,yes,7,bps_tpb_2025=2;bps_webapi=5,no,0a3027d17dfd67f5159b,2026-09-09,14,14,7,7,7,14,45,45,0,7,not_applicable,executed_logical,not_measured,not_measured
4,validation_007,B2,114658d85115a41e21d367ce42cf64fd4d5561bc4821be00490595f96aabe1da,yes,7,bps_tpb_2025=2;bps_webapi=5,no,0a3027d17dfd67f5159b,2026-09-09,7,2,2,2,2,4,45,14,31,0,not_applicable,executed_logical,not_measured,not_measured
4,validation_007,B3,114658d85115a41e21d367ce42cf64fd4d5561bc4821be00490595f96aabe1da,yes,7,bps_tpb_2025=2;bps_webapi=5,no,0a3027d17dfd67f5159b,2026-09-09,7,14,7,7,7,14,45,45,0,7,yes,executed_logical,not_measured,not_measured
5,validation_014,B0,96a4273f1ce9e1c371daebd992481a9375695dd819b90f80ee50961ceb2dad53,yes,14,bps_tpb_2025=4;bps_webapi=10,no,0650eacfe1f5078b5679,2026-09-09,14,14,14,14,14,14,52,14,38,0,not_applicable,executed_logical,not_measured,not_measured
5,validation_014,B1,96a4273f1ce9e1c371daebd992481a9375695dd819b90f80ee50961ceb2dad53,yes,14,bps_tpb_2025=4;bps_webapi=10,no,0650eacfe1f5078b5679,2026-09-09,14,14,14,14,14,14,52,52,0,14,not_applicable,executed_logical,not_measured,not_measured
