treatment_id,requested_observation_id,requested_value_lexeme,returned_observation_id,returned_value_lexeme,locator,addressable,expected_addressable,exact_match
B0,05a8528c88245297d4ba,13.21,,,,no,no,not_applicable
B0,09bd4158de9b28a03d83,-1.17,09bd4158de9b28a03d83,-1.17,current,yes,yes,yes
B0,1721995859418ecf608c,-0.21,,,,no,no,not_applicable
B0,211b04665de26cd11d77,-3.03,,,,no,no,not_applicable
B0,2766cbe2cf960f73ba05,19.30,,,,no,no,not_applicable
B0,27f750d142897641b3b1,3.68,,,,no,no,not_applicable
B0,356dadeceba952eb2a0c,3.68,,,,no,no,not_applicable
B0,463dda3fe5140e2fbed2,1.16,,,,no,no,not_applicable
B0,49b82f2b710bfb946f9f,4.14,49b82f2b710bfb946f9f,4.14,current,yes,yes,yes
B0,4af2e0e7825c9f2ac443,19.25,4af2e0e7825c9f2ac443,19.25,current,yes,yes,yes
B0,506a60e86fb32d9c608b,3.66,506a60e86fb32d9c608b,3.66,current,yes,yes,yes
B0,5fab5a82719cacffcbe4,-1.14,,,,no,no,not_applicable
B0,69745dd19d776c69570e,11.05,,,,no,no,not_applicable
B0,69a1ecde0bf18c3a84ae,-0.72,,,,no,no,not_applicable
B0,6ad6dfc4b05d0f292d1f,11.05,,,,no,no,not_applicable
B0,6fbf4aae1b9a6de0051a,1.13,,,,no,no,not_applicable
B0,72e8553f361951a0c2c8,-0.21,,,,no,no,not_applicable
B0,74fed6e1c3d917191be6,-3.26,74fed6e1c3d917191be6,-3.26,current,yes,yes,yes
B0,87cdfc70ee6d45666fec,12.04,87cdfc70ee6d45666fec,12.04,current,yes,yes,yes
B0,9fcd6d7d4f2e24e56db1,-1.14,,,,no,no,not_applicable
B0,9fe0a3bb2baed4ce3810,1.16,,,,no,no,not_applicable
B0,a16c09b869c2ad72a4ea,-4.03,,,,no,no,not_applicable
B0,a34fc65bf470c1e7ce20,-0.72,,,,no,no,not_applicable
B0,ad8a7f5c7869af674e3a,2.76,ad8a7f5c7869af674e3a,2.76,current,yes,yes,yes
B0,b55b4fefc9148be667c1,1.15,b55b4fefc9148be667c1,1.15,current,yes,yes,yes
B0,bc696217068415ca73e2,-4.03,,,,no,no,not_applicable
B0,cb0d5147421c66597d95,1.18,cb0d5147421c66597d95,1.18,current,yes,yes,yes
B0,cfe502c53f19a90449e6,1.13,,,,no,no,not_applicable
B0,d3d17696ddd6a7bcb743,-0.69,d3d17696ddd6a7bcb743,-0.69,current,yes,yes,yes
B0,d99bc3566095bc6ee582,51.16,d99bc3566095bc6ee582,51.16,current,yes,yes,yes
B0,deabb3549fa520121850,19.30,,,,no,no,not_applicable
B0,df8ae4a2843995c9185d,-0.19,df8ae4a2843995c9185d,-0.19,current,yes,yes,yes
B0,e06e475e6f5cb8748897,-4.07,e06e475e6f5cb8748897,-4.07,current,yes,yes,yes
B0,e313de2e0e1a97bc17ff,51.20,,,,no,no,not_applicable
B0,edde0b27f2f31f5fb962,13.10,edde0b27f2f31f5fb962,13.10,current,yes,yes,yes
B0,f2b9db071dd4766d6307,4.18,,,,no,no,not_applicable
B0,f4b6cbcb460eaef0f82e,4.18,,,,no,no,not_applicable
B0,f831d08aa91c95864cd0,2.52,,,,no,no,not_applicable
B1,05a8528c88245297d4ba,13.21,05a8528c88245297d4ba,13.21,snapshot_orders=1,yes,yes,yes
B1,09bd4158de9b28a03d83,-1.17,09bd4158de9b28a03d83,-1.17,snapshot_orders=3,yes,yes,yes
B1,1721995859418ecf608c,-0.21,1721995859418ecf608c,-0.21,snapshot_orders=2,yes,yes,yes
B1,211b04665de26cd11d77,-3.03,211b04665de26cd11d77,-3.03,snapshot_orders=1,yes,yes,yes
B1,2766cbe2cf960f73ba05,19.30,2766cbe2cf960f73ba05,19.30,snapshot_orders=1,yes,yes,yes
B1,27f750d142897641b3b1,3.68,27f750d142897641b3b1,3.68,snapshot_orders=1,yes,yes,yes
B1,356dadeceba952eb2a0c,3.68,356dadeceba952eb2a0c,3.68,snapshot_orders=2,yes,yes,yes
B1,463dda3fe5140e2fbed2,1.16,463dda3fe5140e2fbed2,1.16,snapshot_orders=2,yes,yes,yes
