scenario_id,treatment_id,requested_observation_id,request_kind,requested_value_lexeme,returned_value_lexeme,locator,addressable,expected_addressable,exact_match,repetitions_agreeing
validation_001,B0,05a8528c88245297d4ba,official,13.21,,,no,no,not_applicable,3
validation_001,B0,09bd4158de9b28a03d83,official,-1.17,-1.17,current,yes,yes,yes,3
validation_001,B0,1721995859418ecf608c,official,-0.21,,,no,no,not_applicable,3
validation_001,B0,211b04665de26cd11d77,official,-3.03,,,no,no,not_applicable,3
validation_001,B0,2766cbe2cf960f73ba05,official,19.30,,,no,no,not_applicable,3
validation_001,B0,27f750d142897641b3b1,official,3.68,,,no,no,not_applicable,3
validation_001,B0,356dadeceba952eb2a0c,official,3.68,,,no,no,not_applicable,3
validation_001,B0,463dda3fe5140e2fbed2,official,1.16,,,no,no,not_applicable,3
validation_001,B0,49b82f2b710bfb946f9f,official,4.14,4.14,current,yes,yes,yes,3
validation_001,B0,4af2e0e7825c9f2ac443,official,19.25,19.25,current,yes,yes,yes,3
validation_001,B0,506a60e86fb32d9c608b,official,3.66,3.66,current,yes,yes,yes,3
validation_001,B0,5fab5a82719cacffcbe4,official,-1.14,,,no,no,not_applicable,3
validation_001,B0,69745dd19d776c69570e,official,11.05,,,no,no,not_applicable,3
validation_001,B0,69a1ecde0bf18c3a84ae,official,-0.72,,,no,no,not_applicable,3
validation_001,B0,6ad6dfc4b05d0f292d1f,official,11.05,,,no,no,not_applicable,3
validation_001,B0,6fbf4aae1b9a6de0051a,official,1.13,,,no,no,not_applicable,3
validation_001,B0,72e8553f361951a0c2c8,official,-0.21,,,no,no,not_applicable,3
validation_001,B0,74fed6e1c3d917191be6,official,-3.26,-3.26,current,yes,yes,yes,3
validation_001,B0,87cdfc70ee6d45666fec,official,12.04,12.04,current,yes,yes,yes,3
validation_001,B0,9fcd6d7d4f2e24e56db1,official,-1.14,,,no,no,not_applicable,3
validation_001,B0,9fe0a3bb2baed4ce3810,official,1.16,,,no,no,not_applicable,3
validation_001,B0,a16c09b869c2ad72a4ea,official,-4.03,,,no,no,not_applicable,3
validation_001,B0,a34fc65bf470c1e7ce20,official,-0.72,,,no,no,not_applicable,3
validation_001,B0,ad8a7f5c7869af674e3a,official,2.76,2.76,current,yes,yes,yes,3
validation_001,B0,b55b4fefc9148be667c1,official,1.15,1.15,current,yes,yes,yes,3
validation_001,B0,b5718af8676ffae2106a,synthetic,1.19,1.19,current,yes,yes,yes,3
validation_001,B0,bc696217068415ca73e2,official,-4.03,,,no,no,not_applicable,3
validation_001,B0,cb0d5147421c66597d95,official,1.18,,,no,no,not_applicable,3
validation_001,B0,cfe502c53f19a90449e6,official,1.13,,,no,no,not_applicable,3
validation_001,B0,d3d17696ddd6a7bcb743,official,-0.69,-0.69,current,yes,yes,yes,3
validation_001,B0,d99bc3566095bc6ee582,official,51.16,51.16,current,yes,yes,yes,3
validation_001,B0,deabb3549fa520121850,official,19.30,,,no,no,not_applicable,3
validation_001,B0,df8ae4a2843995c9185d,official,-0.19,-0.19,current,yes,yes,yes,3
validation_001,B0,e06e475e6f5cb8748897,official,-4.07,-4.07,current,yes,yes,yes,3
validation_001,B0,e313de2e0e1a97bc17ff,official,51.20,,,no,no,not_applicable,3
validation_001,B0,edde0b27f2f31f5fb962,official,13.10,13.10,current,yes,yes,yes,3
