audit_request_id,treatment_id,cell_id,requested_observation_id,requested_vintage_id,source_lineage_path_id,source_record_node_id,observation_node_id,requested_value_decimal,requested_value_lexeme,reported_result,reported_addressable,computed_addressable,access_class,lookup_locator,serving_observation_id,returned_observation_id,returned_value_decimal,returned_value_lexeme,identity_match,decimal_match,lexeme_match,failure_class,treatment_manifest_path,treatment_manifest_sha256,audit_status
audit:7e79780442eeaffb87fe,B0,5b5eeef107bb6f124496,05a8528c88245297d4ba,aa7252a58f41161c17c3,path:61a65539dd7fd15cc1b6,source_record:07204f7959a158920906,observation:5f781c26691e4c1d4e63,13.2100000000,13.21,historical_overwritten,no,no,unavailable,,edde0b27f2f31f5fb962,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:d4d4e64a3e3bf8c77fba,B0,1c03a76cb6a98f53235d,09bd4158de9b28a03d83,b132d2fab33291e0733e,path:b98116cdfc3625b57334,source_record:621b059bcf550a1ead3a,observation:3f64e0aa5f69399e8a04,-1.1700000000,-1.17,current_available,yes,yes,serving_state,current:cell_id=1c03a76cb6a98f53235d,09bd4158de9b28a03d83,09bd4158de9b28a03d83,-1.1700000000,-1.17,yes,yes,yes,none,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:01215416fdbacf66c627,B0,3087bf08970908c509ca,1721995859418ecf608c,9ab2011a3892edfac889,path:62b34012c87ba9a4340f,source_record:3edd79e5e5b56f709897,observation:c8d559d64c4d785c41a3,-0.2100000000,-0.21,historical_overwritten,no,no,unavailable,,df8ae4a2843995c9185d,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:91183cb952f48c2f0082,B0,53b2a1ef09a68d6c5173,211b04665de26cd11d77,aa7252a58f41161c17c3,path:bb4132599b10a4c786e9,source_record:4ed2457911a60c3d488b,observation:8723d68bb99c76a272c0,-3.0300000000,-3.03,historical_overwritten,no,no,unavailable,,74fed6e1c3d917191be6,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:fb5db447bda22d037917,B0,71a013b45f47a8aefa7d,2766cbe2cf960f73ba05,aa7252a58f41161c17c3,path:24ed4b6b702e502e42e6,source_record:69c44ea8114c54419750,observation:3b44dd267dadc5b9eb40,19.3000000000,19.30,historical_overwritten,no,no,unavailable,,4af2e0e7825c9f2ac443,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:2b6aaf910f8efb6a80cb,B0,e33e2f8351747300cba7,27f750d142897641b3b1,aa7252a58f41161c17c3,path:f9d72b85568f2a848e1c,source_record:294fa03a900a59c6bcc9,observation:ea029425bb6e7db0f2d4,3.6800000000,3.68,historical_overwritten,no,no,unavailable,,506a60e86fb32d9c608b,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:05d62208f733d98a4b49,B0,e33e2f8351747300cba7,356dadeceba952eb2a0c,9ab2011a3892edfac889,path:0afc3e5030134801aaf0,source_record:c2b5603f1388485b6d3e,observation:be61f5d1cfa355a917f0,3.6800000000,3.68,historical_overwritten,no,no,unavailable,,506a60e86fb32d9c608b,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:9c74d29ea8a515bd4340,B0,7c1c5248808f73b2f3a6,463dda3fe5140e2fbed2,9ab2011a3892edfac889,path:b2e639819b1544aa2d08,source_record:e6e65cbbb0692b29878a,observation:4451fa83b206a52cd53e,1.1600000000,1.16,historical_overwritten,no,no,unavailable,,cb0d5147421c66597d95,,,,not_applicable,not_applicable,not_applicable,expected_unavailable_by_treatment_policy,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:7b2e54d93b1c29078ea4,B0,e4982bb0d13ac08094aa,49b82f2b710bfb946f9f,b132d2fab33291e0733e,path:322b033ed589deaf1c3d,source_record:423572d2616d043c15d1,observation:864f2c2d1b88e471e06c,4.1400000000,4.14,current_available,yes,yes,serving_state,current:cell_id=e4982bb0d13ac08094aa,49b82f2b710bfb946f9f,49b82f2b710bfb946f9f,4.1400000000,4.14,yes,yes,yes,none,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
audit:c148d1af9f25b2b4c817,B0,71a013b45f47a8aefa7d,4af2e0e7825c9f2ac443,b132d2fab33291e0733e,path:c432cf9d5f8eb992f618,source_record:d3ee5d39849b0096d5ce,observation:6e3265bf4a2eadf39698,19.2500000000,19.25,current_available,yes,yes,serving_state,current:cell_id=71a013b45f47a8aefa7d,4af2e0e7825c9f2ac443,4af2e0e7825c9f2ac443,19.2500000000,19.25,yes,yes,yes,none,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,passed
