scenario_id,cells_revised,treatment_id,admitted_revisions,served_revisions,expected_served_revisions,propagation_rate
sweep_001,1,B0,1,1,1,1.0000
sweep_001,1,B1,1,1,1,1.0000
sweep_001,1,B2,1,1,1,1.0000
sweep_001,1,B3,1,1,1,1.0000
sweep_002,2,B0,2,2,2,1.0000
sweep_002,2,B1,2,2,2,1.0000
sweep_002,2,B2,2,2,2,1.0000
sweep_002,2,B3,2,2,2,1.0000
sweep_004,4,B0,4,4,4,1.0000
sweep_004,4,B1,4,4,4,1.0000
sweep_004,4,B2,4,4,4,1.0000
sweep_004,4,B3,4,4,4,1.0000
sweep_008,8,B0,8,8,8,1.0000
sweep_008,8,B1,8,8,8,1.0000
sweep_008,8,B2,8,8,8,1.0000
sweep_008,8,B3,8,8,8,1.0000
sweep_016,16,B0,16,16,16,1.0000
sweep_016,16,B1,16,16,16,1.0000
sweep_016,16,B2,16,16,16,1.0000
sweep_016,16,B3,16,16,16,1.0000
sweep_038,38,B0,38,38,38,1.0000
sweep_038,38,B1,38,38,38,1.0000
sweep_038,38,B2,38,38,38,1.0000
sweep_038,38,B3,38,38,38,1.0000
