indicator_key,domain,indicator_name,rank,match_score,webapi_domain_id,webapi_variable_id,webapi_title,subject_id,subject_name
sdg04_minimum_competency,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),1,0.5500,0000,1417,Proporsi Anak Kelas 4 SD yang Mencapai Standar Kemampuan Minimum Dalam Membaca dan Matematika,28,Pendidikan
sdg04_minimum_competency,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),2,0.2326,0000,1748,Jumlah Fasilitas Publik yang Menerapkan Standar Pelayanan Masyarakat (SPM) dan Teregister,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_minimum_competency,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),3,0.2058,0000,1762,Persentase Kabupaten Kota yang mencapai 80 % Imunisasi Dasar Lengkap Pada Bayi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_minimum_competency,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),4,0.2016,0000,544,Kebutuhan Hidup Minimum/Layak (Khm/Khl) Selama Sebulan (Rupiah) Menurut Provinsi,5,Konsumsi dan Pengeluaran
sdg04_minimum_competency,education,Siswa mencapai standar kemampuan minimum literasi dan numerasi (AKM),5,0.1984,0000,1764,Jumlah Kabupaten/Kota yang mencapai eliminasi Malaria,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_completion_rate,education,Angka penyelesaian SD/SMP/SMA,1,0.4752,0000,1799,"Persentase Guru TK, SD, SMP, SMA, dan SLB Bersertifikasi Pendidik, Persentase Guru Berkualifikasi Minimal S1 pada Satuan Tingkat Pendidikan",181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_completion_rate,education,Angka penyelesaian SD/SMP/SMA,2,0.4053,0000,1424,Angka Partisipasi Kasar (APK) SD/sederajat Menurut Jenis Kelamin,28,Pendidikan
sdg04_completion_rate,education,Angka penyelesaian SD/SMP/SMA,3,0.4013,0000,1423,Angka Partisipasi Kasar (APK) SD/sederajat Menurut Klasifikasi Desa,28,Pendidikan
sdg04_completion_rate,education,Angka penyelesaian SD/SMP/SMA,4,0.3974,0000,1427,Angka Partisipasi Kasar (APK) SMP/sederajat Menurut Jenis Kelamin,28,Pendidikan
sdg04_completion_rate,education,Angka penyelesaian SD/SMP/SMA,5,0.3937,0000,1426,Angka Partisipasi Kasar (APK) SMP/sederajat Menurut Klasifikasi Desa,28,Pendidikan
sdg04_aps,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,1,0.4231,0000,301,Angka Partisipasi Sekolah (APS) Menurut Provinsi,28,Pendidikan
sdg04_aps,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,2,0.4092,0000,2211,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,28,Pendidikan
sdg04_aps,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,3,0.2836,0000,1353,Angka Kelahiran Pada Perempuan Usia 15-19 Tahun Menurut Provinsi ,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_aps,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,4,0.2836,0000,1397,Angka Kelahiran Pada Perempuan Usia 15-19 Tahun Menurut Provinsi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_aps,education,Angka Partisipasi Sekolah (APS) 7-12 13-15 16-18 19-24,5,0.2727,0000,1398,Angka Kelahiran Pada Perempuan Usia 15-19 Tahun Menurut Daerah Tempat Tinggal,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_apm,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,1,0.6964,0000,1135,Angka Partisipasi Murni (APM) SD/sederajat Perkotaan Menurut Jenis Kelamin,40,Gender
sdg04_apm,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,2,0.6964,0000,1138,Angka Partisipasi Murni (APM) SD/sederajat Perdesaan Menurut Jenis Kelamin,40,Gender
sdg04_apm,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,3,0.6892,0000,1140,Angka Partisipasi Murni (APM) SMP/sederajat Perkotaan Menurut Jenis Kelamin,40,Gender
sdg04_apm,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,4,0.6892,0000,1141,Angka Partisipasi Murni (APM) SMP/sederajat Perdesaan Menurut Jenis Kelamin,40,Gender
sdg04_apm,education,Angka Partisipasi Murni (APM) SD/SMP/SMA,5,0.6800,0000,1139,Angka Partisipasi Murni (APM) SD/sederajat Perdesaan+Perkotaan Menurut Jenis Kelamin,40,Gender
sdg04_apk,education,Angka Partisipasi Kasar (APK) SD/SMP/SMA/PT,1,0.6472,0000,1424,Angka Partisipasi Kasar (APK) SD/sederajat Menurut Jenis Kelamin,28,Pendidikan
