webapi_domain_id,webapi_variable_id,title,subject_name,vervar_dimension,geography_levels,national_units,province_units,regency_units,category_dimensions,category_count,period_types,period_start,period_end,period_count,period_gaps,observed_cells,expected_cells,cell_density,last_update,producer,indicator_keys,selection_statuses
0000,4,,,,,0,0,0,,0,,,,0,,0,0,,,Badan Pusat Statistik,sdg04_literacy,selected_limited
0000,150,Persentase Rumah Tangga Menurut Provinsi dan Bahan Bakar Utama untuk Memasak,Pemukiman dan Perumahan,,national;province,1,38,0,Arang/Briket; Gas/Elpiji; Jumlah; Kayu; Lainnya(1); Listrik; Minyak Tanah,7,Tahun,2015,2025,7,2017;2018;2019;2020,1770,1911,0.9262,2025-12-17 09:56:02,Badan Pusat Statistik,sdg07_clean_cooking,selected
0000,296,[Seri 2010] Laju Pertumbuhan Produk Domestik Regional Bruto Per Kapita Atas Dasar Harga Konstan 2010,Neraca Ekonomi,,national;province,1,38,0,,0,Tahun,2015,2025,11,,397,429,0.9254,2026-02-19 10:27:53,Badan Pusat Statistik,sdg08_gdp_per_capita_growth,selected
0000,303,Angka Partisipasi Kasar (APK) Menurut Provinsi dan Jenjang Pendidikan,Pendidikan,,national;province,1,38,0,SD/sederajat; SM/sederajat; SMP/sederajat,3,Tahun,2015,2025,11,,1179,1287,0.9161,2025-12-01 14:07:15,Badan Pusat Statistik,sdg04_apk,selected
0000,304,Angka Partisipasi Murni (APM) Menurut Provinsi dan Jenjang Pendidikan,Pendidikan,,national;province,1,38,0,SD/sederajat; SM/sederajat; SMP/sederajat,3,Tahun,2015,2025,11,,1179,1287,0.9161,2025-12-12 13:58:59,Badan Pusat Statistik,sdg04_apm,selected
0000,415,[Metode Baru] Rata-rata Lama Sekolah,Pendidikan,,national;province;regency,1,38,540,,0,Tahun,2015,2025,11,,6047,6369,0.9494,2025-11-05 12:00:46,Badan Pusat Statistik,sdg04_rls,selected
0000,417,[Metode Baru] Harapan Lama Sekolah,Pendidikan,,national;province;regency,1,38,540,,0,Tahun,2015,2025,11,,6047,6369,0.9494,2025-11-05 11:56:10,Badan Pusat Statistik,sdg04_hls,selected
0000,543,Tingkat Pengangguran Terbuka Menurut Provinsi,Tenaga Kerja,,national;province,1,38,0,,0,Agustus;Februari;Tahunan,2015,2026,12,,825,1404,0.5876,2026-05-06 15:41:30,Badan Pusat Statistik,sdg08_unemployment,selected
0000,845,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi,Pemukiman dan Perumahan,,national;province,1,38,0,,0,Tahun,2021,2025,5,,183,195,0.9385,2025-12-16 10:31:12,Badan Pusat Statistik/Susenas,sdg06_drinking_water,selected
0000,847,Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak,Pemukiman dan Perumahan,,national;province,1,38,0,,0,Tahun,2015,2025,11,,393,429,0.9161,2025-12-16 14:31:07,Badan Pusat Statistik/Susenas,sdg06_sanitation,selected
