repetition,treatment_id,table,object_class,objects,bytes,physical_rows
1,B0,kkciv.experiments.b0_indicator_current,data,3,32656,14
1,B0,kkciv.experiments.b0_indicator_current,delete,0,0,0
1,B0,kkciv.experiments.b0_indicator_current,manifest,2,19700,
1,B0,kkciv.experiments.b0_indicator_current,manifest_list,1,4533,
1,B0,kkciv.experiments.b0_indicator_current,metadata_json,6,39010,
1,B1,kkciv.experiments.b1_indicator_full_snapshots,data,9,101486,42
1,B1,kkciv.experiments.b1_indicator_full_snapshots,delete,0,0,0
1,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest,5,50595,
1,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest_list,3,13542,
1,B1,kkciv.experiments.b1_indicator_full_snapshots,metadata_json,4,24642,
1,B2,kkciv.experiments.b2_indicator_selected,data,3,38311,14
1,B2,kkciv.experiments.b2_indicator_selected,delete,0,0,0
1,B2,kkciv.experiments.b2_indicator_selected,manifest,1,10576,
1,B2,kkciv.experiments.b2_indicator_selected,manifest_list,1,4485,
1,B2,kkciv.experiments.b2_indicator_selected,metadata_json,2,10707,
1,B3,kkciv.experiments.b3_indicator_current,data,3,36723,14
1,B3,kkciv.experiments.b3_indicator_current,delete,0,0,0
1,B3,kkciv.experiments.b3_indicator_current,manifest,2,20467,
1,B3,kkciv.experiments.b3_indicator_current,manifest_list,1,4532,
1,B3,kkciv.experiments.b3_indicator_current,metadata_json,5,32813,
1,B3,kkciv.experiments.b3_observation_vintages,data,7,80880,38
1,B3,kkciv.experiments.b3_observation_vintages,delete,0,0,0
1,B3,kkciv.experiments.b3_observation_vintages,manifest,3,30034,
1,B3,kkciv.experiments.b3_observation_vintages,manifest_list,1,4623,
1,B3,kkciv.experiments.b3_observation_vintages,metadata_json,5,30816,
2,B0,kkciv.experiments.b0_indicator_current,data,3,32656,14
2,B0,kkciv.experiments.b0_indicator_current,delete,0,0,0
2,B0,kkciv.experiments.b0_indicator_current,manifest,2,19700,
2,B0,kkciv.experiments.b0_indicator_current,manifest_list,1,4532,
2,B0,kkciv.experiments.b0_indicator_current,metadata_json,6,39010,
2,B1,kkciv.experiments.b1_indicator_full_snapshots,data,9,101486,42
2,B1,kkciv.experiments.b1_indicator_full_snapshots,delete,0,0,0
2,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest,5,50591,
2,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest_list,3,13542,
2,B1,kkciv.experiments.b1_indicator_full_snapshots,metadata_json,4,24642,
2,B2,kkciv.experiments.b2_indicator_selected,data,3,38311,14
2,B2,kkciv.experiments.b2_indicator_selected,delete,0,0,0
2,B2,kkciv.experiments.b2_indicator_selected,manifest,1,10575,
2,B2,kkciv.experiments.b2_indicator_selected,manifest_list,1,4484,
2,B2,kkciv.experiments.b2_indicator_selected,metadata_json,2,10707,
2,B3,kkciv.experiments.b3_indicator_current,data,3,36723,14
2,B3,kkciv.experiments.b3_indicator_current,delete,0,0,0
2,B3,kkciv.experiments.b3_indicator_current,manifest,2,20467,
2,B3,kkciv.experiments.b3_indicator_current,manifest_list,1,4529,
2,B3,kkciv.experiments.b3_indicator_current,metadata_json,5,32803,
2,B3,kkciv.experiments.b3_observation_vintages,data,7,80880,38
2,B3,kkciv.experiments.b3_observation_vintages,delete,0,0,0
2,B3,kkciv.experiments.b3_observation_vintages,manifest,3,30034,
2,B3,kkciv.experiments.b3_observation_vintages,manifest_list,1,4618,
2,B3,kkciv.experiments.b3_observation_vintages,metadata_json,5,30816,
3,B0,kkciv.experiments.b0_indicator_current,data,3,32656,14
3,B0,kkciv.experiments.b0_indicator_current,delete,0,0,0
3,B0,kkciv.experiments.b0_indicator_current,manifest,2,19692,
3,B0,kkciv.experiments.b0_indicator_current,manifest_list,1,4532,
3,B0,kkciv.experiments.b0_indicator_current,metadata_json,6,39010,
3,B1,kkciv.experiments.b1_indicator_full_snapshots,data,9,101486,42
3,B1,kkciv.experiments.b1_indicator_full_snapshots,delete,0,0,0
3,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest,5,50591,
3,B1,kkciv.experiments.b1_indicator_full_snapshots,manifest_list,3,13539,
3,B1,kkciv.experiments.b1_indicator_full_snapshots,metadata_json,4,24642,
3,B2,kkciv.experiments.b2_indicator_selected,data,3,38311,14
3,B2,kkciv.experiments.b2_indicator_selected,delete,0,0,0
3,B2,kkciv.experiments.b2_indicator_selected,manifest,1,10573,
3,B2,kkciv.experiments.b2_indicator_selected,manifest_list,1,4484,
3,B2,kkciv.experiments.b2_indicator_selected,metadata_json,2,10707,
3,B3,kkciv.experiments.b3_indicator_current,data,3,36723,14
3,B3,kkciv.experiments.b3_indicator_current,delete,0,0,0
3,B3,kkciv.experiments.b3_indicator_current,manifest,2,20465,
3,B3,kkciv.experiments.b3_indicator_current,manifest_list,1,4531,
3,B3,kkciv.experiments.b3_indicator_current,metadata_json,5,32813,
3,B3,kkciv.experiments.b3_observation_vintages,data,7,80880,38
3,B3,kkciv.experiments.b3_observation_vintages,delete,0,0,0
3,B3,kkciv.experiments.b3_observation_vintages,manifest,3,30033,
3,B3,kkciv.experiments.b3_observation_vintages,manifest_list,1,4623,
3,B3,kkciv.experiments.b3_observation_vintages,metadata_json,5,30816,
