scenario_order,scenario_id,treatment_id,requested_observation_id,request_kind,cell_id,requested_value_lexeme,expected_addressable
1,validation_001,B0,05a8528c88245297d4ba,official,5b5eeef107bb6f124496,13.21,no
1,validation_001,B0,09bd4158de9b28a03d83,official,1c03a76cb6a98f53235d,-1.17,yes
1,validation_001,B0,1721995859418ecf608c,official,3087bf08970908c509ca,-0.21,no
1,validation_001,B0,211b04665de26cd11d77,official,53b2a1ef09a68d6c5173,-3.03,no
1,validation_001,B0,2766cbe2cf960f73ba05,official,71a013b45f47a8aefa7d,19.30,no
1,validation_001,B0,27f750d142897641b3b1,official,e33e2f8351747300cba7,3.68,no
1,validation_001,B0,356dadeceba952eb2a0c,official,e33e2f8351747300cba7,3.68,no
1,validation_001,B0,463dda3fe5140e2fbed2,official,7c1c5248808f73b2f3a6,1.16,no
1,validation_001,B0,49b82f2b710bfb946f9f,official,e4982bb0d13ac08094aa,4.14,yes
1,validation_001,B0,4af2e0e7825c9f2ac443,official,71a013b45f47a8aefa7d,19.25,yes
1,validation_001,B0,506a60e86fb32d9c608b,official,e33e2f8351747300cba7,3.66,yes
1,validation_001,B0,5fab5a82719cacffcbe4,official,1c03a76cb6a98f53235d,-1.14,no
1,validation_001,B0,69745dd19d776c69570e,official,425bfdd5ca02ab3e3cc1,11.05,no
1,validation_001,B0,69a1ecde0bf18c3a84ae,official,af12d1ae8c1555d899be,-0.72,no
1,validation_001,B0,6ad6dfc4b05d0f292d1f,official,425bfdd5ca02ab3e3cc1,11.05,no
1,validation_001,B0,6fbf4aae1b9a6de0051a,official,94651a48df17d3b56a1b,1.13,no
1,validation_001,B0,72e8553f361951a0c2c8,official,3087bf08970908c509ca,-0.21,no
1,validation_001,B0,74fed6e1c3d917191be6,official,53b2a1ef09a68d6c5173,-3.26,yes
1,validation_001,B0,87cdfc70ee6d45666fec,official,425bfdd5ca02ab3e3cc1,12.04,yes
1,validation_001,B0,9fcd6d7d4f2e24e56db1,official,1c03a76cb6a98f53235d,-1.14,no
1,validation_001,B0,9fe0a3bb2baed4ce3810,official,7c1c5248808f73b2f3a6,1.16,no
1,validation_001,B0,a16c09b869c2ad72a4ea,official,4aab4307f4906503d2a4,-4.03,no
1,validation_001,B0,a34fc65bf470c1e7ce20,official,af12d1ae8c1555d899be,-0.72,no
1,validation_001,B0,ad8a7f5c7869af674e3a,official,05ae4dff5d60b5021813,2.76,yes
1,validation_001,B0,b55b4fefc9148be667c1,official,94651a48df17d3b56a1b,1.15,yes
1,validation_001,B0,b5718af8676ffae2106a,synthetic,7c1c5248808f73b2f3a6,1.19,yes
1,validation_001,B0,bc696217068415ca73e2,official,4aab4307f4906503d2a4,-4.03,no
1,validation_001,B0,cb0d5147421c66597d95,official,7c1c5248808f73b2f3a6,1.18,no
1,validation_001,B0,cfe502c53f19a90449e6,official,94651a48df17d3b56a1b,1.13,no
1,validation_001,B0,d3d17696ddd6a7bcb743,official,af12d1ae8c1555d899be,-0.69,yes
1,validation_001,B0,d99bc3566095bc6ee582,official,7e097ceb497e25947325,51.16,yes
