repetition,scenario_id,treatment_id,statement_index,statement_label,phase,seconds
1,validation_001,B0,1,view_payload,harness,5.825
1,validation_001,B0,2,view_expected,harness,0.42
1,validation_001,B0,3,merge_revision,write,9.818
1,validation_001,B0,4,expire_snapshots,maintenance,14.088
1,validation_001,B0,5,verify_state,verification,2.167
1,validation_001,B1,1,view_next_state,harness,6.516
1,validation_001,B1,2,view_expected,harness,0.496
1,validation_001,B1,3,insert_overwrite_snapshot,write,5.442
1,validation_001,B1,4,verify_state,verification,4.62
1,validation_001,B2,1,view_next_state,harness,7.043
1,validation_001,B2,2,view_expected,harness,0.48
1,validation_001,B2,3,insert_overwrite_selection,write,5.308
1,validation_001,B2,4,expire_snapshots,maintenance,16.558
1,validation_001,B2,5,verify_state,verification,2.943
1,validation_001,B3,1,view_payload,harness,6.428
1,validation_001,B3,2,view_dirty_cells,harness,0.504
1,validation_001,B3,3,view_expected,harness,0.434
1,validation_001,B3,4,insert_store_rows,write,5.1
1,validation_001,B3,5,merge_serving_dirty_cells,write,9.877
1,validation_001,B3,6,expire_snapshots_store,maintenance,12.65
1,validation_001,B3,7,expire_snapshots_serving,maintenance,8.341
1,validation_001,B3,8,verify_state,verification,2.209
1,validation_002,B0,1,view_payload,harness,6.924
1,validation_002,B0,2,view_expected,harness,0.406
1,validation_002,B0,3,merge_revision,write,9.503
1,validation_002,B0,4,expire_snapshots,maintenance,13.765
1,validation_002,B0,5,verify_state,verification,2.155
1,validation_002,B1,1,view_next_state,harness,6.503
1,validation_002,B1,2,view_expected,harness,0.576
1,validation_002,B1,3,insert_overwrite_snapshot,write,5.03
1,validation_002,B1,4,verify_state,verification,4.958
1,validation_002,B2,1,view_next_state,harness,6.527
1,validation_002,B2,2,view_expected,harness,0.472
1,validation_002,B2,3,insert_overwrite_selection,write,5.104
1,validation_002,B2,4,expire_snapshots,maintenance,17.23
1,validation_002,B2,5,verify_state,verification,3.037
1,validation_002,B3,1,view_payload,harness,6.435
1,validation_002,B3,2,view_dirty_cells,harness,0.339
1,validation_002,B3,3,view_expected,harness,0.371
1,validation_002,B3,4,insert_store_rows,write,4.966
1,validation_002,B3,5,merge_serving_dirty_cells,write,10.15
1,validation_002,B3,6,expire_snapshots_store,maintenance,14.554
1,validation_002,B3,7,expire_snapshots_serving,maintenance,10.22
1,validation_002,B3,8,verify_state,verification,2.175
2,validation_001,B0,1,view_payload,harness,6.324
2,validation_001,B0,2,view_expected,harness,0.397
2,validation_001,B0,3,merge_revision,write,9.885
2,validation_001,B0,4,expire_snapshots,maintenance,13.408
2,validation_001,B0,5,verify_state,verification,2.221
2,validation_001,B1,1,view_next_state,harness,6.427
2,validation_001,B1,2,view_expected,harness,0.525
2,validation_001,B1,3,insert_overwrite_snapshot,write,4.847
2,validation_001,B1,4,verify_state,verification,4.614
2,validation_001,B2,1,view_next_state,harness,6.353
2,validation_001,B2,2,view_expected,harness,0.519
2,validation_001,B2,3,insert_overwrite_selection,write,5.245
2,validation_001,B2,4,expire_snapshots,maintenance,14.682
2,validation_001,B2,5,verify_state,verification,2.714
2,validation_001,B3,1,view_payload,harness,6.253
2,validation_001,B3,2,view_dirty_cells,harness,0.369
2,validation_001,B3,3,view_expected,harness,0.439
2,validation_001,B3,4,insert_store_rows,write,4.473
2,validation_001,B3,5,merge_serving_dirty_cells,write,8.636
2,validation_001,B3,6,expire_snapshots_store,maintenance,12.0
2,validation_001,B3,7,expire_snapshots_serving,maintenance,7.936
2,validation_001,B3,8,verify_state,verification,2.199
2,validation_002,B0,1,view_payload,harness,6.339
2,validation_002,B0,2,view_expected,harness,0.46
2,validation_002,B0,3,merge_revision,write,8.97
2,validation_002,B0,4,expire_snapshots,maintenance,12.963
2,validation_002,B0,5,verify_state,verification,2.115
2,validation_002,B1,1,view_next_state,harness,6.759
2,validation_002,B1,2,view_expected,harness,0.484
2,validation_002,B1,3,insert_overwrite_snapshot,write,5.648
2,validation_002,B1,4,verify_state,verification,4.397
2,validation_002,B2,1,view_next_state,harness,6.408
2,validation_002,B2,2,view_expected,harness,0.428
2,validation_002,B2,3,insert_overwrite_selection,write,5.335
2,validation_002,B2,4,expire_snapshots,maintenance,19.206
2,validation_002,B2,5,verify_state,verification,2.67
2,validation_002,B3,1,view_payload,harness,6.9
2,validation_002,B3,2,view_dirty_cells,harness,0.562
2,validation_002,B3,3,view_expected,harness,0.474
2,validation_002,B3,4,insert_store_rows,write,5.02
2,validation_002,B3,5,merge_serving_dirty_cells,write,9.684
2,validation_002,B3,6,expire_snapshots_store,maintenance,13.622
2,validation_002,B3,7,expire_snapshots_serving,maintenance,9.292
2,validation_002,B3,8,verify_state,verification,1.915
3,validation_001,B0,1,view_payload,harness,6.532
3,validation_001,B0,2,view_expected,harness,0.367
3,validation_001,B0,3,merge_revision,write,9.321
3,validation_001,B0,4,expire_snapshots,maintenance,14.127
3,validation_001,B0,5,verify_state,verification,2.134
3,validation_001,B1,1,view_next_state,harness,6.824
3,validation_001,B1,2,view_expected,harness,0.503
3,validation_001,B1,3,insert_overwrite_snapshot,write,5.533
3,validation_001,B1,4,verify_state,verification,4.828
3,validation_001,B2,1,view_next_state,harness,6.464
3,validation_001,B2,2,view_expected,harness,0.638
3,validation_001,B2,3,insert_overwrite_selection,write,5.381
3,validation_001,B2,4,expire_snapshots,maintenance,15.872
3,validation_001,B2,5,verify_state,verification,3.203
3,validation_001,B3,1,view_payload,harness,6.252
3,validation_001,B3,2,view_dirty_cells,harness,0.58
3,validation_001,B3,3,view_expected,harness,0.47
3,validation_001,B3,4,insert_store_rows,write,4.763
