repetition,scenario_id,treatment_id,table,baseline_objects,baseline_bytes,after_objects,after_bytes,delta_objects,delta_bytes,baseline_rows,after_rows,baseline_snapshots,after_snapshots
1,validation_001,B0,kkciv.experiments.b0_indicator_current,12,95896,15,119972,3,24076,14,14,1,1
1,validation_001,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190247,28,258692,7,68445,14,14,3,4
1,validation_001,B2,kkciv.experiments.b2_indicator_selected,7,64079,10,88644,3,24565,14,14,1,1
1,validation_001,B3,kkciv.experiments.b3_indicator_current,11,94535,14,119815,3,25280,14,14,1,1
1,validation_001,B3,kkciv.experiments.b3_observation_vintages,16,146339,20,181226,4,34887,38,39,1,1
1,validation_002,B0,kkciv.experiments.b0_indicator_current,12,95870,15,119898,3,24028,14,14,1,1
1,validation_002,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190233,28,258756,7,68523,14,14,3,4
1,validation_002,B2,kkciv.experiments.b2_indicator_selected,7,64077,10,88834,3,24757,14,14,1,1
1,validation_002,B3,kkciv.experiments.b3_indicator_current,11,94524,14,119847,3,25323,14,14,1,1
1,validation_002,B3,kkciv.experiments.b3_observation_vintages,16,146351,21,192500,5,46149,38,40,1,1
2,validation_001,B0,kkciv.experiments.b0_indicator_current,12,95897,15,119982,3,24085,14,14,1,1
2,validation_001,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190270,28,258718,7,68448,14,14,3,4
2,validation_001,B2,kkciv.experiments.b2_indicator_selected,7,64080,10,88643,3,24563,14,14,1,1
2,validation_001,B3,kkciv.experiments.b3_indicator_current,11,94532,14,119809,3,25277,14,14,1,1
2,validation_001,B3,kkciv.experiments.b3_observation_vintages,16,146327,20,181206,4,34879,38,39,1,1
2,validation_002,B0,kkciv.experiments.b0_indicator_current,12,95879,15,119910,3,24031,14,14,1,1
2,validation_002,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190263,28,258804,7,68541,14,14,3,4
2,validation_002,B2,kkciv.experiments.b2_indicator_selected,7,64077,10,88833,3,24756,14,14,1,1
2,validation_002,B3,kkciv.experiments.b3_indicator_current,11,94530,14,119871,3,25341,14,14,1,1
2,validation_002,B3,kkciv.experiments.b3_observation_vintages,16,146348,21,192500,5,46152,38,40,1,1
3,validation_001,B0,kkciv.experiments.b0_indicator_current,12,95868,15,119943,3,24075,14,14,1,1
3,validation_001,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190252,28,258699,7,68447,14,14,3,4
3,validation_001,B2,kkciv.experiments.b2_indicator_selected,7,64079,10,88643,3,24564,14,14,1,1
3,validation_001,B3,kkciv.experiments.b3_indicator_current,11,94535,14,119808,3,25273,14,14,1,1
3,validation_001,B3,kkciv.experiments.b3_observation_vintages,16,146345,20,181222,4,34877,38,39,1,1
3,validation_002,B0,kkciv.experiments.b0_indicator_current,12,95878,15,119906,3,24028,14,14,1,1
3,validation_002,B1,kkciv.experiments.b1_indicator_full_snapshots,21,190245,28,258782,7,68537,14,14,3,4
3,validation_002,B2,kkciv.experiments.b2_indicator_selected,7,64076,10,88831,3,24755,14,14,1,1
3,validation_002,B3,kkciv.experiments.b3_indicator_current,11,94532,14,119868,3,25336,14,14,1,1
3,validation_002,B3,kkciv.experiments.b3_observation_vintages,16,146353,21,192500,5,46147,38,40,1,1
