scenario_order,scenario_id,cells_revised,selection_share,treatment_id,cells_evaluated,rows_written_logical,write_statements,write_seconds_median,write_seconds_min,write_seconds_max,maintenance_seconds_median,total_seconds_median,baseline_bytes_median,after_bytes_median,delta_bytes_median,delta_bytes_min,delta_bytes_max,delta_data_bytes_median,delta_metadata_bytes_median,snapshots_after,recall_rate,propagation_rate
1,sweep_001,1,0.026316,B0,1,1,1,11.324,10.665,11.381,13.836,24.652,373370,386652,13279,13278,13282,279,13000,1,0.7700,1.0000
1,sweep_001,1,0.026316,B1,5378,15484,1,10.056,9.625,10.116,0.000,10.056,889876,1358189,468313,468307,468319,430494,37819,5,1.0000,1.0000
1,sweep_001,1,0.026316,B2,5378,5378,1,9.998,9.405,12.869,14.618,24.616,316590,342473,25883,25879,25884,221,25662,1,0.7700,1.0000
1,sweep_001,1,0.026316,B3,1,2,2,15.971,15.445,21.014,22.103,38.007,931387,980657,49262,49259,49661,11192,38070,1,1.0000,1.0000
2,sweep_002,2,0.052632,B0,2,2,1,10.682,10.318,11.939,14.142,26.018,373373,386738,13362,13359,13366,356,13006,1,0.7699,1.0000
2,sweep_002,2,0.052632,B1,5378,15484,1,10.286,10.012,10.386,0.000,10.286,889866,1358264,468398,468391,468400,430573,37825,5,1.0000,1.0000
2,sweep_002,2,0.052632,B2,5378,5378,1,9.548,9.408,9.685,13.282,22.830,316594,342566,25971,25970,25974,307,25664,1,0.7699,1.0000
2,sweep_002,2,0.052632,B3,2,4,2,15.659,14.934,16.097,21.727,37.563,931122,981730,50608,50199,50615,12478,38130,1,1.0000,1.0000
3,sweep_004,4,0.105263,B0,4,4,1,10.309,10.283,10.995,13.828,24.823,373373,386787,13410,13406,13414,400,13010,1,0.7697,1.0000
3,sweep_004,4,0.105263,B1,5378,15484,1,10.181,9.425,10.572,0.000,10.181,889863,1358359,468491,468487,468496,430679,37812,5,1.0000,1.0000
3,sweep_004,4,0.105263,B2,5378,5378,1,9.530,9.479,10.353,13.979,23.458,316593,342597,26004,25998,26004,340,25664,1,0.7697,1.0000
3,sweep_004,4,0.105263,B3,4,8,2,15.674,14.953,16.742,21.468,36.920,931106,981892,50789,50389,50797,12664,38125,1,1.0000,1.0000
4,sweep_008,8,0.210526,B0,8,8,1,11.090,10.018,12.017,13.933,25.023,373371,386990,13619,13606,13619,614,13005,1,0.7693,1.0000
4,sweep_008,8,0.210526,B1,5378,15484,1,9.911,9.785,11.510,0.000,9.911,889869,1358578,468714,468709,468717,430889,37825,5,1.0000,1.0000
4,sweep_008,8,0.210526,B2,5378,5378,1,9.861,9.644,11.178,14.194,24.238,316590,342695,26107,26100,26107,440,25667,1,0.7693,1.0000
4,sweep_008,8,0.210526,B3,8,16,2,15.606,14.749,15.803,20.248,35.854,931402,982221,50818,50816,50827,12686,38132,1,1.0000,1.0000
5,sweep_016,16,0.421053,B0,16,16,1,11.262,10.659,11.642,14.333,25.595,373358,387242,13884,13869,13887,878,13006,1,0.7684,1.0000
5,sweep_016,16,0.421053,B1,5378,15484,1,10.349,10.247,10.609,0.000,10.349,889878,1358862,468987,468981,468988,431161,37826,5,1.0000,1.0000
5,sweep_016,16,0.421053,B2,5378,5378,1,9.891,9.135,9.899,14.391,24.084,316592,342845,26250,26248,26253,593,25657,1,0.7684,1.0000
5,sweep_016,16,0.421053,B3,16,32,2,15.421,15.360,15.561,22.096,37.517,931131,983080,51959,51548,51961,13824,38135,1,1.0000,1.0000
6,sweep_038,38,1.000000,B0,38,38,1,10.469,10.378,11.081,14.483,24.861,373366,387826,14459,14459,14460,1450,13009,1,0.7660,1.0000
6,sweep_038,38,1.000000,B1,5378,15484,1,10.068,9.766,10.385,0.000,10.068,889888,1359570,469682,469676,469687,431854,37828,5,1.0000,1.0000
6,sweep_038,38,1.000000,B2,5378,5378,1,9.466,9.392,9.478,13.595,23.052,316594,342957,26363,26361,26365,695,25668,1,0.7660,1.0000
6,sweep_038,38,1.000000,B3,38,76,2,15.380,14.844,15.798,20.246,35.626,931397,984270,52873,52872,52878,14727,38146,1,1.0000,1.0000
