scenario_order,scenario_id,cell_id,base_observation_id,synthetic_observation_id,lineage_edge_id,impact_basis
1,sweep_001,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,c95ea99f6abb7571ef65,edge:24b78fb118c51feea3df,inherited H6C observation_materializes_cell edge of the base observation
2,sweep_002,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,8870a20c5aa904359e05,edge:fbd72b5d47245f1678a6,inherited H6C observation_materializes_cell edge of the base observation
2,sweep_002,518cb2dbc96b03a7ef6c,c84eb36c9410ef9a92d8,3fc4d43e701f84026378,edge:b18f34b1bb6ea8a7c513,inherited H6C observation_materializes_cell edge of the base observation
3,sweep_004,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,758d23e4b17727f68b5c,edge:c169b82fa60c342db0d2,inherited H6C observation_materializes_cell edge of the base observation
3,sweep_004,518cb2dbc96b03a7ef6c,c84eb36c9410ef9a92d8,c0976584be4cf9fb2514,edge:55c7083f11f6e2462237,inherited H6C observation_materializes_cell edge of the base observation
3,sweep_004,f7ecb1883aa83de08505,5449a9c6fd5ea1b62080,69bf660089da0359e089,edge:a4e74cff4b1a80f792dd,inherited H6C observation_materializes_cell edge of the base observation
3,sweep_004,fdaaa3c1bdc22fbe7d62,b96f86aa079b1a21dcea,79542e232f8d14fb6aa0,edge:c9cb7af8bd4858b30028,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,7d1782accb4f88b7bebd,edge:9f1573950a836bfe9043,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,518cb2dbc96b03a7ef6c,c84eb36c9410ef9a92d8,0e4397254c83bef18401,edge:39e5fadebdab5d1ab286,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,f7ecb1883aa83de08505,5449a9c6fd5ea1b62080,cef2282a905b751200fc,edge:02e7bc2baf5688694da3,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,fdaaa3c1bdc22fbe7d62,b96f86aa079b1a21dcea,d11f4ae8df232a45ffa1,edge:38d1148de34b96bed067,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,84b30c24eace1e1a6dc5,bb7925411be9b6b512f6,01afe0511ad62aebccce,edge:8b71a0f5bc583f9d5b87,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,c1b8bcff725f214a9466,679a82a2470a0c2a1053,14784d4d2763da2d7340,edge:6bcbc01f22f84cb13d2a,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,cbe519449e41300a4184,227e7369ae7155fb09dc,da8c9d76e3560d15b435,edge:c93a34195149e1983fb2,inherited H6C observation_materializes_cell edge of the base observation
4,sweep_008,042fd0148d20a8caa19a,4d54c6c01db8357192fe,414f59cccfc8a5ad9b10,edge:3457ea3316569cc46d8a,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,ce7a4d97c550ca560486,edge:ed98dfd4d005aeeccf58,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,518cb2dbc96b03a7ef6c,c84eb36c9410ef9a92d8,89241e3d555357de0dfb,edge:24d916b9ace6544f5db9,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,f7ecb1883aa83de08505,5449a9c6fd5ea1b62080,ecdb29655d00aa8311e2,edge:f43c8efdee665fb60110,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,fdaaa3c1bdc22fbe7d62,b96f86aa079b1a21dcea,79823c15e36f697c1039,edge:9d383b7bf5dc81369d82,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,84b30c24eace1e1a6dc5,bb7925411be9b6b512f6,0d211b86559043fa8759,edge:7353696e5c0004f722b1,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,c1b8bcff725f214a9466,679a82a2470a0c2a1053,36dfafeca0b538f44e49,edge:51989f36c20716f7ccb6,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,cbe519449e41300a4184,227e7369ae7155fb09dc,29fc433debf27c5adec4,edge:810d72b1c8289fd51a5c,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,042fd0148d20a8caa19a,4d54c6c01db8357192fe,ec4d676e63360438f2f7,edge:4b0d76a96e0729df2efe,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,3444568b44a846c2053e,d38f9bbb236120b60a72,bf3907a5b158f6f980f3,edge:4f0709f75ac6a668a9e7,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,15b32a8759c7403b435e,52b22c87aff9ef7d958c,fb785dd42b073f4f59bf,edge:909bd0ddf4917503b37e,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,d9e326095a3f240bfa4b,4461c9a1e5e6a70a5cff,c7f34a6e353d09d39527,edge:fe586fed0d952533cb39,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,775bc5ede0b28b080f98,05f3727342b59f1b42eb,e625011efbdfefbd2d3d,edge:d0a7c23d2e82e2b95a3b,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,90a3159b8a7b4bd4e061,d1a6fadcc2334ed715c8,94047d870647dcda4717,edge:95f815018092c6187c2b,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,91d71a779a47db1c23e2,b58eecf10a2637f656cb,48491e78fc5d44153c3e,edge:c31eb640a1d2de69e553,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,8788e4198f43d007511b,83d9ca7ff36b5a4bfefa,c2a659c36694696695c6,edge:e9b9a56e34e83d95de07,inherited H6C observation_materializes_cell edge of the base observation
5,sweep_016,3b659c42075a31bc828b,22299df8290faa2309ce,8d74c657bc0de5152721,edge:9cc8f3da60ae6506d620,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,f655daf9c7189ef53b78,ebe9841b7e2d93e8d436,a61d974ce4efa20f3c48,edge:5c0b9996b57923692e47,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,518cb2dbc96b03a7ef6c,c84eb36c9410ef9a92d8,2b0c3895c2ff4c296d46,edge:ff616da6e417f2d5c55c,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,f7ecb1883aa83de08505,5449a9c6fd5ea1b62080,28ffe06784cf381bf5d5,edge:1a8da121ecd702f0560d,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,fdaaa3c1bdc22fbe7d62,b96f86aa079b1a21dcea,4653c7ea1c2f1fb5b1bf,edge:8391b81ece3256fc4f7f,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,84b30c24eace1e1a6dc5,bb7925411be9b6b512f6,3b928c48e2f5191636c0,edge:5dfa92d512e63974551d,inherited H6C observation_materializes_cell edge of the base observation
