scenario_order,scenario_id,treatment_id,request_kind,requests,expected_addressable,expected_unavailable
1,sweep_001,B0,official,6983,5377,1606
1,sweep_001,B0,synthetic,1,1,0
1,sweep_001,B1,official,6983,6983,0
1,sweep_001,B1,synthetic,1,1,0
1,sweep_001,B2,official,6983,5377,1606
1,sweep_001,B2,synthetic,1,1,0
1,sweep_001,B3,official,6983,6983,0
1,sweep_001,B3,synthetic,1,1,0
2,sweep_002,B0,official,6983,5376,1607
2,sweep_002,B0,synthetic,2,2,0
2,sweep_002,B1,official,6983,6983,0
2,sweep_002,B1,synthetic,2,2,0
2,sweep_002,B2,official,6983,5376,1607
2,sweep_002,B2,synthetic,2,2,0
2,sweep_002,B3,official,6983,6983,0
2,sweep_002,B3,synthetic,2,2,0
3,sweep_004,B0,official,6983,5374,1609
3,sweep_004,B0,synthetic,4,4,0
3,sweep_004,B1,official,6983,6983,0
3,sweep_004,B1,synthetic,4,4,0
3,sweep_004,B2,official,6983,5374,1609
3,sweep_004,B2,synthetic,4,4,0
3,sweep_004,B3,official,6983,6983,0
3,sweep_004,B3,synthetic,4,4,0
4,sweep_008,B0,official,6983,5370,1613
4,sweep_008,B0,synthetic,8,8,0
4,sweep_008,B1,official,6983,6983,0
4,sweep_008,B1,synthetic,8,8,0
4,sweep_008,B2,official,6983,5370,1613
4,sweep_008,B2,synthetic,8,8,0
4,sweep_008,B3,official,6983,6983,0
4,sweep_008,B3,synthetic,8,8,0
5,sweep_016,B0,official,6983,5362,1621
5,sweep_016,B0,synthetic,16,16,0
5,sweep_016,B1,official,6983,6983,0
5,sweep_016,B1,synthetic,16,16,0
5,sweep_016,B2,official,6983,5362,1621
5,sweep_016,B2,synthetic,16,16,0
5,sweep_016,B3,official,6983,6983,0
5,sweep_016,B3,synthetic,16,16,0
6,sweep_038,B0,official,6983,5340,1643
6,sweep_038,B0,synthetic,38,38,0
6,sweep_038,B1,official,6983,6983,0
6,sweep_038,B1,synthetic,38,38,0
6,sweep_038,B2,official,6983,5340,1643
6,sweep_038,B2,synthetic,38,38,0
6,sweep_038,B3,official,6983,6983,0
6,sweep_038,B3,synthetic,38,38,0
