scenario_order,scenario_id,treatment_id,selection_rank,cell_id,revised_observation_id,revised_value_lexeme,served_observation_id,served_value_lexeme,revision_served,base_value_recallable
1,sweep_001,B0,1,f655daf9c7189ef53b78,c95ea99f6abb7571ef65,0.17,c95ea99f6abb7571ef65,0.17,yes,no
1,sweep_001,B1,1,f655daf9c7189ef53b78,c95ea99f6abb7571ef65,0.17,c95ea99f6abb7571ef65,0.17,yes,yes
1,sweep_001,B2,1,f655daf9c7189ef53b78,c95ea99f6abb7571ef65,0.17,c95ea99f6abb7571ef65,0.17,yes,no
1,sweep_001,B3,1,f655daf9c7189ef53b78,c95ea99f6abb7571ef65,0.17,c95ea99f6abb7571ef65,0.17,yes,yes
2,sweep_002,B0,1,f655daf9c7189ef53b78,8870a20c5aa904359e05,0.17,8870a20c5aa904359e05,0.17,yes,no
2,sweep_002,B0,2,518cb2dbc96b03a7ef6c,3fc4d43e701f84026378,3.88,3fc4d43e701f84026378,3.88,yes,no
2,sweep_002,B1,1,f655daf9c7189ef53b78,8870a20c5aa904359e05,0.17,8870a20c5aa904359e05,0.17,yes,yes
2,sweep_002,B1,2,518cb2dbc96b03a7ef6c,3fc4d43e701f84026378,3.88,3fc4d43e701f84026378,3.88,yes,yes
2,sweep_002,B2,1,f655daf9c7189ef53b78,8870a20c5aa904359e05,0.17,8870a20c5aa904359e05,0.17,yes,no
2,sweep_002,B2,2,518cb2dbc96b03a7ef6c,3fc4d43e701f84026378,3.88,3fc4d43e701f84026378,3.88,yes,no
2,sweep_002,B3,1,f655daf9c7189ef53b78,8870a20c5aa904359e05,0.17,8870a20c5aa904359e05,0.17,yes,yes
2,sweep_002,B3,2,518cb2dbc96b03a7ef6c,3fc4d43e701f84026378,3.88,3fc4d43e701f84026378,3.88,yes,yes
3,sweep_004,B0,1,f655daf9c7189ef53b78,758d23e4b17727f68b5c,0.17,758d23e4b17727f68b5c,0.17,yes,no
3,sweep_004,B0,2,518cb2dbc96b03a7ef6c,c0976584be4cf9fb2514,3.88,c0976584be4cf9fb2514,3.88,yes,no
3,sweep_004,B0,3,f7ecb1883aa83de08505,69bf660089da0359e089,4.94,69bf660089da0359e089,4.94,yes,no
3,sweep_004,B0,4,fdaaa3c1bdc22fbe7d62,79542e232f8d14fb6aa0,3.12,79542e232f8d14fb6aa0,3.12,yes,no
