repetition,scenario_id,treatment_id,served_rows,served_cells,snapshots,state_mismatches,served_revisions
1,sweep_001,B0,5378,5378,1,0,1
1,sweep_001,B1,15484,5378,5,0,1
1,sweep_001,B2,5378,5378,1,0,1
1,sweep_001,B3,6984,5378,1,0,1
1,sweep_002,B0,5378,5378,1,0,2
1,sweep_002,B1,15484,5378,5,0,2
1,sweep_002,B2,5378,5378,1,0,2
1,sweep_002,B3,6985,5378,1,0,2
1,sweep_004,B0,5378,5378,1,0,4
1,sweep_004,B1,15484,5378,5,0,4
1,sweep_004,B2,5378,5378,1,0,4
1,sweep_004,B3,6987,5378,1,0,4
1,sweep_008,B0,5378,5378,1,0,8
1,sweep_008,B1,15484,5378,5,0,8
1,sweep_008,B2,5378,5378,1,0,8
1,sweep_008,B3,6991,5378,1,0,8
1,sweep_016,B0,5378,5378,1,0,16
1,sweep_016,B1,15484,5378,5,0,16
1,sweep_016,B2,5378,5378,1,0,16
1,sweep_016,B3,6999,5378,1,0,16
1,sweep_038,B0,5378,5378,1,0,38
1,sweep_038,B1,15484,5378,5,0,38
1,sweep_038,B2,5378,5378,1,0,38
1,sweep_038,B3,7021,5378,1,0,38
2,sweep_001,B0,5378,5378,1,0,1
2,sweep_001,B1,15484,5378,5,0,1
2,sweep_001,B2,5378,5378,1,0,1
2,sweep_001,B3,6984,5378,1,0,1
2,sweep_002,B0,5378,5378,1,0,2
2,sweep_002,B1,15484,5378,5,0,2
2,sweep_002,B2,5378,5378,1,0,2
2,sweep_002,B3,6985,5378,1,0,2
2,sweep_004,B0,5378,5378,1,0,4
2,sweep_004,B1,15484,5378,5,0,4
2,sweep_004,B2,5378,5378,1,0,4
2,sweep_004,B3,6987,5378,1,0,4
2,sweep_008,B0,5378,5378,1,0,8
2,sweep_008,B1,15484,5378,5,0,8
2,sweep_008,B2,5378,5378,1,0,8
2,sweep_008,B3,6991,5378,1,0,8
2,sweep_016,B0,5378,5378,1,0,16
2,sweep_016,B1,15484,5378,5,0,16
2,sweep_016,B2,5378,5378,1,0,16
2,sweep_016,B3,6999,5378,1,0,16
2,sweep_038,B0,5378,5378,1,0,38
2,sweep_038,B1,15484,5378,5,0,38
2,sweep_038,B2,5378,5378,1,0,38
2,sweep_038,B3,7021,5378,1,0,38
3,sweep_001,B0,5378,5378,1,0,1
3,sweep_001,B1,15484,5378,5,0,1
3,sweep_001,B2,5378,5378,1,0,1
3,sweep_001,B3,6984,5378,1,0,1
3,sweep_002,B0,5378,5378,1,0,2
3,sweep_002,B1,15484,5378,5,0,2
3,sweep_002,B2,5378,5378,1,0,2
3,sweep_002,B3,6985,5378,1,0,2
3,sweep_004,B0,5378,5378,1,0,4
3,sweep_004,B1,15484,5378,5,0,4
3,sweep_004,B2,5378,5378,1,0,4
3,sweep_004,B3,6987,5378,1,0,4
3,sweep_008,B0,5378,5378,1,0,8
3,sweep_008,B1,15484,5378,5,0,8
3,sweep_008,B2,5378,5378,1,0,8
3,sweep_008,B3,6991,5378,1,0,8
3,sweep_016,B0,5378,5378,1,0,16
3,sweep_016,B1,15484,5378,5,0,16
3,sweep_016,B2,5378,5378,1,0,16
3,sweep_016,B3,6999,5378,1,0,16
3,sweep_038,B0,5378,5378,1,0,38
3,sweep_038,B1,15484,5378,5,0,38
3,sweep_038,B2,5378,5378,1,0,38
3,sweep_038,B3,7021,5378,1,0,38
