cell_id,source_id,kept_input_dataset,kept_source_record_id,kept_retrieved_at,dropped_input_dataset,dropped_source_record_id,dropped_retrieved_at,value_lexeme,unit,values_identical
006b74a9427c6ec82727,bps_webapi,h3_release_reconciliation,domain=0000;var=1172;vervar=1700;turvar=0;th=123;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1172;vervar=1700;turvar=0;th=123;turth=0,2026-09-08T14:04:19.191282+00:00,17410,rupiah_per_hour,yes
0108d6e368fd614e6a15,bps_webapi,h3_release_reconciliation,domain=0000;var=1172;vervar=3100;turvar=0;th=122;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1172;vervar=3100;turvar=0;th=122;turth=0,2026-09-08T14:04:19.191282+00:00,32685,rupiah_per_hour,yes
01e7cb5cad1c1e78b948,bps_webapi,h3_release_reconciliation,domain=0000;var=1273;vervar=3100;turvar=0;th=122;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1273;vervar=3100;turvar=0;th=122;turth=0,2026-09-08T14:04:19.191282+00:00,79.13,percent,yes
0396dfbb59fd8646b329,bps_webapi,h3_release_reconciliation,domain=0000;var=1172;vervar=7500;turvar=0;th=123;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1172;vervar=7500;turvar=0;th=123;turth=0,2026-09-08T14:04:19.191282+00:00,15138,rupiah_per_hour,yes
0398ccd469fe6352b634,bps_webapi,h3_release_reconciliation,domain=0000;var=2153;vervar=7200;turvar=0;th=123;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=2153;vervar=7200;turvar=0;th=123;turth=0,2026-09-08T14:04:19.191282+00:00,66.1,percent,yes
0409b371c6b6ff2793e2,bps_webapi,h3_release_reconciliation,domain=0000;var=1161;vervar=6500;turvar=0;th=120;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1161;vervar=6500;turvar=0;th=120;turth=0,2026-09-08T14:04:19.191282+00:00,-4.2,percent,yes
043ef315ac010ed12204,bps_webapi,h3_release_reconciliation,domain=0000;var=1186;vervar=6400;turvar=0;th=120;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1186;vervar=6400;turvar=0;th=120;turth=0,2026-09-08T14:04:19.191282+00:00,24.25,percent,yes
04c4e4d20951139934b4,bps_webapi,h3_release_reconciliation,domain=0000;var=1186;vervar=3400;turvar=0;th=121;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1186;vervar=3400;turvar=0;th=121;turth=0,2026-09-08T14:04:19.191282+00:00,9.89,percent,yes
04f0c4200effe9a1234d,bps_webapi,h3_release_reconciliation,domain=0000;var=1161;vervar=6500;turvar=0;th=121;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1161;vervar=6500;turvar=0;th=121;turth=0,2026-09-08T14:04:19.191282+00:00,1.61,percent,yes
052b255fae00f80b5350,bps_webapi,h3_release_reconciliation,domain=0000;var=1186;vervar=8100;turvar=0;th=122;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1186;vervar=8100;turvar=0;th=122;turth=0,2026-09-08T14:04:19.191282+00:00,30.89,percent,yes
053e15f2fca325776e03,bps_webapi,h3_release_reconciliation,domain=0000;var=1186;vervar=3500;turvar=0;th=121;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1186;vervar=3500;turvar=0;th=121;turth=0,2026-09-08T14:04:19.191282+00:00,20.77,percent,yes
056aa788e732e2c88b3e,bps_webapi,h3_release_reconciliation,domain=0000;var=1273;vervar=1800;turvar=0;th=123;turth=0,2026-09-08T23:38:59.693316+00:00,h3_province_webapi,domain=0000;var=1273;vervar=1800;turvar=0;th=123;turth=0,2026-09-08T14:04:19.191282+00:00,79.39,percent,yes
