edge_id,observation_id,cell_id,vintage_id,source_id,arrival_order,relationship
edge:1b2379b87b6f910585ca,6f28ca1a1bc5b3db9ca7,00014019e161add6f88e,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:3b70124331b09b35b679,9c813231b3ad52ad4b9d,000df22887373aca2e5f,aa7252a58f41161c17c3,bps_tpb_2024,1,observation_materializes_cell
edge:ed29f862064d12e46ad0,c9a3a301242aaa09a5b1,000df22887373aca2e5f,b132d2fab33291e0733e,bps_webapi,3,observation_materializes_cell
edge:44254bf23f93f1ef1872,88d71cb0310f3a020355,002a9615e44a18c5f0e9,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:341b6d3e217db79b1e27,a6f28bf044823f2f8b91,002d1a85b13dbfe1a81d,aa7252a58f41161c17c3,bps_tpb_2024,1,observation_materializes_cell
edge:5a2151b68d59964086cb,113596a78dbeef66a684,002d1a85b13dbfe1a81d,b132d2fab33291e0733e,bps_webapi,3,observation_materializes_cell
edge:cd8abd6573429bb4c22d,6e9ee67a2f912314d5bc,003824bd49c049ad9743,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:d78a9c78c6b24d2e0153,138b6d9bbdc05228fb9c,004e3be5e7b3fba6db26,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:2df68e066f76215869f9,9959df0e12c7f5bbca86,004e6c9a2fc8cff47eee,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:11084f09bba0ade3fa6e,d501723d6ef46ca05009,0061a69bb60bfd443e4c,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:72714eaa171dc448613c,ca2d370038cd93b05af8,0069613b9b65b936a529,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:ba8b8dfd8982a2be6995,b9d2735e0d4deec616b8,006b40a59db6d579de9f,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:e802c8818d13f3a4fde3,f8781e6cb96595c5c34e,006b74a9427c6ec82727,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:90d6f6f17885dbdd5370,fab6cbae637636fa4027,006b74a9427c6ec82727,aa7252a58f41161c17c3,bps_tpb_2024,1,observation_materializes_cell
edge:1b54fe3e51a2fb45dacf,928ff2a541c6f54bd616,006d9847d757453e13df,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:986e4c27c2831dc7002d,538d2c8106b72f8a6b55,00a4309299831372d2fb,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:8ea2e52f0c04dbfccb9a,3d41d4f9f77b3dc61b5c,00a71268d75925a9c8fa,aa7252a58f41161c17c3,bps_tpb_2024,1,observation_materializes_cell
edge:17b1b9ccd927592fb516,1713367d65f69ea34894,00a71268d75925a9c8fa,b132d2fab33291e0733e,bps_webapi,3,observation_materializes_cell
edge:d1b289abdb7a925149e9,c020f8fbb38e4fee4d09,00b5f453c1cf297c7743,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:1544a756f5fa2bee29a1,8232d4f52f73c5009d33,00ccb40d1e487304f81e,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:b983964f98053a990e31,f3a4e70a4be36a84c791,00d62f77e02df6cb3168,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:34a74c040682e0d1d4ca,9aebf7a0c1f915ca4e03,00d6f4f2285154546140,7ba29f3a45abe1301651,bps_webapi,4,observation_materializes_cell
edge:fee7b163cdf1f9e6c341,9c24d4ade40236798cf8,00db261c3a961afaac9a,aa7252a58f41161c17c3,bps_tpb_2024,1,observation_materializes_cell
edge:afa341dc6d8b553eef67,dc2c44c45636f41e9f18,00db261c3a961afaac9a,b132d2fab33291e0733e,bps_webapi,3,observation_materializes_cell
