observation_id,cell_id,vintage_id,domain,indicator_key,series_key,observed_period,period_granularity,geo_level,geo_code,geo_name,unit,value_decimal,value_lexeme,published_decimal_places,producer,methodology_version,source_artifact_path,source_artifact_sha256,source_record_id,ingestion_batch_id,transformation_run_id,transformation_version,trace_id,cause_family,evidence_level
6f28ca1a1bc5b3db9ca7,00014019e161add6f88e,7ba29f3a45abe1301651,education,sdg04_paud,total,2017,year,province,1700,Bengkulu,percent,95.1300000000,95.13,2,Badan Pusat Statistik,webapi-var-1990-updated-2024-05-26,data/raw/h3/webapi/var-0000-1990.json,5b5c2c1143e683be1cda61d364d39a467baca22d3a4a3d9dec9eaca844004da3,domain=0000;var=1990;vervar=1700;turvar=0;th=117;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
9c813231b3ad52ad4b9d,000df22887373aca2e5f,aa7252a58f41161c17c3,environment,sdg06_sanitation,total,2022,year,province,7100,Sulawesi Utara,percent,84.0500000000,84.05,2,Badan Pusat Statistik,tpb-2024-appendix,data/raw/h1/publications/bps_tpb_2024.pdf,abb977463619a16c5811bab47074452d75807483da5a315e831c1d07aa390cd8,pub=936a26d5d2b168b9971d3b02;page=269;column=3;year=2022,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
c9a3a301242aaa09a5b1,000df22887373aca2e5f,b132d2fab33291e0733e,environment,sdg06_sanitation,total,2022,year,province,7100,Sulawesi Utara,percent,84.0500000000,84.05,2,Badan Pusat Statistik,webapi-var-847-updated-2025-12-16,data/raw/h1/webapi/var-0000-847.json,9aa34c3a182e6ab094c0dbb5aad6dfc0ce1ad8227bf14d43311b630bfdf36fe9,domain=0000;var=847;vervar=7100;turvar=0;th=122;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
88d71cb0310f3a020355,002a9615e44a18c5f0e9,7ba29f3a45abe1301651,environment,sdg06_handwashing,total,2025,year,province,1200,Sumatera Utara,percent,76.8800000000,76.88,2,Badan Pusat Statistik,webapi-var-1273-updated-2026-07-06,data/raw/h3/webapi/var-0000-1273.json,f78023c47898fee389bed2656ee82cda64c202b5212a70769d56867da3684d3b,domain=0000;var=1273;vervar=1200;turvar=0;th=125;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
a6f28bf044823f2f8b91,002d1a85b13dbfe1a81d,aa7252a58f41161c17c3,education,sdg04_completion_rate,sd,2023,year,province,6400,Kalimantan Timur,percent,97.8800000000,97.88,2,Badan Pusat Statistik,tpb-2024-appendix,data/raw/h1/publications/bps_tpb_2024.pdf,abb977463619a16c5811bab47074452d75807483da5a315e831c1d07aa390cd8,pub=936a26d5d2b168b9971d3b02;page=254;column=11;year=2023,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
113596a78dbeef66a684,002d1a85b13dbfe1a81d,b132d2fab33291e0733e,education,sdg04_completion_rate,sd,2023,year,province,6400,Kalimantan Timur,percent,97.8800000000,97.88,2,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,data/raw/h1/webapi/var-0000-1980.json,9d570c2d472fadc903976208ad2c67bb3fe08161f6eb54d6c2d9f84375218122,domain=0000;var=1980;vervar=6400;turvar=1672;th=123;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
6e9ee67a2f912314d5bc,003824bd49c049ad9743,7ba29f3a45abe1301651,economy,sdg08_productivity_growth,total,2017,year,province,1700,Bengkulu,percent,6.7400000000,6.74,2,Badan Pusat Statistik,webapi-var-1161-updated-2026-07-06,data/raw/h3/webapi/var-0000-1161.json,b3cc4271c6e439690982bb1b9e0e65a5b1220c03a832360281bd95bdec407591,domain=0000;var=1161;vervar=1700;turvar=0;th=117;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
138b6d9bbdc05228fb9c,004e3be5e7b3fba6db26,7ba29f3a45abe1301651,education,sdg04_completion_rate,sma.expenditure.q3,2016,year,national,9999,Indonesia,percent,52.9100000000,52.91,2,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,data/raw/h3/webapi/var-0000-1983.json,f21f69c6cee73ca725814866486057f6b48a22d1cd2ea851d898d986a55b4624,domain=0000;var=1983;vervar=3;turvar=1674;th=116;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
9959df0e12c7f5bbca86,004e6c9a2fc8cff47eee,7ba29f3a45abe1301651,economy,sdg08_productivity_growth,total,2015,year,province,1400,Riau,percent,-1.1800000000,-1.18,2,Badan Pusat Statistik,webapi-var-1161-updated-2026-07-06,data/raw/h3/webapi/var-0000-1161.json,b3cc4271c6e439690982bb1b9e0e65a5b1220c03a832360281bd95bdec407591,domain=0000;var=1161;vervar=1400;turvar=0;th=115;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
d501723d6ef46ca05009,0061a69bb60bfd443e4c,7ba29f3a45abe1301651,education,sdg04_parity_index,sd.total,2017,year,province,9100,Papua Barat,index_percent,98.3000000000,98.3,1,Badan Pusat Statistik,webapi-var-1455-updated-2025-12-12,data/raw/h3/webapi/var-0000-1455.json,ba8630b18029d75e3c5a067565a1fb4f46e410c74f7babb4265c7a86c6980259,domain=0000;var=1455;vervar=9100;turvar=1169;th=117;turth=0,h4-2981e0fb3bc2d960,h11-panel-e1213cf55acbcd02332b,h11-sweep-v1,,,official_panel
