scenario_id,treatment_id,request_kind,requests,addressable,exact,expected_addressable,recall_rate,repetitions_agreeing
sweep_001,B0,official,6983,5377,5377,5377,0.7700,3
sweep_001,B0,synthetic,1,1,1,1,1.0000,3
sweep_001,B1,official,6983,6983,6983,6983,1.0000,3
sweep_001,B1,synthetic,1,1,1,1,1.0000,3
sweep_001,B2,official,6983,5377,5377,5377,0.7700,3
sweep_001,B2,synthetic,1,1,1,1,1.0000,3
sweep_001,B3,official,6983,6983,6983,6983,1.0000,3
sweep_001,B3,synthetic,1,1,1,1,1.0000,3
sweep_002,B0,official,6983,5376,5376,5376,0.7699,3
sweep_002,B0,synthetic,2,2,2,2,1.0000,3
sweep_002,B1,official,6983,6983,6983,6983,1.0000,3
sweep_002,B1,synthetic,2,2,2,2,1.0000,3
sweep_002,B2,official,6983,5376,5376,5376,0.7699,3
sweep_002,B2,synthetic,2,2,2,2,1.0000,3
sweep_002,B3,official,6983,6983,6983,6983,1.0000,3
sweep_002,B3,synthetic,2,2,2,2,1.0000,3
sweep_004,B0,official,6983,5374,5374,5374,0.7696,3
sweep_004,B0,synthetic,4,4,4,4,1.0000,3
sweep_004,B1,official,6983,6983,6983,6983,1.0000,3
sweep_004,B1,synthetic,4,4,4,4,1.0000,3
sweep_004,B2,official,6983,5374,5374,5374,0.7696,3
sweep_004,B2,synthetic,4,4,4,4,1.0000,3
sweep_004,B3,official,6983,6983,6983,6983,1.0000,3
sweep_004,B3,synthetic,4,4,4,4,1.0000,3
sweep_008,B0,official,6983,5370,5370,5370,0.7690,3
sweep_008,B0,synthetic,8,8,8,8,1.0000,3
sweep_008,B1,official,6983,6983,6983,6983,1.0000,3
sweep_008,B1,synthetic,8,8,8,8,1.0000,3
sweep_008,B2,official,6983,5370,5370,5370,0.7690,3
sweep_008,B2,synthetic,8,8,8,8,1.0000,3
sweep_008,B3,official,6983,6983,6983,6983,1.0000,3
sweep_008,B3,synthetic,8,8,8,8,1.0000,3
sweep_016,B0,official,6983,5362,5362,5362,0.7679,3
sweep_016,B0,synthetic,16,16,16,16,1.0000,3
sweep_016,B1,official,6983,6983,6983,6983,1.0000,3
sweep_016,B1,synthetic,16,16,16,16,1.0000,3
sweep_016,B2,official,6983,5362,5362,5362,0.7679,3
sweep_016,B2,synthetic,16,16,16,16,1.0000,3
sweep_016,B3,official,6983,6983,6983,6983,1.0000,3
sweep_016,B3,synthetic,16,16,16,16,1.0000,3
sweep_038,B0,official,6983,5340,5340,5340,0.7647,3
sweep_038,B0,synthetic,38,38,38,38,1.0000,3
sweep_038,B1,official,6983,6983,6983,6983,1.0000,3
sweep_038,B1,synthetic,38,38,38,38,1.0000,3
sweep_038,B2,official,6983,5340,5340,5340,0.7647,3
sweep_038,B2,synthetic,38,38,38,38,1.0000,3
sweep_038,B3,official,6983,6983,6983,6983,1.0000,3
sweep_038,B3,synthetic,38,38,38,38,1.0000,3
