repetition,scenario_id,treatment_id,table,baseline_objects,baseline_bytes,after_objects,after_bytes,delta_objects,delta_bytes,baseline_data_bytes,after_data_bytes,baseline_rows,after_rows,baseline_snapshots,after_snapshots
1,sweep_001,B0,kkciv.sweep.b0_panel_current,15,373380,17,386658,2,13278,297074,297353,5378,5378,1,1
1,sweep_001,B1,kkciv.sweep.b1_panel_full_snapshots,36,889886,45,1358205,9,468319,760833,1191327,10106,15484,4,5
1,sweep_001,B2,kkciv.sweep.b2_panel_selected,9,316593,12,342477,3,25884,289764,289985,5378,5378,1,1
1,sweep_001,B3,kkciv.sweep.b3_panel_current,15,369828,17,383850,2,14022,289084,289032,5378,5378,1,1
1,sweep_001,B3,kkciv.sweep.b3_panel_observation_vintages,28,561559,32,596799,4,35240,473831,485075,6983,6984,1,1
1,sweep_002,B0,kkciv.sweep.b0_panel_current,15,373372,17,386738,2,13366,297074,297430,5378,5378,1,1
1,sweep_002,B1,kkciv.sweep.b1_panel_full_snapshots,36,889866,45,1358264,9,468398,760833,1191406,10106,15484,4,5
1,sweep_002,B2,kkciv.sweep.b2_panel_selected,9,316596,12,342566,3,25970,289764,290071,5378,5378,1,1
1,sweep_002,B3,kkciv.sweep.b3_panel_current,15,369813,17,383914,2,14101,289084,289112,5378,5378,1,1
1,sweep_002,B3,kkciv.sweep.b3_panel_observation_vintages,28,561569,32,597667,4,36098,473831,485865,6983,6985,1,1
1,sweep_004,B0,kkciv.sweep.b0_panel_current,15,373378,17,386788,2,13410,297074,297474,5378,5378,1,1
1,sweep_004,B1,kkciv.sweep.b1_panel_full_snapshots,36,889893,45,1358384,9,468491,760833,1191512,10106,15484,4,5
1,sweep_004,B2,kkciv.sweep.b2_panel_selected,9,316589,12,342587,3,25998,289764,290104,5378,5378,1,1
1,sweep_004,B3,kkciv.sweep.b3_panel_current,15,369526,17,384086,2,14560,288809,289293,5378,5378,1,1
1,sweep_004,B3,kkciv.sweep.b3_panel_observation_vintages,28,561569,32,597806,4,36237,473831,486011,6983,6987,1,1
1,sweep_008,B0,kkciv.sweep.b0_panel_current,15,373380,17,386999,2,13619,297074,297688,5378,5378,1,1
1,sweep_008,B1,kkciv.sweep.b1_panel_full_snapshots,36,889869,45,1358578,9,468709,760833,1191722,10106,15484,4,5
1,sweep_008,B2,kkciv.sweep.b2_panel_selected,9,316593,12,342693,3,26100,289764,290204,5378,5378,1,1
1,sweep_008,B3,kkciv.sweep.b3_panel_current,15,369829,17,384175,2,14346,289084,289365,5378,5378,1,1
1,sweep_008,B3,kkciv.sweep.b3_panel_observation_vintages,28,561573,32,598054,4,36481,473831,486236,6983,6991,1,1
1,sweep_016,B0,kkciv.sweep.b0_panel_current,15,373358,17,387227,2,13869,297074,297952,5378,5378,1,1
