scenario_order,scenario_id,seed,selection_rank,base_observation_id,base_vintage_id,revised_source_id,cell_id,domain,indicator_key,series_key,observed_period,period_granularity,geo_level,geo_code,geo_name,unit,before_value_decimal,before_value_lexeme,published_decimal_places,delta_decimal,after_value_decimal,after_value_lexeme,synthetic_vintage_id,synthetic_observation_id,synthetic_source_id,provenance_class,mutation_rule
1,sweep_001,20260912,1,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,bps_webapi,f655daf9c7189ef53b78,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1600000000,0.16,2,0.0100000000,0.1700000000,0.17,b9f2f5dad5caf5892768,c95ea99f6abb7571ef65,synthetic_revision_harness,synthetic_not_official,one_published_unit
2,sweep_002,20260912,1,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,bps_webapi,f655daf9c7189ef53b78,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1600000000,0.16,2,0.0100000000,0.1700000000,0.17,0ed99cf59e8df03d30a0,8870a20c5aa904359e05,synthetic_revision_harness,synthetic_not_official,one_published_unit
2,sweep_002,20260912,2,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,bps_webapi,518cb2dbc96b03a7ef6c,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8700000000,3.87,2,0.0100000000,3.8800000000,3.88,0ed99cf59e8df03d30a0,3fc4d43e701f84026378,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,sweep_004,20260912,1,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,bps_webapi,f655daf9c7189ef53b78,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1600000000,0.16,2,0.0100000000,0.1700000000,0.17,b062ed0cff7d25ea5b30,758d23e4b17727f68b5c,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,sweep_004,20260912,2,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,bps_webapi,518cb2dbc96b03a7ef6c,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8700000000,3.87,2,0.0100000000,3.8800000000,3.88,b062ed0cff7d25ea5b30,c0976584be4cf9fb2514,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,sweep_004,20260912,3,5449a9c6fd5ea1b62080,7ba29f3a45abe1301651,bps_webapi,f7ecb1883aa83de08505,economy,sdg08_productivity_growth,total,2025,year,province,3200,Jawa Barat,percent,4.9300000000,4.93,2,0.0100000000,4.9400000000,4.94,b062ed0cff7d25ea5b30,69bf660089da0359e089,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,sweep_004,20260912,4,b96f86aa079b1a21dcea,7ba29f3a45abe1301651,bps_webapi,fdaaa3c1bdc22fbe7d62,economy,sdg08_productivity_growth,total,2025,year,province,1400,Riau,percent,3.1100000000,3.11,2,0.0100000000,3.1200000000,3.12,b062ed0cff7d25ea5b30,79542e232f8d14fb6aa0,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,sweep_008,20260912,1,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,bps_webapi,f655daf9c7189ef53b78,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1600000000,0.16,2,0.0100000000,0.1700000000,0.17,ba1e102d01e352784220,7d1782accb4f88b7bebd,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,sweep_008,20260912,2,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,bps_webapi,518cb2dbc96b03a7ef6c,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8700000000,3.87,2,0.0100000000,3.8800000000,3.88,ba1e102d01e352784220,0e4397254c83bef18401,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,sweep_008,20260912,3,5449a9c6fd5ea1b62080,7ba29f3a45abe1301651,bps_webapi,f7ecb1883aa83de08505,economy,sdg08_productivity_growth,total,2025,year,province,3200,Jawa Barat,percent,4.9300000000,4.93,2,0.0100000000,4.9400000000,4.94,ba1e102d01e352784220,cef2282a905b751200fc,synthetic_revision_harness,synthetic_not_official,one_published_unit
