scenario_order,scenario_id,observation_id,cell_id,vintage_id,domain,indicator_key,series_key,observed_period,period_granularity,geo_level,geo_code,geo_name,unit,value_decimal,value_lexeme,published_decimal_places,producer,methodology_version,source_artifact_path,source_artifact_sha256,source_record_id,ingestion_batch_id,transformation_run_id,transformation_version,trace_id,cause_family,evidence_level,source_id,vintage_date,vintage_retrieved_at,arrival_order,revised_source_id,base_observation_id,base_vintage_id,snapshot_order
1,sweep_001,c95ea99f6abb7571ef65,f655daf9c7189ef53b78,b9f2f5dad5caf5892768,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1700000000,0.17,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_001;selection_rank=1,h11-b9f2f5dad5caf5892768,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,5
2,sweep_002,3fc4d43e701f84026378,518cb2dbc96b03a7ef6c,0ed99cf59e8df03d30a0,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8800000000,3.88,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_002;selection_rank=2,h11-0ed99cf59e8df03d30a0,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,5
2,sweep_002,8870a20c5aa904359e05,f655daf9c7189ef53b78,0ed99cf59e8df03d30a0,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1700000000,0.17,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_002;selection_rank=1,h11-0ed99cf59e8df03d30a0,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,5
3,sweep_004,69bf660089da0359e089,f7ecb1883aa83de08505,b062ed0cff7d25ea5b30,economy,sdg08_productivity_growth,total,2025,year,province,3200,Jawa Barat,percent,4.9400000000,4.94,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_004;selection_rank=3,h11-b062ed0cff7d25ea5b30,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,5449a9c6fd5ea1b62080,7ba29f3a45abe1301651,5
3,sweep_004,758d23e4b17727f68b5c,f655daf9c7189ef53b78,b062ed0cff7d25ea5b30,economy,sdg08_productivity_growth,total,2025,year,province,1300,Sumatera Barat,percent,0.1700000000,0.17,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_004;selection_rank=1,h11-b062ed0cff7d25ea5b30,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,ebe9841b7e2d93e8d436,7ba29f3a45abe1301651,5
3,sweep_004,79542e232f8d14fb6aa0,fdaaa3c1bdc22fbe7d62,b062ed0cff7d25ea5b30,economy,sdg08_productivity_growth,total,2025,year,province,1400,Riau,percent,3.1200000000,3.12,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_004;selection_rank=4,h11-b062ed0cff7d25ea5b30,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,b96f86aa079b1a21dcea,7ba29f3a45abe1301651,5
3,sweep_004,c0976584be4cf9fb2514,518cb2dbc96b03a7ef6c,b062ed0cff7d25ea5b30,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8800000000,3.88,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_004;selection_rank=2,h11-b062ed0cff7d25ea5b30,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,5
4,sweep_008,01afe0511ad62aebccce,84b30c24eace1e1a6dc5,ba1e102d01e352784220,economy,sdg08_productivity_growth,total,2025,year,province,3300,Jawa Tengah,percent,3.2300000000,3.23,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_008;selection_rank=5,h11-ba1e102d01e352784220,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,bb7925411be9b6b512f6,7ba29f3a45abe1301651,5
4,sweep_008,0e4397254c83bef18401,518cb2dbc96b03a7ef6c,ba1e102d01e352784220,economy,sdg08_productivity_growth,total,2025,year,province,1500,Jambi,percent,3.8800000000,3.88,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_008;selection_rank=2,h11-ba1e102d01e352784220,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,c84eb36c9410ef9a92d8,7ba29f3a45abe1301651,5
4,sweep_008,14784d4d2763da2d7340,c1b8bcff725f214a9466,ba1e102d01e352784220,economy,sdg08_productivity_growth,total,2025,year,province,7300,Sulawesi Selatan,percent,3.7000000000,3.70,2,synthetic_revision_harness,webapi-var-1161-updated-2026-07-06,results/processed/h11-sweep-injections.csv,d33bb1865809ac66c726ed968af59a380f623cfde302eec454d104dab9a3f423,scenario_id=sweep_008;selection_rank=6,h11-ba1e102d01e352784220,h11-68301c49851e8b56e3e3,h11-sweep-v1,,synthetic_revision,synthetic_not_official,synthetic_revision_harness,2026-09-09,2026-09-09T00:00:00+00:00,5,bps_webapi,679a82a2470a0c2a1053,7ba29f3a45abe1301651,5
