repetition,treatment_id,table,arrival_order,rows,cells,snapshots,data_bytes,manifest_bytes
1,B0,kkciv.sweep.b0_panel_current,1,1560,1560,1,110648,10760
1,B0,kkciv.sweep.b0_panel_current,2,1584,1584,1,112673,21457
1,B0,kkciv.sweep.b0_panel_current,3,1584,1584,1,125202,30984
1,B0,kkciv.sweep.b0_panel_current,4,5378,5378,1,297074,32205
1,B1,kkciv.sweep.b1_panel_full_snapshots,1,1560,1560,1,113838,10860
1,B1,kkciv.sweep.b1_panel_full_snapshots,2,3144,1584,2,242573,32695
1,B1,kkciv.sweep.b1_panel_full_snapshots,3,4728,1584,3,393279,54724
1,B1,kkciv.sweep.b1_panel_full_snapshots,4,10106,5378,4,760833,76911
1,B2,kkciv.sweep.b2_panel_selected,1,1560,1560,1,121932,11355
1,B2,kkciv.sweep.b2_panel_selected,2,1584,1584,1,123216,22851
1,B2,kkciv.sweep.b2_panel_selected,3,1584,1584,1,123655,23005
1,B2,kkciv.sweep.b2_panel_selected,4,5378,5378,1,289764,23181
1,B3,kkciv.sweep.b3_panel_observation_vintages,1,1560,1560,1,114570,10953
1,B3,kkciv.sweep.b3_panel_current,1,1560,1560,1,119477,11218
1,B3,kkciv.sweep.b3_panel_observation_vintages,2,1622,1584,1,163452,21374
1,B3,kkciv.sweep.b3_panel_current,2,1584,1584,1,120984,22299
1,B3,kkciv.sweep.b3_panel_observation_vintages,3,2392,1584,1,239660,31869
1,B3,kkciv.sweep.b3_panel_current,3,1584,1584,1,125460,32175
1,B3,kkciv.sweep.b3_panel_observation_vintages,4,6983,5378,1,473831,42652
1,B3,kkciv.sweep.b3_panel_current,4,5378,5378,1,288809,33427
2,B0,kkciv.sweep.b0_panel_current,1,1560,1560,1,110648,10759
2,B0,kkciv.sweep.b0_panel_current,2,1584,1584,1,112673,21454
2,B0,kkciv.sweep.b0_panel_current,3,1584,1584,1,125202,30983
2,B0,kkciv.sweep.b0_panel_current,4,5378,5378,1,297074,32202
2,B1,kkciv.sweep.b1_panel_full_snapshots,1,1560,1560,1,113838,10859
2,B1,kkciv.sweep.b1_panel_full_snapshots,2,3144,1584,2,242573,32696
2,B1,kkciv.sweep.b1_panel_full_snapshots,3,4728,1584,3,393279,54729
2,B1,kkciv.sweep.b1_panel_full_snapshots,4,10106,5378,4,760833,76918
2,B2,kkciv.sweep.b2_panel_selected,1,1560,1560,1,121932,11354
2,B2,kkciv.sweep.b2_panel_selected,2,1584,1584,1,123216,22856
2,B2,kkciv.sweep.b2_panel_selected,3,1584,1584,1,123655,23007
2,B2,kkciv.sweep.b2_panel_selected,4,5378,5378,1,289764,23185
2,B3,kkciv.sweep.b3_panel_observation_vintages,1,1560,1560,1,114570,10953
2,B3,kkciv.sweep.b3_panel_current,1,1560,1560,1,119477,11218
2,B3,kkciv.sweep.b3_panel_observation_vintages,2,1622,1584,1,163452,21374
2,B3,kkciv.sweep.b3_panel_current,2,1584,1584,1,120984,22299
2,B3,kkciv.sweep.b3_panel_observation_vintages,3,2392,1584,1,239660,31877
2,B3,kkciv.sweep.b3_panel_current,3,1584,1584,1,125460,32178
2,B3,kkciv.sweep.b3_panel_observation_vintages,4,6983,5378,1,473831,42658
2,B3,kkciv.sweep.b3_panel_current,4,5378,5378,1,289084,33435
3,B0,kkciv.sweep.b0_panel_current,1,1560,1560,1,110648,10759
3,B0,kkciv.sweep.b0_panel_current,2,1584,1584,1,112673,21455
3,B0,kkciv.sweep.b0_panel_current,3,1584,1584,1,125202,30984
3,B0,kkciv.sweep.b0_panel_current,4,5378,5378,1,297074,32199
3,B1,kkciv.sweep.b1_panel_full_snapshots,1,1560,1560,1,113838,10859
3,B1,kkciv.sweep.b1_panel_full_snapshots,2,3144,1584,2,242573,32691
3,B1,kkciv.sweep.b1_panel_full_snapshots,3,4728,1584,3,393279,54722
3,B1,kkciv.sweep.b1_panel_full_snapshots,4,10106,5378,4,760833,76909
3,B2,kkciv.sweep.b2_panel_selected,1,1560,1560,1,121932,11354
3,B2,kkciv.sweep.b2_panel_selected,2,1584,1584,1,123216,22854
3,B2,kkciv.sweep.b2_panel_selected,3,1584,1584,1,123655,23004
3,B2,kkciv.sweep.b2_panel_selected,4,5378,5378,1,289764,23179
3,B3,kkciv.sweep.b3_panel_observation_vintages,1,1560,1560,1,114570,10951
3,B3,kkciv.sweep.b3_panel_current,1,1560,1560,1,119477,11219
3,B3,kkciv.sweep.b3_panel_observation_vintages,2,1622,1584,1,163452,21374
3,B3,kkciv.sweep.b3_panel_current,2,1584,1584,1,120984,22300
3,B3,kkciv.sweep.b3_panel_observation_vintages,3,2392,1584,1,239660,31878
3,B3,kkciv.sweep.b3_panel_current,3,1584,1584,1,125460,32181
3,B3,kkciv.sweep.b3_panel_observation_vintages,4,6983,5378,1,473831,42661
3,B3,kkciv.sweep.b3_panel_current,4,5378,5378,1,289084,33435
