repetition,treatment_id,arrival_order,statement_index,statement_label,phase,seconds
1,B0,0,0,staging_views,harness,9.956
1,B0,1,1,merge_arrival,write,7.653
1,B0,1,2,expire_snapshots,maintenance,5.951
1,B0,1,3,verify_state,verification,2.814
1,B0,2,1,merge_arrival,write,3.929
1,B0,2,2,expire_snapshots,maintenance,20.532
1,B0,2,3,verify_state,verification,1.255
1,B0,3,1,merge_arrival,write,3.806
1,B0,3,2,expire_snapshots,maintenance,8.12
1,B0,3,3,verify_state,verification,1.229
1,B0,4,1,merge_arrival,write,3.209
1,B0,4,2,expire_snapshots,maintenance,7.368
1,B0,4,3,verify_state,verification,1.067
1,B1,0,0,staging_views,harness,9.932
1,B1,1,1,insert_overwrite_all_states,write,8.267
1,B1,1,2,verify_state,verification,3.96
1,B1,2,1,insert_overwrite_all_states,write,2.281
1,B1,2,2,verify_state,verification,1.778
1,B1,3,1,insert_overwrite_all_states,write,2.222
1,B1,3,2,verify_state,verification,1.228
1,B1,4,1,insert_overwrite_all_states,write,2.348
1,B1,4,2,verify_state,verification,1.353
1,B2,0,0,staging_views,harness,9.494
1,B2,1,1,narrow_candidates,harness,0.409
1,B2,1,2,insert_overwrite_selection,write,8.047
1,B2,1,3,expire_snapshots,maintenance,7.07
1,B2,1,4,verify_state,verification,3.135
1,B2,2,1,narrow_candidates,harness,0.145
1,B2,2,2,insert_overwrite_selection,write,2.448
1,B2,2,3,expire_snapshots,maintenance,10.501
1,B2,2,4,verify_state,verification,1.172
1,B2,3,1,narrow_candidates,harness,0.16
1,B2,3,2,insert_overwrite_selection,write,1.961
1,B2,3,3,expire_snapshots,maintenance,9.224
1,B2,3,4,verify_state,verification,1.068
1,B2,4,1,narrow_candidates,harness,0.122
1,B2,4,2,insert_overwrite_selection,write,1.641
1,B2,4,3,expire_snapshots,maintenance,8.099
1,B2,4,4,verify_state,verification,1.08
1,B3,0,0,staging_views,harness,9.965
1,B3,1,1,insert_store_rows,write,6.428
1,B3,1,2,merge_serving_dirty_cells,write,8.533
1,B3,1,3,expire_snapshots_store,maintenance,4.987
1,B3,1,4,expire_snapshots_serving,maintenance,3.4
1,B3,1,5,verify_store,verification,1.825
1,B3,1,6,verify_serving,verification,1.259
1,B3,2,1,insert_store_rows,write,1.228
1,B3,2,2,merge_serving_dirty_cells,write,4.696
1,B3,2,3,expire_snapshots_store,maintenance,9.116
1,B3,2,4,expire_snapshots_serving,maintenance,7.566
1,B3,2,5,verify_store,verification,1.237
1,B3,2,6,verify_serving,verification,0.892
