stage,point_kind,point,treatment_id,repetitions,write_seconds_median,write_seconds_min,write_seconds_max,write_spread_ratio,maintenance_seconds_median,maintenance_spread_ratio,doubtful,rerun_unit
H11,sweep_scenario,sweep_001,B0,3,11.324,10.665,11.381,0.0632,13.836,0.0639,no,
H11,sweep_scenario,sweep_001,B1,3,10.056,9.625,10.116,0.0488,0.000,0.0000,no,
H11,sweep_scenario,sweep_001,B2,3,9.998,9.405,12.869,0.3465,14.618,0.3795,yes,sweep_001
H11,sweep_scenario,sweep_001,B3,3,15.971,15.445,21.014,0.3487,22.103,0.1296,yes,sweep_001
H11,sweep_scenario,sweep_002,B0,3,10.682,10.318,11.939,0.1518,14.142,0.0853,no,
H11,sweep_scenario,sweep_002,B1,3,10.286,10.012,10.386,0.0364,0.000,0.0000,no,
H11,sweep_scenario,sweep_002,B2,3,9.548,9.408,9.685,0.0290,13.282,0.0627,no,
H11,sweep_scenario,sweep_002,B3,3,15.659,14.934,16.097,0.0743,21.727,0.0609,no,
H11,sweep_scenario,sweep_004,B0,3,10.309,10.283,10.995,0.0691,13.828,0.0637,no,
H11,sweep_scenario,sweep_004,B1,3,10.181,9.425,10.572,0.1127,0.000,0.0000,no,
H11,sweep_scenario,sweep_004,B2,3,9.530,9.479,10.353,0.0917,13.979,0.0547,no,
H11,sweep_scenario,sweep_004,B3,3,15.674,14.953,16.742,0.1141,21.468,0.1409,no,
H11,sweep_scenario,sweep_008,B0,3,11.090,10.018,12.017,0.1803,13.933,0.4754,no,
H11,sweep_scenario,sweep_008,B1,3,9.911,9.785,11.510,0.1740,0.000,0.0000,no,
H11,sweep_scenario,sweep_008,B2,3,9.861,9.644,11.178,0.1556,14.194,0.0579,no,
H11,sweep_scenario,sweep_008,B3,3,15.606,14.749,15.803,0.0675,20.248,0.1234,no,
H11,sweep_scenario,sweep_016,B0,3,11.262,10.659,11.642,0.0873,14.333,0.0200,no,
H11,sweep_scenario,sweep_016,B1,3,10.349,10.247,10.609,0.0350,0.000,0.0000,no,
H11,sweep_scenario,sweep_016,B2,3,9.891,9.135,9.899,0.0772,14.391,0.1015,no,
H11,sweep_scenario,sweep_016,B3,3,15.421,15.360,15.561,0.0130,22.096,0.4023,no,
H11,sweep_scenario,sweep_038,B0,3,10.469,10.378,11.081,0.0672,14.483,0.1286,no,
H11,sweep_scenario,sweep_038,B1,3,10.068,9.766,10.385,0.0615,0.000,0.0000,no,
H11,sweep_scenario,sweep_038,B2,3,9.466,9.392,9.478,0.0091,13.595,0.0105,no,
H11,sweep_scenario,sweep_038,B3,3,15.380,14.844,15.798,0.0620,20.246,0.0883,no,
H12,release_arrival,1,B0,3,8.021,7.653,8.222,0.0709,6.627,0.2890,no,
H12,release_arrival,1,B1,3,8.267,8.057,8.288,0.0279,0.000,0.0000,no,
H12,release_arrival,1,B2,3,8.797,8.047,17.465,1.0706,6.615,0.1224,yes,all_arrivals
H12,release_arrival,1,B3,3,14.961,14.643,15.147,0.0337,9.410,0.1513,no,
H12,release_arrival,2,B0,3,3.929,3.895,3.995,0.0255,10.937,0.9095,no,
H12,release_arrival,2,B1,3,2.315,2.281,2.651,0.1598,0.000,0.0000,no,
H12,release_arrival,2,B2,3,2.064,1.997,2.448,0.2185,10.501,0.1419,yes,all_arrivals
H12,release_arrival,2,B3,3,6.467,5.924,6.585,0.1022,17.712,0.1192,no,
H12,release_arrival,3,B0,3,3.497,3.064,3.806,0.2122,8.120,0.0979,yes,all_arrivals
H12,release_arrival,3,B1,3,2.199,1.863,2.222,0.1633,0.000,0.0000,no,
H12,release_arrival,3,B2,3,2.062,1.961,2.401,0.2134,7.850,0.2048,yes,all_arrivals
H12,release_arrival,3,B3,3,5.513,5.204,5.827,0.1130,14.781,0.0662,no,
H12,release_arrival,4,B0,3,3.197,2.685,3.209,0.1639,7.368,0.0413,no,
H12,release_arrival,4,B1,3,2.269,2.035,2.348,0.1379,0.000,0.0000,no,
H12,release_arrival,4,B2,3,1.830,1.641,1.945,0.1661,7.541,0.1529,no,
H12,release_arrival,4,B3,3,5.861,5.789,6.141,0.0601,13.709,0.0446,no,
