treatment_id,failure_kind,source_id,domain,geo_level,failures,material_failures,duplicate_value_failures
B0,overwritten_by_later_vintage,bps_tpb_2024,ecology,national,3,1,2
B0,overwritten_by_later_vintage,bps_tpb_2024,economy,national,52,0,52
B0,overwritten_by_later_vintage,bps_tpb_2024,economy,province,680,27,653
B0,overwritten_by_later_vintage,bps_tpb_2024,education,national,76,0,76
B0,overwritten_by_later_vintage,bps_tpb_2024,education,province,408,0,408
B0,overwritten_by_later_vintage,bps_tpb_2024,energy,national,19,5,14
B0,overwritten_by_later_vintage,bps_tpb_2024,energy,province,102,6,96
B0,overwritten_by_later_vintage,bps_tpb_2024,environment,national,12,0,12
B0,overwritten_by_later_vintage,bps_tpb_2024,environment,province,204,0,204
B0,overwritten_by_later_vintage,bps_tpb_2025,economy,national,30,2,28
B0,overwritten_by_later_vintage,bps_tpb_2025,education,national,12,0,12
B0,overwritten_by_later_vintage,bps_tpb_2025,energy,national,7,2,5
B2,not_selected_by_trust_score,bps_tpb_2024,ecology,national,3,1,2
B2,not_selected_by_trust_score,bps_tpb_2024,economy,national,20,2,18
B2,not_selected_by_trust_score,bps_tpb_2024,education,national,6,0,6
B2,not_selected_by_trust_score,bps_tpb_2024,energy,national,9,1,8
B2,not_selected_by_trust_score,bps_webapi,economy,national,62,2,60
B2,not_selected_by_trust_score,bps_webapi,economy,province,680,27,653
B2,not_selected_by_trust_score,bps_webapi,education,national,82,0,82
B2,not_selected_by_trust_score,bps_webapi,education,province,408,0,408
B2,not_selected_by_trust_score,bps_webapi,energy,national,17,4,13
B2,not_selected_by_trust_score,bps_webapi,energy,province,102,6,96
B2,not_selected_by_trust_score,bps_webapi,environment,national,12,0,12
B2,not_selected_by_trust_score,bps_webapi,environment,province,204,0,204
B2,serving_value_superseded,,economy,national,2,2,0
B2,serving_value_superseded,,economy,province,27,27,0
B2,serving_value_superseded,,energy,national,4,4,0
B2,serving_value_superseded,,energy,province,6,6,0
