repetition,scenario_id,treatment_id,execution_id,statement,iceberg_bytes_read,file_bytes_read,bytes_read,delete_bytes_read,data_files_read,data_files_skipped,output_rows,file_records_read
1,sweep_001,B0,1,"CREATE OR REPLACE TEMPORARY VIEW h11_panel_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-observations.csv', header ",0,65536,65536,0,0,0,2,1
1,sweep_001,B0,3,"CREATE OR REPLACE TEMPORARY VIEW h11_vintages_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-vintages.csv', header '",0,1202,1202,0,0,0,2,1
1,sweep_001,B0,5,"CREATE OR REPLACE TEMPORARY VIEW h11_b1_keys_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-b1-state-catalog.csv', header ",0,798,798,0,0,0,2,1
1,sweep_001,B0,7,"CREATE OR REPLACE TEMPORARY VIEW h11_scores_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h6b-source-trust-scores.csv', heade",0,621,621,0,0,0,2,1
1,sweep_001,B0,9,"CREATE OR REPLACE TEMPORARY VIEW h11_edges_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-impact-edges.csv', header ",0,65536,65536,0,0,0,2,1
1,sweep_001,B0,11,CREATE OR REPLACE TEMPORARY VIEW h11_payload_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-sweep-synthetic-observations.c,0,43061,43061,0,0,0,2,1
1,sweep_001,B0,13,CREATE OR REPLACE TEMPORARY VIEW h11_synthetic_vintages_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-sweep-vintages.csv',0,2075,2075,0,0,0,2,1
1,sweep_001,B0,15,"CREATE OR REPLACE TEMPORARY VIEW h11_dirty_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-b3-dirty-cells.csv', header 'tru",0,12115,12115,0,0,0,2,1
1,sweep_001,B0,23,MERGE INTO kkciv.sweep.b0_panel_current AS current USING (,594148,303793,897941,0,10,0,12683,7817
1,sweep_001,B0,25,"Expiring snapshots (older_than=253402214400000,retain_last=1) in kkciv.sweep.b0_panel_current",0,22977,22977,0,0,0,59,15
1,sweep_001,B1,1,"CREATE OR REPLACE TEMPORARY VIEW h11_panel_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-observations.csv', header ",0,65536,65536,0,0,0,2,1
1,sweep_001,B1,3,"CREATE OR REPLACE TEMPORARY VIEW h11_vintages_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-vintages.csv', header '",0,1202,1202,0,0,0,2,1
1,sweep_001,B1,5,"CREATE OR REPLACE TEMPORARY VIEW h11_b1_keys_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-b1-state-catalog.csv', header ",0,798,798,0,0,0,2,1
1,sweep_001,B1,7,"CREATE OR REPLACE TEMPORARY VIEW h11_scores_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h6b-source-trust-scores.csv', heade",0,621,621,0,0,0,2,1
