figure_id,series,x,y,y_min,y_max,unit
G1,B0,1,24.652,24.501,25.217,seconds
G2,B0,1,13279,13278,13282,bytes
G3,B0,1,1,1,1,cells
G1,B0,2,26.018,24.460,26.081,seconds
G2,B0,2,13362,13359,13366,bytes
G3,B0,2,2,2,2,cells
G1,B0,4,24.823,24.111,24.823,seconds
G2,B0,4,13410,13406,13414,bytes
G3,B0,4,4,4,4,cells
G1,B0,8,25.023,23.951,25.950,seconds
G2,B0,8,13619,13606,13619,bytes
G3,B0,8,8,8,8,cells
G1,B0,16,25.595,24.992,25.975,seconds
G2,B0,16,13884,13869,13887,bytes
G3,B0,16,16,16,16,cells
G1,B0,38,24.861,24.861,25.564,seconds
G2,B0,38,14459,14459,14460,bytes
G3,B0,38,38,38,38,cells
G1,B1,1,10.056,9.625,10.116,seconds
G2,B1,1,468313,468307,468319,bytes
G3,B1,1,5378,5378,5378,cells
G1,B1,2,10.286,10.012,10.386,seconds
G2,B1,2,468398,468391,468400,bytes
G3,B1,2,5378,5378,5378,cells
G1,B1,4,10.181,9.425,10.572,seconds
G2,B1,4,468491,468487,468496,bytes
G3,B1,4,5378,5378,5378,cells
G1,B1,8,9.911,9.785,11.510,seconds
G2,B1,8,468714,468709,468717,bytes
G3,B1,8,5378,5378,5378,cells
G1,B1,16,10.349,10.247,10.609,seconds
G2,B1,16,468987,468981,468988,bytes
G3,B1,16,5378,5378,5378,cells
G1,B1,38,10.068,9.766,10.385,seconds
G2,B1,38,469682,469676,469687,bytes
G3,B1,38,5378,5378,5378,cells
G1,B2,1,24.616,24.023,27.487,seconds
G2,B2,1,25883,25879,25884,bytes
G3,B2,1,5378,5378,5378,cells
G1,B2,2,22.830,22.690,22.967,seconds
G2,B2,2,25971,25970,25974,bytes
G3,B2,2,5378,5378,5378,cells
G1,B2,4,23.458,23.458,24.332,seconds
G2,B2,4,26004,25998,26004,bytes
G3,B2,4,5378,5378,5378,cells
G1,B2,8,24.238,23.838,25.372,seconds
G2,B2,8,26107,26100,26107,bytes
G3,B2,8,5378,5378,5378,cells
G1,B2,16,24.084,23.526,24.290,seconds
G2,B2,16,26250,26248,26253,bytes
G3,B2,16,5378,5378,5378,cells
G1,B2,38,23.052,22.987,23.073,seconds
G2,B2,38,26363,26361,26365,bytes
G3,B2,38,5378,5378,5378,cells
G1,B3,1,38.007,37.548,43.117,seconds
G2,B3,1,49262,49259,49661,bytes
G3,B3,1,1,1,1,cells
G1,B3,2,37.563,36.661,37.824,seconds
G2,B3,2,50608,50199,50615,bytes
G3,B3,2,2,2,2,cells
G1,B3,4,36.920,36.421,38.210,seconds
G2,B3,4,50789,50389,50797,bytes
G3,B3,4,4,4,4,cells
G1,B3,8,35.854,34.997,36.051,seconds
G2,B3,8,50818,50816,50827,bytes
G3,B3,8,8,8,8,cells
G1,B3,16,37.517,37.456,37.657,seconds
G2,B3,16,51959,51548,51961,bytes
G3,B3,16,16,16,16,cells
G1,B3,38,35.626,35.090,36.044,seconds
G2,B3,38,52873,52872,52878,bytes
G3,B3,38,38,38,38,cells
G4,B0,fixture,0.3684,0.3684,0.3684,ratio
G4,B1,fixture,1.0000,1.0000,1.0000,ratio
G4,B2,fixture,0.3684,0.3684,0.3684,ratio
G4,B3,fixture,1.0000,1.0000,1.0000,ratio
G4,B0,panel,0.7702,0.7702,0.7702,ratio
G4,B1,panel,1.0000,1.0000,1.0000,ratio
G4,B2,panel,0.7702,0.7702,0.7702,ratio
G4,B3,panel,1.0000,1.0000,1.0000,ratio
