domain,indicator_key,alignment_status,geo_level,overlap_cells,exact_matches,value_mismatches,missing_snapshots,mismatch_rate,max_absolute_spread
education,sdg04_completion_rate,comparable,national,12,12,0,0,0.0000,0
education,sdg04_completion_rate,comparable,province,408,408,0,0,0.0000,0.00
environment,sdg06_sanitation,comparable,national,3,3,0,0,0.0000,0.00
environment,sdg06_sanitation,comparable,province,102,102,0,0,0.0000,0.00
environment,sdg06_handwashing,comparable,national,3,3,0,0,0.0000,0.00
environment,sdg06_handwashing,comparable,province,102,102,0,0,0.0000,0.00
energy,sdg07_clean_cooking,comparable,national,3,3,0,0,0.0000,0.00
energy,sdg07_clean_cooking,comparable,province,102,96,6,0,0.0588,0.01
economy,sdg08_productivity_growth,comparable,national,4,4,0,0,0.0000,0.00
economy,sdg08_productivity_growth,comparable,province,136,109,27,0,0.1985,0.99
economy,sdg08_informal_employment,comparable,national,4,4,0,0,0.0000,0.00
economy,sdg08_informal_employment,comparable,province,136,136,0,0,0.0000,0.00
economy,sdg08_hourly_wage,comparable,national,4,4,0,0,0.0000,0
economy,sdg08_hourly_wage,comparable,province,136,136,0,0,0.0000,0
economy,sdg08_unemployment,comparable,national,4,4,0,0,0.0000,0.00
economy,sdg08_unemployment,comparable,province,136,136,0,0,0.0000,0.00
economy,sdg08_neet,comparable,national,4,4,0,0,0.0000,0.00
economy,sdg08_neet,comparable,province,136,136,0,0,0.0000,0.0
