domain,indicator_key,series_key,observed_period,geo_level,geo_code,unit,geo_name,source_count,value_count,min_value,max_value,absolute_spread,status,observations_json
education,sdg04_completion_rate,sd.expenditure.q1,2015,national,9999,percent,Indonesia,1,1,85.33,85.33,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2015"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=115;turth=0"", ""unit"": ""percent"", ""value"": ""85.33""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2016,national,9999,percent,Indonesia,1,1,88.81,88.81,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2016"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=116;turth=0"", ""unit"": ""percent"", ""value"": ""88.81""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2017,national,9999,percent,Indonesia,1,1,90.53,90.53,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2017"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=117;turth=0"", ""unit"": ""percent"", ""value"": ""90.53""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2018,national,9999,percent,Indonesia,1,1,90.21,90.21,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2018"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=118;turth=0"", ""unit"": ""percent"", ""value"": ""90.21""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2019,national,9999,percent,Indonesia,1,1,92.23,92.23,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2019"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=119;turth=0"", ""unit"": ""percent"", ""value"": ""92.23""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2020,national,9999,percent,Indonesia,1,1,94.04,94.04,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""94.04""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2021,national,9999,percent,Indonesia,1,1,95.04,95.04,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2021"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=121;turth=0"", ""unit"": ""percent"", ""value"": ""95.04""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2022,national,9999,percent,Indonesia,2,1,96.42,96.42,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q1;year=2022"", ""unit"": ""percent"", ""value"": ""96.42""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=122;turth=0"", ""unit"": ""percent"", ""value"": ""96.42""}]"
education,sdg04_completion_rate,sd.expenditure.q1,2023,national,9999,percent,Indonesia,2,1,96.36,96.36,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q1;year=2023"", ""unit"": ""percent"", ""value"": ""96.36""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q1"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=1;turvar=1672;th=123;turth=0"", ""unit"": ""percent"", ""value"": ""96.36""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2015,national,9999,percent,Indonesia,1,1,89.29,89.29,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2015"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=115;turth=0"", ""unit"": ""percent"", ""value"": ""89.29""}]"
