source_id,indicator_key,series_key,release_date,observed_period,geo_level,geo_code,geo_name,unit,value,producer,methodology_version,source_record_id
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q1,2024-12-31,2022,national,9999,Indonesia,percent,96.42,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q1;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q1,2024-12-31,2023,national,9999,Indonesia,percent,96.36,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q1;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q2,2024-12-31,2022,national,9999,Indonesia,percent,97.68,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q2;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q2,2024-12-31,2023,national,9999,Indonesia,percent,97.76,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q2;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q3,2024-12-31,2022,national,9999,Indonesia,percent,98.14,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q3;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q3,2024-12-31,2023,national,9999,Indonesia,percent,98.12,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q3;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q4,2024-12-31,2022,national,9999,Indonesia,percent,98.34,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q4;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q4,2024-12-31,2023,national,9999,Indonesia,percent,98.45,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q4;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q5,2024-12-31,2022,national,9999,Indonesia,percent,98.76,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q5;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.expenditure.q5,2024-12-31,2023,national,9999,Indonesia,percent,98.74,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.expenditure.q5;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.residence.rural,2024-12-31,2022,national,9999,Indonesia,percent,96.85,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.residence.rural;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.residence.rural,2024-12-31,2023,national,9999,Indonesia,percent,96.86,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.residence.rural;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.residence.urban,2024-12-31,2022,national,9999,Indonesia,percent,98.55,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.residence.urban;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.residence.urban,2024-12-31,2023,national,9999,Indonesia,percent,98.54,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.residence.urban;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.sex.female,2024-12-31,2022,national,9999,Indonesia,percent,98.21,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.sex.female;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.sex.female,2024-12-31,2023,national,9999,Indonesia,percent,98.19,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.sex.female;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.sex.male,2024-12-31,2022,national,9999,Indonesia,percent,97.44,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.sex.male;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.sex.male,2024-12-31,2023,national,9999,Indonesia,percent,97.47,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.sex.male;year=2023
bps_tpb_2024,sdg04_completion_rate,sd.total,2024-12-31,2022,national,9999,Indonesia,percent,97.82,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.total;year=2022
bps_tpb_2024,sdg04_completion_rate,sd.total,2024-12-31,2023,national,9999,Indonesia,percent,97.83,Badan Pusat Statistik,tpb-2024-figure,page=46;figure=Gambar 4.2;series=sd.total;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q1,2024-12-31,2022,national,9999,Indonesia,percent,51.71,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q1;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q1,2024-12-31,2023,national,9999,Indonesia,percent,52.41,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q1;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q2,2024-12-31,2022,national,9999,Indonesia,percent,59.85,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q2;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q2,2024-12-31,2023,national,9999,Indonesia,percent,62.21,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q2;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q3,2024-12-31,2022,national,9999,Indonesia,percent,65.58,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q3;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q3,2024-12-31,2023,national,9999,Indonesia,percent,68.26,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q3;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q4,2024-12-31,2022,national,9999,Indonesia,percent,71.13,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q4;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q4,2024-12-31,2023,national,9999,Indonesia,percent,70.32,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q4;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q5,2024-12-31,2022,national,9999,Indonesia,percent,80.24,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q5;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.expenditure.q5,2024-12-31,2023,national,9999,Indonesia,percent,77.76,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.expenditure.q5;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.residence.rural,2024-12-31,2022,national,9999,Indonesia,percent,55.48,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.residence.rural;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.residence.rural,2024-12-31,2023,national,9999,Indonesia,percent,56.38,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.residence.rural;year=2023
bps_tpb_2024,sdg04_completion_rate,sma.residence.urban,2024-12-31,2022,national,9999,Indonesia,percent,73.91,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.residence.urban;year=2022
bps_tpb_2024,sdg04_completion_rate,sma.residence.urban,2024-12-31,2023,national,9999,Indonesia,percent,73.25,Badan Pusat Statistik,tpb-2024-figure,page=47;figure=Gambar 4.4;series=sma.residence.urban;year=2023
