domain,input_dataset,source_id,release_date,geo_level,observation_rows,indicator_count,period_start,period_end
ecology,h3_release_reconciliation,bps_tpb_2024,2024-12-31,national,5,1,2018,2022
ecology,h3_release_reconciliation,bps_tpb_2025,2025-12-30,national,5,1,2020,2024
economy,h3_province_publication,bps_tpb_2024,2024-12-31,national,20,5,2020,2023
economy,h3_province_publication,bps_tpb_2024,2024-12-31,province,680,5,2020,2023
economy,h3_province_webapi,bps_webapi,2026-09-08,national,20,5,2020,2023
economy,h3_province_webapi,bps_webapi,2026-09-08,province,680,5,2020,2023
economy,h3_release_reconciliation,bps_tpb_2024,2024-12-31,national,47,6,2017,2023
economy,h3_release_reconciliation,bps_tpb_2025,2025-12-30,national,31,4,2017,2024
economy,h3_release_reconciliation,bps_webapi,2026-09-08,national,103,6,2015,2025
economy,h3_release_reconciliation,bps_webapi,2026-09-08,province,2189,6,2015,2025
education,h3_province_publication,bps_tpb_2024,2024-12-31,national,12,1,2020,2023
education,h3_province_publication,bps_tpb_2024,2024-12-31,province,408,1,2020,2023
education,h3_province_webapi,bps_webapi,2026-09-08,national,12,1,2020,2023
education,h3_province_webapi,bps_webapi,2026-09-08,province,408,1,2020,2023
education,h3_release_reconciliation,bps_tpb_2024,2024-12-31,national,64,3,2022,2023
education,h3_release_reconciliation,bps_tpb_2025,2025-12-30,national,15,1,2020,2024
education,h3_release_reconciliation,bps_webapi,2026-09-08,national,290,3,2015,2025
education,h3_release_reconciliation,bps_webapi,2026-09-08,province,1606,3,2015,2025
energy,h3_province_publication,bps_tpb_2024,2024-12-31,national,3,1,2021,2023
energy,h3_province_publication,bps_tpb_2024,2024-12-31,province,102,1,2021,2023
energy,h3_province_webapi,bps_webapi,2026-09-08,national,3,1,2021,2023
energy,h3_province_webapi,bps_webapi,2026-09-08,province,102,1,2021,2023
energy,h3_release_reconciliation,bps_tpb_2024,2024-12-31,national,18,3,2018,2023
energy,h3_release_reconciliation,bps_tpb_2025,2025-12-30,national,11,2,2019,2024
energy,h3_release_reconciliation,bps_webapi,2026-09-08,national,23,3,2015,2022
environment,h3_province_publication,bps_tpb_2024,2024-12-31,national,6,2,2021,2023
environment,h3_province_publication,bps_tpb_2024,2024-12-31,province,204,2,2021,2023
environment,h3_province_webapi,bps_webapi,2026-09-08,national,6,2,2021,2023
environment,h3_province_webapi,bps_webapi,2026-09-08,province,204,2,2021,2023
environment,h3_release_reconciliation,bps_tpb_2024,2024-12-31,national,9,1,2021,2023
environment,h3_release_reconciliation,bps_webapi,2026-09-08,national,32,1,2015,2025
environment,h3_release_reconciliation,bps_webapi,2026-09-08,province,348,1,2016,2025
