event_id,domain,event_kind,indicator_key,series_key,observed_period,geo_level,geo_code,unit,source_values_json,absolute_difference,input_label,rule_id,classification,cause_family,evidence_level,counts_toward_g1,classification_note,original_classification,original_cause_family,original_evidence_level,promoted,evidence_kind,evidence_locator,evidence_note
031d6a7f773e2a3b3b09,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,7600,percent,"{""bps_tpb_2024"": ""3.68"", ""bps_webapi"": ""3.66""}",0.02,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
0447c9216370842a0c00,economy,national_province_granularity,sdg08_hourly_wage,total,2020,national_vs_province,9999,rupiah_per_hour,"{""national"": ""17696"", ""province_count"": ""34"", ""province_unweighted_mean"": ""19537.7647""}",1841.7647,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
0b86c7c92e8971f446f4,environment,national_province_granularity,sdg06_handwashing,total,2023,national_vs_province,9999,percent,"{""national"": ""80.15"", ""province_count"": ""34"", ""province_unweighted_mean"": ""77.5847""}",2.5653,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
0bcb291f72b59e4684db,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,3300,percent,"{""bps_tpb_2024"": ""-3.42"", ""bps_webapi"": ""-3.43""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
0c77812350f01eb300f9,energy,national_province_granularity,sdg07_clean_cooking,gas,2021,national_vs_province,9999,percent,"{""national"": ""83.36"", ""province_count"": ""34"", ""province_unweighted_mean"": ""73.6453""}",9.7147,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
0eab9e2a814277b38d46,education,national_province_granularity,sdg04_completion_rate,sd,2022,national_vs_province,9999,percent,"{""national"": ""97.82"", ""province_count"": ""34"", ""province_unweighted_mean"": ""96.9929""}",0.8271,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
0f0516eec703f133c11e,economy,release_value_difference,sdg08_gdp_per_capita_growth,total,2020,national,9999,percent,"{""bps_tpb_2024"": ""-3.03"", ""bps_tpb_2025"": ""-3.26"", ""bps_webapi"": ""-3.03""}",0.23,published_release_change,R04,vintage_observed,vintage,observed,yes,Two dated official publications report different values for the same aligned cell,vintage_observed,vintage,observed,no,,,
1ce1fdb94003890678c3,economy,source_value_difference,sdg08_productivity_growth,total,2021,province,6500,percent,"{""bps_tpb_2024"": ""1.62"", ""bps_webapi"": ""1.61""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
1eaf60818df9c5a79497,economy,national_province_granularity,sdg08_productivity_growth,total,2023,national_vs_province,9999,percent,"{""national"": ""1.63"", ""province_count"": ""34"", ""province_unweighted_mean"": ""2.3844""}",0.7544,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
20949a806cd4bf1332b7,energy,release_value_difference,sdg07_energy_intensity,total,2018,national,9999,sbm_per_billion_rupiah,"{""bps_tpb_2024"": ""428.60"", ""bps_webapi"": ""140.62""}",287.98,methodology_or_unit_change_candidate,R07,methodology_or_unit_candidate,methodology,candidate,yes,The gap is incompatible with rounding and requires a unit or methodology check,methodology_or_unit_candidate,methodology,candidate,no,,,
213e103baa738b39b12b,energy,national_province_granularity,sdg07_clean_cooking,gas,2021,national_vs_province,9999,percent,"{""national"": ""83.36"", ""province_count"": ""34"", ""province_unweighted_mean"": ""73.6447""}",9.7153,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
2203a29ae2726eebb5b9,economy,national_province_granularity,sdg08_neet,total,2020,national_vs_province,9999,percent,"{""national"": ""24.28"", ""province_count"": ""34"", ""province_unweighted_mean"": ""23.3006""}",0.9794,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
22a286cb218434ef7e97,economy,national_province_granularity,sdg08_informal_employment,total,2021,national_vs_province,9999,percent,"{""national"": ""59.45"", ""province_count"": ""34"", ""province_unweighted_mean"": ""60.2076""}",0.7576,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
25c5c9d1968dce6ed10e,education,national_province_granularity,sdg04_completion_rate,sd,2021,national_vs_province,9999,percent,"{""national"": ""97.37"", ""province_count"": ""34"", ""province_unweighted_mean"": ""96.3671""}",1.0029,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
269111c85dab226bf732,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,9100,percent,"{""bps_tpb_2024"": ""-9.65"", ""bps_webapi"": ""-9.66""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
292cc5f729dc1567c65a,economy,national_province_granularity,sdg08_hourly_wage,total,2022,national_vs_province,9999,rupiah_per_hour,"{""national"": ""17542"", ""province_count"": ""34"", ""province_unweighted_mean"": ""17901.4706""}",359.4706,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
2c1f5b859a1633f57aae,economy,national_province_granularity,sdg08_informal_employment,total,2023,national_vs_province,9999,percent,"{""national"": ""59.11"", ""province_count"": ""34"", ""province_unweighted_mean"": ""59.3521""}",0.2421,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
2dc362526c3ec172649b,environment,national_province_granularity,sdg06_sanitation,total,2022,national_vs_province,9999,percent,"{""national"": ""80.92"", ""province_count"": ""34"", ""province_unweighted_mean"": ""80.9971""}",0.0771,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
2eb94d15f895a2272a6d,economy,national_province_granularity,sdg08_neet,total,2020,national_vs_province,9999,percent,"{""national"": ""24.28"", ""province_count"": ""34"", ""province_unweighted_mean"": ""23.3006""}",0.9794,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
30b1045e936b7ebc9318,economy,source_value_difference,sdg08_productivity_growth,total,2021,province,7500,percent,"{""bps_tpb_2024"": ""0.55"", ""bps_webapi"": ""0.56""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
33459723dd4f957ec98e,economy,national_province_granularity,sdg08_hourly_wage,total,2022,national_vs_province,9999,rupiah_per_hour,"{""national"": ""17542"", ""province_count"": ""34"", ""province_unweighted_mean"": ""17901.4706""}",359.4706,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
3352b43279a8d04964f3,economy,national_province_granularity,sdg08_unemployment,total,2020,national_vs_province,9999,percent,"{""national"": ""7.07"", ""province_count"": ""34"", ""province_unweighted_mean"": ""6.0335""}",1.0365,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
347751879d82bc88fb4e,economy,national_province_granularity,sdg08_hourly_wage,total,2023,national_vs_province,9999,rupiah_per_hour,"{""national"": ""19027"", ""province_count"": ""34"", ""province_unweighted_mean"": ""19662.0294""}",635.0294,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
386a7b39b8c8b35e7fb4,economy,source_value_difference,sdg08_productivity_growth,total,2022,province,7600,percent,"{""bps_tpb_2024"": ""-4.03"", ""bps_webapi"": ""-4.07""}",0.04,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=11;printed_note=x;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
38ab7a8f0dfd233d0c60,economy,national_province_granularity,sdg08_productivity_growth,total,2022,national_vs_province,9999,percent,"{""national"": ""2.00"", ""province_count"": ""34"", ""province_unweighted_mean"": ""2.7612""}",0.7612,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
