trace_id,event_id,trace_type,domain,indicator_key,series_key,observed_period,geo_level,geo_code,geo_name,unit,cause_family,evidence_level,vintage_order,source_id,release_date,value,producer,methodology_version,source_record_id,evidence_note
031d6a7f773e2a3b3b09,031d6a7f773e2a3b3b09,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2023,province,7600,Sulawesi Barat,percent,vintage,observed,1,bps_tpb_2024,2024-12-31,3.68,Badan Pusat Statistik,tpb-2024-appendix,pub=936a26d5d2b168b9971d3b02;page=274;column=13;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
031d6a7f773e2a3b3b09,031d6a7f773e2a3b3b09,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2023,province,7600,Sulawesi Barat,percent,vintage,observed,2,bps_tpb_2025,2025-12-30,3.68,Badan Pusat Statistik,tpb-2025-appendix-very_provisional,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
031d6a7f773e2a3b3b09,031d6a7f773e2a3b3b09,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2023,province,7600,Sulawesi Barat,percent,vintage,observed,3,bps_webapi,2026-09-08,3.66,Badan Pusat Statistik,webapi-var-1161-updated-2026-07-06,domain=0000;var=1161;vervar=7600;turvar=0;th=123;turth=0,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
0f0516eec703f133c11e,0f0516eec703f133c11e,published_release_change,economy,sdg08_gdp_per_capita_growth,total,2020,national,9999,Indonesia,percent,vintage,observed,1,bps_tpb_2024,2024-12-31,-3.03,Badan Pusat Statistik,tpb-2024-figure,page=86;figure=Gambar 8.1;series=total;year=2020,Two dated official publications report different values for the same aligned cell
0f0516eec703f133c11e,0f0516eec703f133c11e,published_release_change,economy,sdg08_gdp_per_capita_growth,total,2020,national,9999,Indonesia,percent,vintage,observed,2,bps_tpb_2025,2025-12-30,-3.26,Badan Pusat Statistik,tpb-2025-figure,page=54;figure=Gambar 8.1;series=total;year=2020,Two dated official publications report different values for the same aligned cell
386a7b39b8c8b35e7fb4,386a7b39b8c8b35e7fb4,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2022,province,7600,Sulawesi Barat,percent,vintage,observed,1,bps_tpb_2024,2024-12-31,-4.03,Badan Pusat Statistik,tpb-2024-appendix,pub=936a26d5d2b168b9971d3b02;page=274;column=12;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
386a7b39b8c8b35e7fb4,386a7b39b8c8b35e7fb4,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2022,province,7600,Sulawesi Barat,percent,vintage,observed,2,bps_tpb_2025,2025-12-30,-4.03,Badan Pusat Statistik,tpb-2025-appendix-provisional,page=208;column=11;printed_note=x;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
386a7b39b8c8b35e7fb4,386a7b39b8c8b35e7fb4,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2022,province,7600,Sulawesi Barat,percent,vintage,observed,3,bps_webapi,2026-09-08,-4.07,Badan Pusat Statistik,webapi-var-1161-updated-2026-07-06,domain=0000;var=1161;vervar=7600;turvar=0;th=122;turth=0,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
4ff72dd0b87beb923c29,4ff72dd0b87beb923c29,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2022,province,2100,Kepulauan Riau,percent,vintage,observed,1,bps_tpb_2024,2024-12-31,-1.14,Badan Pusat Statistik,tpb-2024-appendix,pub=936a26d5d2b168b9971d3b02;page=274;column=12;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
4ff72dd0b87beb923c29,4ff72dd0b87beb923c29,provisional_to_revised_snapshot,economy,sdg08_productivity_growth,total,2022,province,2100,Kepulauan Riau,percent,vintage,observed,2,bps_tpb_2025,2025-12-30,-1.14,Badan Pusat Statistik,tpb-2025-appendix-provisional,page=208;column=11;printed_note=x;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
