edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:02c6a301b3e089359a08,source_artifact:5b60d57510ca563f2783,source_record:07204f7959a158920906,artifact_contains_record,05a8528c88245297d4ba,5b5eeef107bb6f124496,artifact checksum plus exact source locator and H6 cell coordinates
edge:046efc2b287c96f07b43,source_artifact:5b60d57510ca563f2783,source_record:7e35d4e934c4fa296c7d,artifact_contains_record,6ad6dfc4b05d0f292d1f,425bfdd5ca02ab3e3cc1,artifact checksum plus exact source locator and H6 cell coordinates
edge:0d3e2e52a129b644b0fb,source_artifact:5b60d57510ca563f2783,source_record:4ed2457911a60c3d488b,artifact_contains_record,211b04665de26cd11d77,53b2a1ef09a68d6c5173,artifact checksum plus exact source locator and H6 cell coordinates
edge:1e806315fcb3d6bafcf5,source_artifact:a3b2d14f73a6944e5daa,source_record:621b059bcf550a1ead3a,artifact_contains_record,09bd4158de9b28a03d83,1c03a76cb6a98f53235d,artifact checksum plus exact source locator and H6 cell coordinates
edge:20a9e1c05d0f7cbd42c7,source_artifact:5b60d57510ca563f2783,source_record:26de36e57a1c215a6f55,artifact_contains_record,a16c09b869c2ad72a4ea,4aab4307f4906503d2a4,artifact checksum plus exact source locator and H6 cell coordinates
edge:2238d4e633bfbda8cec4,source_artifact:3c803d0b82626170d679,source_record:609ed81aeb94651f9f28,artifact_contains_record,bc696217068415ca73e2,4aab4307f4906503d2a4,artifact checksum plus exact source locator and H6 cell coordinates
edge:2c97295b78bc4b54f4f4,source_artifact:5b60d57510ca563f2783,source_record:271cc1d0fc53de1a353a,artifact_contains_record,9fe0a3bb2baed4ce3810,7c1c5248808f73b2f3a6,artifact checksum plus exact source locator and H6 cell coordinates
edge:38e3fece8fa2bb96ee4d,source_artifact:a3b2d14f73a6944e5daa,source_record:9d014b544d90b04f050e,artifact_contains_record,87cdfc70ee6d45666fec,425bfdd5ca02ab3e3cc1,artifact checksum plus exact source locator and H6 cell coordinates
edge:4232dd4aaa72511338a1,source_artifact:5b60d57510ca563f2783,source_record:875236bbef4d7952b885,artifact_contains_record,f4b6cbcb460eaef0f82e,e4982bb0d13ac08094aa,artifact checksum plus exact source locator and H6 cell coordinates
edge:43220f84103cda278c6b,source_artifact:a3b2d14f73a6944e5daa,source_record:d3ee5d39849b0096d5ce,artifact_contains_record,4af2e0e7825c9f2ac443,71a013b45f47a8aefa7d,artifact checksum plus exact source locator and H6 cell coordinates
edge:46434d833f843f1bd53b,source_artifact:3c803d0b82626170d679,source_record:87c903ae7b46a49c415f,artifact_contains_record,69745dd19d776c69570e,425bfdd5ca02ab3e3cc1,artifact checksum plus exact source locator and H6 cell coordinates
edge:4d8bac867f488707b821,source_artifact:3c803d0b82626170d679,source_record:0ee5489cd01f22e5a51c,artifact_contains_record,edde0b27f2f31f5fb962,5b5eeef107bb6f124496,artifact checksum plus exact source locator and H6 cell coordinates
edge:4dfb3f7520ca1eab7a1c,source_artifact:3c803d0b82626170d679,source_record:a2585ae02f3eb15eab0e,artifact_contains_record,5fab5a82719cacffcbe4,1c03a76cb6a98f53235d,artifact checksum plus exact source locator and H6 cell coordinates
