treatment_lineage_id,treatment_id,cell_id,requested_observation_id,source_lineage_path_id,source_record_node_id,observation_node_id,treatment_run_node_id,treatment_decision_node_id,treatment_output_node_id,output_observation_id,decision,requested_addressable,treatment_manifest_path,treatment_manifest_sha256,complete
treatment_path:7a0b8df385da4e3812b6,B0,05ae4dff5d60b5021813,ad8a7f5c7869af674e3a,path:757c700c17d517b3f7c3,source_record:71811020d9a92abf868d,observation:e4c9a85a54e3ad78e66c,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:bd6820f4625f446558d7,treatment_output:4372d54e81fafb2c0f84,ad8a7f5c7869af674e3a,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:7c52048327bc6632ca64,B0,05ae4dff5d60b5021813,f831d08aa91c95864cd0,path:1e69049e8ab82ddb3293,source_record:bbde0e659e98bd2c6084,observation:1b7b7decaafba2e44741,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:94a34350fee164c39a62,treatment_output:4372d54e81fafb2c0f84,ad8a7f5c7869af674e3a,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:d4d4e64a3e3bf8c77fba,B0,1c03a76cb6a98f53235d,09bd4158de9b28a03d83,path:b98116cdfc3625b57334,source_record:621b059bcf550a1ead3a,observation:3f64e0aa5f69399e8a04,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:51e4a3353b3340e49584,treatment_output:988e610dfb898a7d1f5a,09bd4158de9b28a03d83,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:19e97d71e83a60be9a99,B0,1c03a76cb6a98f53235d,5fab5a82719cacffcbe4,path:9cfd576ba6467c314ac3,source_record:a2585ae02f3eb15eab0e,observation:04df2a67b487f338de1b,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:b4cc3058de5b03e4acce,treatment_output:988e610dfb898a7d1f5a,09bd4158de9b28a03d83,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:1f96bbbf8525213edf6c,B0,1c03a76cb6a98f53235d,9fcd6d7d4f2e24e56db1,path:0f4459bbf2991e7490f0,source_record:16473e53e748c08ec754,observation:667f983b01d3cdf7458e,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:7afe198206a88203597a,treatment_output:988e610dfb898a7d1f5a,09bd4158de9b28a03d83,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:01215416fdbacf66c627,B0,3087bf08970908c509ca,1721995859418ecf608c,path:62b34012c87ba9a4340f,source_record:3edd79e5e5b56f709897,observation:c8d559d64c4d785c41a3,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:e32eb47856f958bf1744,treatment_output:731969672c59f2871e76,df8ae4a2843995c9185d,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:e11de7731502eb0c9a24,B0,3087bf08970908c509ca,72e8553f361951a0c2c8,path:80b166643382e0ef0e65,source_record:c9024fe3b36dd1151ec1,observation:a7e8ddddcfeb654133b3,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:5845e2ce8feda0a2471b,treatment_output:731969672c59f2871e76,df8ae4a2843995c9185d,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:37dbf06d6f7b42aba6b1,B0,3087bf08970908c509ca,df8ae4a2843995c9185d,path:ab93a5e3fc9a10c663fc,source_record:f6a04a1c01641dfdfadc,observation:96242f6669896b9035de,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:de8618385ab0b96a4da0,treatment_output:731969672c59f2871e76,df8ae4a2843995c9185d,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:6e87c191b494def1cdb8,B0,425bfdd5ca02ab3e3cc1,69745dd19d776c69570e,path:2ac84c6536afc316c225,source_record:87c903ae7b46a49c415f,observation:e19175cc2d07bb652fd5,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:45c9c4f407fa3c5bda70,treatment_output:9c7aa8f45edf2e5043da,87cdfc70ee6d45666fec,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:7dd1ba43ad88f2bbc7c3,B0,425bfdd5ca02ab3e3cc1,6ad6dfc4b05d0f292d1f,path:48ecac1095ede20645a5,source_record:7e35d4e934c4fa296c7d,observation:389c8092fc51c52bc4eb,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:10ccf15de43bd6cc1f66,treatment_output:9c7aa8f45edf2e5043da,87cdfc70ee6d45666fec,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:b8c2a0ce784cbeccd0ab,B0,425bfdd5ca02ab3e3cc1,87cdfc70ee6d45666fec,path:3a7cea85e37e471d8faa,source_record:9d014b544d90b04f050e,observation:fd786e62692104822637,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:509cb54e0571af9e1f50,treatment_output:9c7aa8f45edf2e5043da,87cdfc70ee6d45666fec,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
