scenario_order,scenario_id,seed,selection_rank,base_observation_id,base_vintage_id,revised_source_id,cell_id,domain,indicator_key,series_key,observed_period,period_granularity,geo_level,geo_code,geo_name,unit,before_value_decimal,before_value_lexeme,published_decimal_places,delta_decimal,after_value_decimal,after_value_lexeme,synthetic_vintage_id,synthetic_observation_id,synthetic_source_id,provenance_class,mutation_rule
1,validation_001,20260909,1,cb0d5147421c66597d95,b132d2fab33291e0733e,bps_webapi,7c1c5248808f73b2f3a6,economy,sdg08_productivity_growth,total,2022,year,province,9100,Papua Barat,percent,1.1800000000,1.18,2,0.0100000000,1.1900000000,1.19,11e6733d4f82a796f7d5,b5718af8676ffae2106a,synthetic_revision_harness,synthetic_not_official,one_published_unit
2,validation_002,20260909,1,cb0d5147421c66597d95,b132d2fab33291e0733e,bps_webapi,7c1c5248808f73b2f3a6,economy,sdg08_productivity_growth,total,2022,year,province,9100,Papua Barat,percent,1.1800000000,1.18,2,0.0100000000,1.1900000000,1.19,1b21698a044696991f6c,238bbedcececb0d35387,synthetic_revision_harness,synthetic_not_official,one_published_unit
2,validation_002,20260909,2,d99bc3566095bc6ee582,9ab2011a3892edfac889,bps_tpb_2025,7e097ceb497e25947325,ecology,sdg15_forest_cover,total,2022,year,national,9999,Indonesia,percent,51.1600000000,51.16,2,0.0100000000,51.1700000000,51.17,1b21698a044696991f6c,4a1084035729f4017f16,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,validation_004,20260909,1,cb0d5147421c66597d95,b132d2fab33291e0733e,bps_webapi,7c1c5248808f73b2f3a6,economy,sdg08_productivity_growth,total,2022,year,province,9100,Papua Barat,percent,1.1800000000,1.18,2,0.0100000000,1.1900000000,1.19,d5bf7b76cb8aa7dfb8c7,b1ba0ea0a28532f9388c,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,validation_004,20260909,2,d99bc3566095bc6ee582,9ab2011a3892edfac889,bps_tpb_2025,7e097ceb497e25947325,ecology,sdg15_forest_cover,total,2022,year,national,9999,Indonesia,percent,51.1600000000,51.16,2,0.0100000000,51.1700000000,51.17,d5bf7b76cb8aa7dfb8c7,1f204afd4cdad0e74d7c,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,validation_004,20260909,3,09bd4158de9b28a03d83,b132d2fab33291e0733e,bps_webapi,1c03a76cb6a98f53235d,economy,sdg08_productivity_growth,total,2022,year,province,2100,Kep. Riau,percent,-1.1700000000,-1.17,2,0.0100000000,-1.1600000000,-1.16,d5bf7b76cb8aa7dfb8c7,06ad23623c338c092441,synthetic_revision_harness,synthetic_not_official,one_published_unit
3,validation_004,20260909,4,4af2e0e7825c9f2ac443,b132d2fab33291e0733e,bps_webapi,71a013b45f47a8aefa7d,economy,sdg08_productivity_growth,total,2023,year,province,2100,Kep. Riau,percent,19.2500000000,19.25,2,0.0100000000,19.2600000000,19.26,d5bf7b76cb8aa7dfb8c7,5fbbe2c4e6b533bb954e,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,validation_007,20260909,1,cb0d5147421c66597d95,b132d2fab33291e0733e,bps_webapi,7c1c5248808f73b2f3a6,economy,sdg08_productivity_growth,total,2022,year,province,9100,Papua Barat,percent,1.1800000000,1.18,2,0.0100000000,1.1900000000,1.19,0a3027d17dfd67f5159b,417680b177eadaf4f764,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,validation_007,20260909,2,d99bc3566095bc6ee582,9ab2011a3892edfac889,bps_tpb_2025,7e097ceb497e25947325,ecology,sdg15_forest_cover,total,2022,year,national,9999,Indonesia,percent,51.1600000000,51.16,2,0.0100000000,51.1700000000,51.17,0a3027d17dfd67f5159b,38286f926c14df8bb9d7,synthetic_revision_harness,synthetic_not_official,one_published_unit
4,validation_007,20260909,3,09bd4158de9b28a03d83,b132d2fab33291e0733e,bps_webapi,1c03a76cb6a98f53235d,economy,sdg08_productivity_growth,total,2022,year,province,2100,Kep. Riau,percent,-1.1700000000,-1.17,2,0.0100000000,-1.1600000000,-1.16,0a3027d17dfd67f5159b,bad1b1503642b4153578,synthetic_revision_harness,synthetic_not_official,one_published_unit
