closure_id,treatment_id,audit_request_id,requested_observation_id,source_lineage_path_id,source_record_node_id,observation_node_id,treatment_run_node_id,treatment_decision_node_id,treatment_output_node_id,snapshot_state_node_ids,reproducibility_metric_node_id,evidence_table_node_id,figure_input_node_id,audit_procedure_node_id,complete
closure:7e79780442eeaffb87fe,B0,audit:7e79780442eeaffb87fe,05a8528c88245297d4ba,path:61a65539dd7fd15cc1b6,source_record:07204f7959a158920906,observation:5f781c26691e4c1d4e63,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:521d48c5bcc94247c67b,treatment_output:4e88d5c3b721496dd778,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:d4d4e64a3e3bf8c77fba,B0,audit:d4d4e64a3e3bf8c77fba,09bd4158de9b28a03d83,path:b98116cdfc3625b57334,source_record:621b059bcf550a1ead3a,observation:3f64e0aa5f69399e8a04,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:51e4a3353b3340e49584,treatment_output:988e610dfb898a7d1f5a,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:01215416fdbacf66c627,B0,audit:01215416fdbacf66c627,1721995859418ecf608c,path:62b34012c87ba9a4340f,source_record:3edd79e5e5b56f709897,observation:c8d559d64c4d785c41a3,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:e32eb47856f958bf1744,treatment_output:731969672c59f2871e76,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:91183cb952f48c2f0082,B0,audit:91183cb952f48c2f0082,211b04665de26cd11d77,path:bb4132599b10a4c786e9,source_record:4ed2457911a60c3d488b,observation:8723d68bb99c76a272c0,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:0abd4a86810b0413b3d9,treatment_output:234f15398f84db5e04ef,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:fb5db447bda22d037917,B0,audit:fb5db447bda22d037917,2766cbe2cf960f73ba05,path:24ed4b6b702e502e42e6,source_record:69c44ea8114c54419750,observation:3b44dd267dadc5b9eb40,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:74ac980251856f1cc7c8,treatment_output:20a795746ad404126b29,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:2b6aaf910f8efb6a80cb,B0,audit:2b6aaf910f8efb6a80cb,27f750d142897641b3b1,path:f9d72b85568f2a848e1c,source_record:294fa03a900a59c6bcc9,observation:ea029425bb6e7db0f2d4,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:f3555f20090ed7209e39,treatment_output:e96db0628793a76f6317,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:05d62208f733d98a4b49,B0,audit:05d62208f733d98a4b49,356dadeceba952eb2a0c,path:0afc3e5030134801aaf0,source_record:c2b5603f1388485b6d3e,observation:be61f5d1cfa355a917f0,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:6930213d03643139cb4f,treatment_output:e96db0628793a76f6317,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:9c74d29ea8a515bd4340,B0,audit:9c74d29ea8a515bd4340,463dda3fe5140e2fbed2,path:b2e639819b1544aa2d08,source_record:e6e65cbbb0692b29878a,observation:4451fa83b206a52cd53e,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:501ef06bfa9901cc32a8,treatment_output:130f540cad1892fe9816,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:7b2e54d93b1c29078ea4,B0,audit:7b2e54d93b1c29078ea4,49b82f2b710bfb946f9f,path:322b033ed589deaf1c3d,source_record:423572d2616d043c15d1,observation:864f2c2d1b88e471e06c,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:ae1fade8ed6c5938f499,treatment_output:b112b3995ea306e43f08,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:c148d1af9f25b2b4c817,B0,audit:c148d1af9f25b2b4c817,4af2e0e7825c9f2ac443,path:c432cf9d5f8eb992f618,source_record:d3ee5d39849b0096d5ce,observation:6e3265bf4a2eadf39698,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:e456f220c0c8c9eee183,treatment_output:20a795746ad404126b29,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
closure:e30af1868c54c958b248,B0,audit:e30af1868c54c958b248,506a60e86fb32d9c608b,path:cc183da10df50aea21cd,source_record:1822780c1a34fa87ecd7,observation:de0321deca75854654ba,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:aa4980282d3bcdb13249,treatment_output:e96db0628793a76f6317,,reproducibility_metric:220ce98bc0bcbbc10455,evidence_table:7ff4454d0efd70f5a572,figure_input:939c0d141f0c8efd6279,audit_procedure:58277c4184398221c534,yes
