arrival_order,arrival_vintage_id,observation_id,observation_node_id,lineage_edge_id,cell_node_id,cell_id,impact_basis
1,aa7252a58f41161c17c3,f831d08aa91c95864cd0,observation:1b7b7decaafba2e44741,edge:cc77a66c956ab4f1ab7e,indicator_cell:aab555ad4759ae18ba76,05ae4dff5d60b5021813,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,9fcd6d7d4f2e24e56db1,observation:667f983b01d3cdf7458e,edge:eb7d64db01163db05a6d,indicator_cell:932a2e3f54ff599be81b,1c03a76cb6a98f53235d,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,72e8553f361951a0c2c8,observation:a7e8ddddcfeb654133b3,edge:a045abf8994b538a183f,indicator_cell:9f4335805533dc1644dc,3087bf08970908c509ca,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,6ad6dfc4b05d0f292d1f,observation:389c8092fc51c52bc4eb,edge:459c0a53a60ccb3e7d80,indicator_cell:7893e69f53cf7b6d0284,425bfdd5ca02ab3e3cc1,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,a16c09b869c2ad72a4ea,observation:31d333568319d88d97b2,edge:7036a10c664d349db7f1,indicator_cell:e30254e6593a5ad1768e,4aab4307f4906503d2a4,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,211b04665de26cd11d77,observation:8723d68bb99c76a272c0,edge:bba347dc426d90b28d3f,indicator_cell:c4a866eca4b16dd78a5b,53b2a1ef09a68d6c5173,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,05a8528c88245297d4ba,observation:5f781c26691e4c1d4e63,edge:a376b037fd815bd08f48,indicator_cell:55e36c8d23c81a7e5e6f,5b5eeef107bb6f124496,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,2766cbe2cf960f73ba05,observation:3b44dd267dadc5b9eb40,edge:2272a2b24d7293c8da6d,indicator_cell:44587469161d5e598f2a,71a013b45f47a8aefa7d,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,9fe0a3bb2baed4ce3810,observation:885040ab6fb9ac0096b2,edge:28df812cc0a413b3f46b,indicator_cell:feb2ac97cbf469e6c701,7c1c5248808f73b2f3a6,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,e313de2e0e1a97bc17ff,observation:f99fdeebfc608df3a8bb,edge:2328e5ff37ad08b80430,indicator_cell:de3c26510b8871e0d687,7e097ceb497e25947325,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,6fbf4aae1b9a6de0051a,observation:294d2d83bf86fa753446,edge:81c8fc1b2773bcd9d000,indicator_cell:08e4d6d55af0774caa62,94651a48df17d3b56a1b,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,a34fc65bf470c1e7ce20,observation:da340ced2539c49628bf,edge:8cac4725792c5768e4b0,indicator_cell:ae652356f54e9da22915,af12d1ae8c1555d899be,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,27f750d142897641b3b1,observation:ea029425bb6e7db0f2d4,edge:63982fdf5f2a6c95f329,indicator_cell:5fd7f1c394470ba4a878,e33e2f8351747300cba7,exact H6C observation_materializes_cell edge
1,aa7252a58f41161c17c3,f4b6cbcb460eaef0f82e,observation:cc516c3714c088b54218,edge:e736654947ee5cc84e48,indicator_cell:f70883b0424bebcca783,e4982bb0d13ac08094aa,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,ad8a7f5c7869af674e3a,observation:e4c9a85a54e3ad78e66c,edge:6850c65ba54d2d6298ae,indicator_cell:aab555ad4759ae18ba76,05ae4dff5d60b5021813,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,5fab5a82719cacffcbe4,observation:04df2a67b487f338de1b,edge:111a700f07af74b8b8cc,indicator_cell:932a2e3f54ff599be81b,1c03a76cb6a98f53235d,exact H6C observation_materializes_cell edge
