impact_audit_id,arrival_order,arrival_vintage_id,observation_id,observation_cell_id,reported_cell_id,reported_lineage_edge_id,recomputed_cell_id,recomputed_lineage_edge_id,store_arrival_order,arrival_node_id,arrival_recompute_edge_id,impact_match
impact:89e8b64ca84229470550,1,aa7252a58f41161c17c3,05a8528c88245297d4ba,5b5eeef107bb6f124496,5b5eeef107bb6f124496,edge:a376b037fd815bd08f48,5b5eeef107bb6f124496,edge:a376b037fd815bd08f48,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:679c0e56da4836e3fb16,yes
impact:a1ffc2830877b28e3808,1,aa7252a58f41161c17c3,211b04665de26cd11d77,53b2a1ef09a68d6c5173,53b2a1ef09a68d6c5173,edge:bba347dc426d90b28d3f,53b2a1ef09a68d6c5173,edge:bba347dc426d90b28d3f,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:44444ab5af33aa11e066,yes
impact:ad80d0b81371c35c69b8,1,aa7252a58f41161c17c3,2766cbe2cf960f73ba05,71a013b45f47a8aefa7d,71a013b45f47a8aefa7d,edge:2272a2b24d7293c8da6d,71a013b45f47a8aefa7d,edge:2272a2b24d7293c8da6d,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:052c3b07884e24625490,yes
impact:f7252bb9d4d6ee067be1,1,aa7252a58f41161c17c3,27f750d142897641b3b1,e33e2f8351747300cba7,e33e2f8351747300cba7,edge:63982fdf5f2a6c95f329,e33e2f8351747300cba7,edge:63982fdf5f2a6c95f329,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:9895c07c9d2c3d7ee8af,yes
impact:aadd27222787c8ba1794,1,aa7252a58f41161c17c3,6ad6dfc4b05d0f292d1f,425bfdd5ca02ab3e3cc1,425bfdd5ca02ab3e3cc1,edge:459c0a53a60ccb3e7d80,425bfdd5ca02ab3e3cc1,edge:459c0a53a60ccb3e7d80,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:232466526bb3c7b664c3,yes
impact:02ef9a6f702166d055ac,1,aa7252a58f41161c17c3,6fbf4aae1b9a6de0051a,94651a48df17d3b56a1b,94651a48df17d3b56a1b,edge:81c8fc1b2773bcd9d000,94651a48df17d3b56a1b,edge:81c8fc1b2773bcd9d000,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:9ea2e1a7a4f1f51b6ecf,yes
impact:c4d704aaee92333ee8f2,1,aa7252a58f41161c17c3,72e8553f361951a0c2c8,3087bf08970908c509ca,3087bf08970908c509ca,edge:a045abf8994b538a183f,3087bf08970908c509ca,edge:a045abf8994b538a183f,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:9a50c9e51a64f8ca888e,yes
impact:688e2fd3fd450da6d204,1,aa7252a58f41161c17c3,9fcd6d7d4f2e24e56db1,1c03a76cb6a98f53235d,1c03a76cb6a98f53235d,edge:eb7d64db01163db05a6d,1c03a76cb6a98f53235d,edge:eb7d64db01163db05a6d,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:511a2ae39e813f042891,yes
impact:18dbb6c1bfd1c02dba9c,1,aa7252a58f41161c17c3,9fe0a3bb2baed4ce3810,7c1c5248808f73b2f3a6,7c1c5248808f73b2f3a6,edge:28df812cc0a413b3f46b,7c1c5248808f73b2f3a6,edge:28df812cc0a413b3f46b,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:6e4e6f4c69cbe28a6b7b,yes
impact:ea27d67cbb0e417a42dc,1,aa7252a58f41161c17c3,a16c09b869c2ad72a4ea,4aab4307f4906503d2a4,4aab4307f4906503d2a4,edge:7036a10c664d349db7f1,4aab4307f4906503d2a4,edge:7036a10c664d349db7f1,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:0c643f81c5ece7d7e470,yes
impact:4a9fbdd770a328b302de,1,aa7252a58f41161c17c3,a34fc65bf470c1e7ce20,af12d1ae8c1555d899be,af12d1ae8c1555d899be,edge:8cac4725792c5768e4b0,af12d1ae8c1555d899be,edge:8cac4725792c5768e4b0,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:9b1a4c660aa63ad335db,yes
impact:162d2e969cf13e3f8479,1,aa7252a58f41161c17c3,e313de2e0e1a97bc17ff,7e097ceb497e25947325,7e097ceb497e25947325,edge:2328e5ff37ad08b80430,7e097ceb497e25947325,edge:2328e5ff37ad08b80430,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:7f196f8dac94f600b053,yes
impact:091ea2dfb6418e156041,1,aa7252a58f41161c17c3,f4b6cbcb460eaef0f82e,e4982bb0d13ac08094aa,e4982bb0d13ac08094aa,edge:e736654947ee5cc84e48,e4982bb0d13ac08094aa,edge:e736654947ee5cc84e48,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:cb8be173a556e33e8deb,yes
